AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
572065.5354	136934.4097	243037.2925	1456246.2096	200331.5769	394137.3491	317345.7459	683571.7119	40078.4483	28137.4405	30402.3923	37083.9506	15131.264	18882.4754	32872.7603	23699.23	-4973.7374	-2965.6566	-2238.3838	-1167.6768	2868.6869	-650.5051	-3392.5926	350.1684	0	0	0	0.86872	0.2864	0	0	0.38504	-0.067264	1	-0.022493	1	0.91471	104	0.73424	112	0.7963	48	0.92731	43	0.27498	35.3333	0.81928	67.6667	4160	1904	2630	4160	1904	2630	2898	2898	27083994488	101001448	572098156	218653905	81900437	107019412	9252364697.3333	135857918	-1.1538	0.96146	-0.45762	-0.21975	1.7149	-0.46183	-0.21665	0.34446	m0001	s04	m16	n01
2291050.6582	1946389.8065	28621506.9899	9453261.8602	26398278.0456	914523.9413	10952982.4848	12255354.6157	86800.782	64798.5784	130646.5724	124592.9907	124347.7967	38855.8122	94081.9776	95932.1999	-7753.5354	-7547.4747	-28254.5455	3907.0707	36191.9192	-6656.5657	-14518.5185	11147.4747	0	0.93407	0.89317	0.98145	0.99277	0.52936	0.60908	0.83453	0.79314	22	0.91186	21	0.89653	100	0.65234	87	0.62094	11	0.63196	13	0.86718	47.6667	0.63508	37	5564	5632	15672	5564	5632	15672	8956	8956	30258941500	193566068	2913238376	1091942976	3996473561	220518391	11121915314.6667	1769644976	-0.88668	-1.2718	-1.2689	0.73629	0.76884	-0.33808	-1.1425	0.38902	m0001	s04	m16	n01
4290352.3168	4095644.0319	25195585.7713	6381687.2375	75207591.0783	19927043.2016	11193860.7067	33838773.8391	83600.9666	66084.2193	132287.4189	125652.413	138438.4807	45445.823	93990.8683	103178.9056	5660.6061	-6965.6566	-8593.9394	12292.9293	33862.6263	-23191.9192	-3299.6633	7654.5455	0	0.60984	0.70147	0.58424	0	0.52936	0.4371	0.3712	0.95267	65	0.9102	72	0.92172	110	0.76854	45	0.35805	7	-0.013363	199	0.9282	82.3333	0.37108	83.6667	6686	7060	15206	6686	7060	15206	9650.6667	9650.6667	38185318192	1043142364	6546856736	1829687591	32810732477	4366452472	15258439097.3333	13002290846.6667	0.090536	0.33429	0.38712	-0.32527	-0.13026	-0.49565	0.27065	-0.31706	m0001	s04	m16	n01
39507714.6905	2356549.9681	12723752.6509	7113245.8201	201153738.7459	7870607.1337	18196005.7698	72045863.8999	53395.2368	64417.3388	55967.9995	87685.547	117689.1386	58344.4872	57926.8584	87906.3909	27369.697	-286.8687	11260.6061	9214.1414	-56208.0808	1547.4747	12781.1448	-15148.8215	0	0	0	0.19439	0.86872	0	0	0.35437	0.83413	100	0.92928	119	0.81985	164	0.93881	135	0.060827	4	0.43938	161	0.86109	127.6667	0.47967	100	16412	7220	11818	16412	7220	11818	11816.6667	11816.6667	26081223012	2013682716	4696354540	3159820163	32930656964	9185806100	10930420089.3333	15092094409	0.15477	-1.0728	-0.46867	0.029883	-0.40682	0.56998	-0.46222	0.064346	m0001	s04	m16	n01
6038535.5572	4446397.9519	17199007.2016	10899053.9203	57510214.0016	35111731.4767	9227980.2369	34506999.7995	49098.0631	80007.9289	54872.5318	114233.7264	103867.5108	59703.9362	61326.1746	92601.7245	4868.6869	-14597.9798	-18630.303	4422.2222	-46690.9091	33377.7778	-9453.1987	-2963.6364	0	0	0	0.36592	0.74148	0.93407	0	0.68049	0.90781	90	0.86325	100	0.91044	75	0.46223	190	0.20838	32	0.96801	152	0.89383	88.3333	0.54621	124.6667	9208	8564	12228	9208	8564	12228	10000	10000	10156240416	2865499804	6791412472	3747586297	8131619066	5215710439	6604384230.6667	5698305267.3333	-0.19552	-0.70235	0.061003	0.003941	1.5675	-0.058487	-0.27896	0.50431	m0001	s04	m16	n01
3652462.5859	47209531.2727	7487840.4893	56222250.663	32128922.8784	6764335.2908	19449944.7826	31705169.6107	105370.4192	412196.9618	223409.3258	364057.5357	172166.7831	172099.3112	246992.2356	236107.8767	-7818.1818	-14654.5455	-2072.7273	-5494.9495	20905.0505	4197.9798	-8181.8182	6536.0269	0	0	0	0.85545	0.68008	0.9765	0	0.83734	0.83857	87	0.94525	100	0.81453	106	0.53078	160	0.47546	82	0.32585	141	0.86612	97.6667	0.44403	127.6667	8094	31404	13926	8094	31404	13926	17808	17808	13646922440	12380125392	9661456460	5617277008	4855602620	797108457	11896168097.3333	3756662695	0.35347	-2.3905	-0.27048	-1.4659	0.73436	-0.092068	-0.76918	-0.27454	m0001	s04	m16	n01
1532340.5459	35863340.659	4124250.5127	40176163.9324	8315071.9252	5393384.4853	13839977.2392	17961540.1143	102287.9121	409325.6795	221044.0022	356936.9307	169415.2868	169287.3906	244219.198	231879.8694	3482.8283	-448.4848	9389.899	-23442.4242	7862.6263	-12044.4444	4141.4141	-9208.0808	0	0	0	0.98145	0.99538	0.89317	0	0.95667	0.86231	95	0.96536	100	0.91492	105	0.61005	119	0.41068	83	0.55002	155	0.9142	100	0.52358	119	6750	31404	13926	6750	31404	13926	17360	17360	14177035012	15185846708	6574978996	4320293595	831416971	542698378	11979286905.3333	1898136314.6667	-0.74571	-2.7399	-2.6033	-1.5336	1.9505	0.90578	-2.0296	0.4409	m0001	s04	m16	n01
1376318.3333	1870888.1034	10766129.0925	5346362.789	7565268.7782	396066.6206	4671111.8431	4435899.3959	46398.5371	69488.9047	69058.8857	85820.0702	44824.29	22656.7447	61648.7758	51100.3683	88.8889	6234.3434	-17563.6364	-1462.6263	20339.3939	-3856.5657	-3746.8013	5006.734	0	0	0	0.55744	0.98145	0.68008	0	0.73966	0.99411	100	0.95188	100	0.9257	96	0.34023	1	0.74295	89	Inf	1	0.95723	98.6667	Inf	30.3333	4596	6988	10804	4596	6988	10804	7462.6667	7462.6667	14066628244	9343248568	10481211056	1131908949	875668150	66267238	11297029289.3333	691281445.6667	-1.3194	-0.69589	-1.3481	-0.93132	1.8355	-0.18887	-1.1211	0.23844	m0001	s04	m16	n01
1676037.9863	10205004.3842	25516954.5354	40484880.8974	33141401.5413	16191389.6641	12465998.9686	29939224.0343	50760.6147	77993.2139	90589.2272	125168.3763	103036.5709	51877.8051	73114.3519	93360.9175	848.4848	17115.1515	15696.9697	-19252.5253	-8347.4747	21309.0909	11220.202	-2096.9697	0	0	0.14144	0.49992	0.79504	0.98959	0.047147	0.76151	0.95827	110	0.93531	118	0.92112	90	0.081539	3	0.25757	133	0.95652	60	0.93823	106	0.43187	65.3333	4896	12552	18054	4896	12552	18054	11834	11834	14095970016	5962429372	12522378860	8698253222	7047631607	1812748317	10860259416	5852877715.3333	-0.71808	0.013555	0.23368	-0.69805	-0.069422	0.95097	-0.15695	0.061166	m0001	s04	m16	n01
775067.6602	4389150.7632	21014371.4747	62199426.1086	214857052.1304	17403223.6327	8726196.6327	98153233.9572	39721.3323	85368.3451	90926.1616	158417.2868	126319.9657	62853.2329	72005.2797	115863.4952	-5131.3131	-3862.6263	19438.3838	-15476.7677	-62666.6667	4337.3737	3481.4815	-24602.0202	0	0	0.19439	0.92482	0.99538	0.68008	0.064797	0.86676	0.89941	100	0.86432	100	0.93571	102	0.79586	59	0.14088	186	0.77169	53	0.89981	100.6667	0.56948	99.3333	4196	8336	17318	4196	8336	17318	9950	9950	13135324484	1939671060	7551687800	9331319075	22827916085	4376261052	7542227781.3333	12178498737.3333	-0.69711	-0.13762	-0.33904	-0.24078	0.046289	-0.78465	-0.39125	-0.32638	m0001	s04	m16	n01
