AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
1117.758	1933.3834	1921.2812	1259.9736	257.4524	397.8565	1657.4742	638.4275	8752.3042	9491.2187	11016.975	2295.45	2142.4992	1534.1236	9753.4993	1990.691	-48.4848	254.5455	72.7273	-38.3838	-34.3434	-26.2626	92.9293	-32.9966	0	0	0	0	0.40218	0	0	0.13406	-0.093492	1	-0.099609	1	0.99587	100	0.88526	110	-0.059283	1	-0.059283	1	0.26759	34	0.25557	37.3333	178	220	242	178	220	242	213.3333	213.3333	616073564	23373704	24045468484	10569915	96297	192347	8228305250.6667	3619519.6667	-0.28003	-0.68503	-0.31245	0.5681	0.2547	0.79056	-0.42584	0.53779	m0003	s04	m13	n06
3747.5277	3684.1257	4404.5915	3733.1984	3514.8945	507.0562	3945.4149	2585.0497	8785.9392	9527.6737	11684.8862	3228.5344	3370.0403	1448.6497	9999.4997	2682.4081	-12.1212	56.5657	226.2626	145.4545	-2.0202	-84.8485	90.2357	19.5286	0	0	0	0	0.95804	0	0	0.31935	-0.079417	1	-0.099974	1	0.99216	100	0.29032	145	-0.043509	1	0.5476	156	0.27092	34	0.26481	100.6667	312	268	312	312	268	312	297.3333	297.3333	620510492	22894940	24049870264	10903506	354568	279448	8231091898.6667	3845840.6667	0.98183	0.12352	0.089378	-0.83271	1.4264	0.19485	0.39824	0.26285	m0003	s04	m13	n06
3932.3228	4676.0448	4424.7673	6417.1774	4236.6832	567.4226	4344.3783	3740.4277	8744.5452	9390.3884	12191.1377	4417.367	3182.5915	1445.8579	10108.6904	3015.2721	-32.3232	-20.202	-84.8485	6.0606	-82.8283	4.0404	-45.7912	-24.2424	0	0	0	0	0.88129	0.43647	0	0.43925	-0.10485	199	-0.099948	199	0.98962	100	0.47576	42	-0.080361	199	0.36201	105	0.26161	166	0.25247	115.3333	304	276	312	304	276	312	297.3333	297.3333	631413748	21838756	24031576444	10502438	419544	189692	8228276316	3703891.3333	0.24245	-0.25462	-0.11208	-0.12067	1.2627	0.10411	-0.041415	0.41537	m0003	s04	m13	n06
1485.1572	3044.9697	2332.3733	3388.6582	571.5777	540.8213	2287.5001	1500.3524	9297.3332	9598.7373	11552.1129	3636.2929	1896.7276	1621.8209	10149.3945	2384.9472	101.0101	44.4444	-60.6061	-331.3131	28.2828	68.6869	28.2828	-78.1145	0	0	0	0	0.24229	0.43647	0	0.22625	-0.088869	1	-0.099764	199	0.99347	100	0.88857	118	0.010692	188	Inf	199	0.26828	100	Inf	168.3333	188	248	280	188	248	280	238.6667	238.6667	631101144	22978096	24039120912	9169450	209389	189481	8231066717.3333	3189440	-0.35233	-0.048935	0.02203	0.44883	-0.13864	-0.15019	-0.12641	0.053334	m0003	s04	m13	n06
1186.1701	1594.7875	2147.7915	436.6226	406.8347	459.1818	1642.9164	434.2131	8852.0956	9169.3825	10367.6264	1713.9947	1886.1537	1663.755	9463.0348	1754.6345	-28.2828	141.4141	-40.404	2.0202	78.7879	14.1414	24.2424	31.6498	0	0	0	0	0.2864	0.32744	0	0.20461	-0.086138	1	-0.099922	199	0.99653	100	0.84193	100	-0.11046	199	-0.11046	199	0.27016	100	0.207	166	182	182	280	182	182	280	214.6667	214.6667	621851708	23100068	24056470792	9525930	145512	196780	8233807522.6667	3289407.3333	-0.18293	-0.12789	0.38979	0.2008	-0.44767	-0.11005	0.026325	-0.11897	m0003	s04	m13	n06
1119.4097	1194.1269	1671.1257	393.1365	190.7405	189.3991	1328.2207	257.7587	8448.3457	8956.0994	9873.3802	1901.1958	1784.671	1573.5182	9092.6085	1753.1283	-230.303	36.3636	-177.7778	32.3232	-82.8283	-32.3232	-123.9057	-27.6094	0	0	0	0	0.14144	0.32744	0	0.1563	-0.09655	1	-0.099528	199	0.99735	100	0.87891	99	-0.083164	1	-0.067414	190	0.26709	100	0.24278	96.6667	182	166	228	182	166	228	192	192	622303980	22502472	24041164104	9840203	82035	121599	8228656852	3347945.6667	-0.27133	-0.17924	-0.0066902	0.18421	-0.095905	-1.0348	-0.15242	-0.31551	m0003	s04	m13	n06
1109.0505	1142.1156	1989.0145	859.8864	256.4415	169.0565	1413.3935	428.4614	7802.3048	8612.0423	12519.8509	2352.0462	1792.69	1519.5693	9644.7327	1888.1018	28.2828	117.1717	-149.4949	92.9293	-4.0404	-38.3838	-1.3468	16.835	0	0	0	0	0.36592	0	0	0.12197	-0.086483	1	-0.09986	199	0.99752	100	0.80535	108	-0.092808	1	-0.092808	1	0.27039	100	0.20658	36.6667	158	156	224	158	156	224	179.3333	179.3333	624609896	23137712	24048948780	10238911	72607	158941	8232232129.3333	3490153	-0.23659	-0.038018	0.086208	0.69304	0.30553	0.40855	-0.062799	0.46904	m0003	s04	m13	n06
1249.9329	1506.9394	2466.1414	1024.3289	373.5455	805.2181	1741.0046	734.3641	7118.9603	7585.5258	13177.6977	2341.1989	1785.35	1694.5546	9294.0613	1940.3678	16.1616	173.7374	133.3333	52.5253	22.2222	-74.7475	107.7441	-4.737e-15	0	0	0	0	0.49992	0.60984	0	0.36992	-0.089193	1	-0.10003	1	0.99684	100	0.80963	89	0.12379	12	0.077244	11	0.26921	34	0.33689	37.3333	154	204	228	154	204	228	195.3333	195.3333	621170016	23895316	24041987064	10221442	96030	211413	8229017465.3333	3509628.3333	0.0063841	0.085367	0.23126	0.78772	0.21841	-0.41035	0.10767	0.19859	m0003	s04	m13	n06
2199.1499	3017.9135	2347.7317	868.6686	365.4343	965.2057	2521.5984	733.1029	9360.1347	9762.0167	12568.0371	2387.2557	1812.5266	1679.7066	10563.3961	1959.8296	-32.3232	-44.4444	-4.0404	-74.7475	-14.1414	-14.1414	-26.936	-34.3434	0	0	0	0	0.52936	0.63431	0	0.38789	-0.10023	199	-0.10006	199	0.99379	100	0.76259	140	-0.027875	1	-0.027875	1	0.2645	166	0.23561	47.3333	250	256	236	250	256	236	247.3333	247.3333	623698640	24097560	24034037232	9814783	86354	217496	8227277810.6667	3372877.6667	0.1317	0.27668	-0.18317	0.15155	0.073365	-0.17724	0.075069	0.015891	m0003	s04	m13	n06
3404.9115	3414.7055	2149.8602	1100.5304	485.6469	480.36	2989.8257	688.8458	10637.46	10216.6432	12307.2451	2497.2712	2255.767	1536.7551	11053.7828	2096.5978	-68.6869	52.5253	-157.5758	70.7071	84.8485	86.8687	-57.9125	80.8081	0	0	0	0	0.6577	0.14144	0	0.26638	-0.095036	1	-0.099982	199	0.99247	100	0.71941	109	0.021798	199	0.047343	193	0.26582	100	0.26285	167	256	254	258	256	254	258	256	256	624717240	22620232	24046049352	10248719	90680	170476	8231128941.3333	3503291.6667	-0.13653	0.080441	-0.0027307	-0.099137	-0.28239	0.25968	-0.019607	-0.040616	m0003	s04	m13	n06
2751.2323	2586.6166	2306.2077	1347.2698	415.1095	378.4334	2548.0189	713.6042	9627.7377	8763.8375	13013.2489	2419.5333	2281.0595	1533.992	10468.2747	2078.1949	-48.4848	92.9293	-64.6465	167.6768	36.3636	-24.2424	-6.734	59.9327	0	0	0	0	0.49992	0.080793	0	0.19357	-0.10625	1	-0.099955	199	0.99424	100	0.75203	107	-0.016255	1	-0.016255	1	0.26268	100	0.23984	36.3333	256	258	236	256	258	236	250	250	622774872	22500504	24034157144	10101923	94180	185459	8226477506.6667	3460520.6667	-0.11104	-0.097893	0.29489	0.29207	-0.425	-0.0082752	0.028655	-0.047066	m0003	s04	m13	n06
