1794	-558	-15938	41	-12	-33	85	77	-7	1	1	1	74134457	
1870	-512	-16052	14	-28	-41	91	77	-9	2	6	2	74134457	
1872	-574	-16162	10	-60	-47	91	77	-9	3	11	3	74134457	
1804	-550	-16040	-5	-52	-59	89	79	-5	4	16	4	74134457	
1808	-540	-16070	-23	-53	-44	89	79	-5	5	21	5	74134457	
1806	-512	-16002	-32	-28	-47	81	81	-7	6	26	6	74134468	
1842	-542	-16060	-46	-24	-30	81	81	-7	7	31	7	74134503	
1786	-520	-16006	-57	-36	-24	89	77	-15	8	36	8	74134504	
1814	-514	-15992	-40	-20	-28	89	77	-15	9	41	9	74134504	
1812	-520	-16008	-41	-10	-25	89	77	-5	10	46	10	74134504	
1876	-476	-16054	-13	6	-18	89	77	-5	11	51	11	74134505	
1812	-474	-15962	20	9	-28	86	76	-10	12	56	12	74134505	
1822	-410	-16020	26	8	-27	86	76	-10	13	61	13	74134506	
1880	-472	-15992	28	-8	-34	88	80	-6	14	66	14	74134522	
1892	-478	-15944	15	-19	-31	88	80	-6	15	71	15	74134531	
1822	-480	-16020	21	-8	-27	87	85	-15	16	76	16	74134531	
1902	-450	-16032	31	-6	-21	87	85	-15	17	81	17	74134531	
1870	-472	-16018	48	-5	-42	93	79	-1	18	86	18	74134531	
1852	-432	-15958	65	-9	-23	93	79	-1	19	91	19	74134531	
1846	-514	-15946	76	-20	-20	84	78	-4	20	96	20	74134531	
1934	-494	-15960	92	-40	-27	84	78	-4	21	101	21	74134542	
1844	-508	-15976	113	-45	-32	89	73	-7	22	106	22	74134572	
1860	-566	-16020	106	-48	-17	89	73	-7	23	111	23	74134573	
1812	-524	-15990	105	-35	-19	88	74	-4	24	116	24	74134573	
1894	-538	-15996	90	-54	-31	88	74	-4	25	121	25	74134573	
1814	-602	-16094	82	-52	-28	86	76	-8	26	126	26	74134573	
1848	-592	-16038	65	-54	-29	86	76	-8	27	131	27	74134573	
1830	-520	-16082	62	-46	-21	93	77	-1	28	136	28	74134578	
1786	-626	-16052	53	-32	-22	93	77	-1	29	141	29	74134606	
1800	-610	-16018	28	-35	-8	91	75	-1	30	146	30	74134607	
1770	-576	-16024	10	-41	-18	91	75	-1	31	151	31	74134607	
1802	-562	-16040	9	-26	-11	88	78	-10	32	156	32	74134608	
1804	-562	-16046	-4	-33	-6	88	78	-10	33	161	33	74134608	
1810	-542	-16028	-21	-22	-9	91	73	-7	34	166	34	74134609	
1872	-550	-16006	-4	-8	-3	91	73	-7	35	171	35	74134610	
1810	-564	-16010	8	-7	5	88	76	-10	36	176	36	74134645	
1842	-550	-15954	7	-13	2	88	76	-10	37	181	37	74134645	
1854	-532	-15992	20	-22	-7	85	75	-13	38	186	38	74134645	
1878	-548	-15994	35	-29	-9	85	75	-13	39	191	39	74134645	
1910	-494	-15950	37	-39	-13	88	78	-12	40	196	40	74134645	
1850	-582	-16016	31	-48	-33	88	78	-12	41	201	41	74134645	
1892	-516	-15978	33	-65	-32	88	76	-12	42	206	42	74134646	
1854	-556	-15990	31	-64	-24	88	76	-12	43	211	43	74134646	
1884	-588	-15960	48	-55	-29	84	80	-10	44	216	44	74134682	
1888	-614	-15968	54	-51	-19	84	80	-10	45	221	45	74134682	
1808	-554	-16016	59	-52	-32	84	76	-8	46	226	46	74134683	
1816	-562	-15968	73	-54	-33	84	76	-8	47	231	47	74134683	
1920	-552	-16010	92	-42	-42	97	77	-5	48	236	48	74134683	
1848	-560	-15976	113	-49	-41	97	77	-5	49	241	49	74134683	
1834	-530	-15990	109	-49	-40	91	75	-9	50	246	50	74134683	
1826	-628	-16084	118	-64	-62	91	75	-9	51	251	51	74134693	
1822	-570	-16066	108	-53	-59	88	80	-4	52	256	52	74134727	
1834	-598	-15978	106	-48	-49	88	80	-4	53	261	53	74134727	
1870	-614	-15964	101	-52	-48	91	75	-3	54	266	54	74134727	
1826	-554	-16044	102	-43	-63	91	75	-3	55	271	55	74134728	
1846	-506	-16068	78	-47	-50	94	76	-8	56	276	56	74134728	
1832	-546	-16096	65	-47	-56	94	76	-8	57	281	57	74134728	
1770	-614	-16028	30	-70	-43	89	73	-5	58	286	58	74134729	
1820	-552	-16034	12	-68	-41	89	73	-5	59	291	59	74134760	
1826	-558	-16056	-11	-78	-31	93	79	-13	60	296	60	74134760	
1870	-456	-16056	-47	-64	-26	93	79	-13	61	301	61	74134760	
1826	-582	-15986	-64	-48	-26	84	74	-8	62	306	62	74134760	
1838	-548	-15996	-62	-33	-31	84	74	-8	63	311	63	74134760	
1840	-528	-16066	-55	-37	-31	88	68	-12	64	316	64	74134760	
1846	-482	-15984	-21	-53	-37	88	68	-12	65	321	65	74134760	
1866	-538	-15960	-4	-62	-35	89	75	-13	66	326	66	74134806	
1830	-516	-16020	0	-70	-31	89	75	-13	67	331	67	74134806	
1922	-520	-15958	12	-75	-32	83	75	-9	68	336	68	74134806	
1838	-554	-15992	18	-60	-28	83	75	-9	69	341	69	74134806	
1896	-536	-16012	21	-54	-33	86	82	-4	70	346	70	74134807	
1856	-566	-16042	22	-49	-34	86	82	-4	71	351	71	74134807	
1838	-556	-15964	43	-49	-33	91	75	-5	72	356	72	74134807	
