AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
1889.1067	1614.3434	3313.1135	19.6779	205.6667	62.3358	2272.1879	95.8934	9125.3892	9098.6068	14290.8885	436.7002	796.2031	320.3533	10838.2948	517.7522	-278.7879	-60.6061	-472.7273	0	-2.0202	44.4444	-270.7071	14.1414	0	0.55744	0	0	0	0	0.18581	0	-0.11255	1	-0.099146	1	0.79457	100	-0.046816	197	0.95079	100	-0.05476	199	0.19429	34	0.28307	165.3333	202	174	328	202	174	328	234.6667	234.6667	14444332804	432304	13556831768	46765	85386	176410	9333865625.3333	102853.6667	-0.49536	-0.096366	0.65332	0.13409	-0.72685	-1.0302	0.020531	-0.541	m0014	s04	m12	n02
2517.1212	1230.2525	4938.303	11.2132	348.6206	29.4307	2895.2256	129.7548	9293.8559	9154.9181	14571.5372	420.1972	783.4139	361.2548	11006.7704	521.622	-28.2828	84.8485	-157.5758	-6.0606	115.1515	-26.2626	-33.67	27.6094	0	0.43647	0	0	0.70147	0	0.14549	0.23382	-0.065925	199	-0.098916	1	0.83677	100	0.20919	22	0.98391	100	0.32349	177	0.22398	100	0.50553	99.6667	232	142	380	232	142	380	251.3333	251.3333	14503393236	405884	13521062176	52503	56536	223250	9341620432	110763	-0.20733	-0.0055852	0.26848	-0.24614	0.23092	-0.47252	0.01852	-0.16258	m0014	s04	m12	n02
2389.3636	1649.6824	3194.9394	8.6969	231.5041	60.6206	2411.3285	100.2739	9233.3169	8580.1745	11383.7737	353.9103	741.8241	395.939	9732.4217	497.2245	-222.2222	-96.9697	-56.5657	0	52.5253	0	-125.2525	17.5084	0	0.55744	0	0	0.86872	0	0.18581	0.28957	-0.015914	1	-0.09981	1	0.76575	100	0.073175	5	0.98321	100	0.22089	195	0.21667	34	0.42576	100	246	186	316	246	186	316	249.3333	249.3333	14553522316	394872	13432894500	49217	29367	189528	9328937229.3333	89370.6667	0.024871	-0.53553	0.46082	-0.14454	0.53391	0.14344	-0.016612	0.17761	m0014	s04	m12	n02
2132.5976	2112.7046	2575.3939	6.358	163.9445	40.0682	2273.5654	70.1236	8259.4299	9246.7849	11285.0308	335.7488	548.2755	387.1679	9597.0818	423.7308	-169.697	-214.1414	52.5253	22.2222	-72.7273	42.4242	-110.4377	-2.6936	0	0.92482	0	0	0.99277	0	0.30827	0.33092	0.03475	1	-0.099779	199	0.47765	96	0.23301	58	0.98419	100	0.22532	5	0.13754	98.6667	0.48084	54.3333	210	210	242	210	210	242	220.6667	220.6667	14624808124	268304	13362227800	45404	17089	184167	9329101409.3333	82220	-0.063625	-0.015714	-0.25888	0.11111	-0.31411	-0.20234	-0.11274	-0.13511	m0014	s04	m12	n02
4332.3131	1394.657	6623.5455	7.5455	681.7854	31.6986	4116.8385	240.3431	8748.7026	9446.1579	12035.1673	379.7926	934.1987	418.2696	10076.676	577.4203	-359.596	12.1212	-513.1313	-10.101	-20.202	-2.0202	-286.8687	-10.7744	0	0.98582	0	0	0.74148	0	0.32861	0.24716	0.1299	187	-0.098912	1	0.366	115	0.83878	42	0.99019	100	0.6338	156	0.13233	101	0.82092	99.3333	284	188	396	284	188	396	289.3333	289.3333	14754175124	150976	13241530492	46116	104553	199210	9331952197.3333	116626.3333	-0.43937	0.22582	0.15295	0.20719	0.59396	-0.26521	-0.020203	0.17865	m0014	s04	m12	n02
5839.9721	1673.8844	7049.0489	8.1842	752.0347	39.2601	4854.3018	266.493	8766.4189	10244.21	11146.4086	393.3796	936.3587	415.8477	10052.3458	581.862	-270.7071	-153.5354	-278.7879	-6.0606	84.8485	-40.404	-234.3434	12.7946	0	0.98145	0	0	0.88129	0	0.32715	0.29376	0.25973	5	-0.09998	1	0.31345	31	0.78396	156	0.9805	100	0.59056	109	0.15773	12.3333	0.78501	121.6667	366	182	438	366	182	438	328.6667	328.6667	14936497756	173600	13055954048	43908	102810	154819	9330875134.6667	100512.3333	0.59042	0.052602	1.2125	-0.037828	0.69539	0.32117	0.61852	0.32624	m0014	s04	m12	n02
3064.6077	2132.564	6409	6.9697	1821.8283	210.5304	3868.7239	679.7761	7385.7083	9455.2214	12211.7347	384.0244	1049.2903	566.3992	9684.2215	666.5713	282.8283	-125.2525	0	-2.0202	-34.3434	24.2424	52.5253	-4.0404	0	0.98145	0	0	0.92482	0	0.32715	0.30827	0.3431	55	-0.099575	1	0.21891	185	0.020035	142	0.95069	100	0.11216	1	0.15415	80.3333	0.36096	81	242	214	436	242	214	436	297.3333	297.3333	15067178504	216080	12933100332	45634	258202	231799	9333498305.3333	178545	0.56712	0.11352	0.91702	-0.29396	-0.95595	1.0912	0.53256	-0.052903	m0014	s04	m12	n02
5843.2077	1867.2582	10142.7374	11.7511	1413.4193	124.2476	5951.0677	516.4727	7609.8819	8068.3945	12963.5386	390.8034	1238.7677	583.6147	9547.2717	737.7286	274.7475	80.8081	416.1616	-8.0808	-161.6162	58.5859	257.2391	-37.037	0	0.93407	0	0	0.40218	0	0.31136	0.13406	0.4948	165	-0.099974	199	0.099974	199	0.053656	193	0.97422	96	0.2763	8	0.16493	187.6667	0.43472	99	280	242	448	280	242	448	323.3333	323.3333	14996099396	202072	12975353156	44928	623927	330735	9323884874.6667	333196.6667	0.16087	0.3159	0.30926	-0.060167	0.89562	0.459	0.26201	0.43148	m0014	s04	m12	n02
4478.5309	1786.3499	7541.6061	13.5631	326.4622	29.0287	4602.1623	123.018	7867.4884	8901.254	12607.1328	358.4478	886.4867	421.637	9791.9584	555.5238	36.3636	-36.3636	501.0101	-4.0404	-58.5859	24.2424	167.0034	-12.7946	0	0.98145	0	0	0	0	0.32715	0	0.16237	141	-0.098442	199	0.44296	159	-0.024735	199	0.97935	100	-0.0929	199	0.16896	166.3333	0.28724	166	328	216	452	328	216	452	332	332	14811625456	182384	13139178748	43573	590030	350502	9316995529.3333	328035	-1.1613	0.092135	-0.7848	0.36112	0.33904	-0.40978	-0.618	0.096794	m0014	s04	m12	n02
2015.2824	1441.6529	6462.7168	9.8267	376.4116	32.04	3306.5507	139.4261	8556.5971	8460.198	14068.1746	325.9795	954.3097	381.385	10361.6565	553.8914	193.9394	206.0606	383.8384	-6.0606	24.2424	-48.4848	261.2795	-10.101	0	0.89317	0	0	0	0	0.29772	0	0.12508	191	-0.099872	199	0.53751	109	-0.085481	1	0.98601	100	-0.07205	1	0.18757	166.3333	0.27616	34	228	168	366	228	168	366	254	254	14669091184	187076	13314291880	47370	399067	339804	9327856713.3333	262080.3333	0.78677	-0.032761	0.65018	0.40281	1.1194	-1.3154	0.46806	0.068948	m0014	s04	m12	n02
