AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
1307247.2772	623174.956	644269.8602	12982252.6731	1748051.7433	9039758.8173	858230.6978	7923354.4112	33043.6626	37371.8849	27430.6914	67891.4791	37076.0289	29687.4765	32615.4129	44884.9948	8561.6162	412.1212	-4735.3535	-18769.697	1656.5657	13919.1919	1412.7946	-1064.6465	0	0	0.63431	0.93407	0.99971	0.99885	0.21144	0.97754	-0.14427	199	0.58889	8	0.69771	117	0.7726	110	0.78865	32	0.87063	41	0.38078	108	0.81063	61	5538	3346	3740	5538	3346	3740	4208	4208	26155689348	1008758016	79521392	1499408678	198186289	998472853	9081322918.6667	898689273.3333	0.71611	0.81317	-1.7858	-0.44485	-0.12016	0.5653	-0.085521	9.5583e-05	m0007	s04	m07	n03
25348752.9741	4482353.1616	3001828.6723	5901831.0246	40805956.9369	14164664.2839	10944311.6027	20290817.4152	82900.9486	60157.0873	46857.0144	101331.886	78460.5955	91868.8635	63305.0168	90553.7817	19430.303	-5450.5051	-545.4545	-13216.1616	24567.6768	-5800	4478.1145	1850.5051	0	0.90438	0.98145	0	0.99885	0.63431	0.62861	0.54439	0.13884	42	0.57804	61	0.42839	114	0.14654	153	0.11201	21	0.92352	125	0.38175	72.3333	0.39402	99.6667	16806	7660	5734	16806	7660	5734	10066.6667	10066.6667	15381200516	713139532	312089904	2013998366	5707164459	2787012381	5468809984	3502725068.6667	0.25062	-0.31001	-0.68692	-0.41171	0.39698	0.047394	-0.24877	0.010887	m0007	s04	m07	n03
62363122.6259	18708896.3248	6479012.3636	49342028.9773	16054473.7247	65612597.606	29183677.1048	43669700.1027	185904.8176	112329.5872	92789.4717	198861.9287	141511.7656	115917.7887	130341.2922	152097.161	-22860.6061	-832.3232	-5620.202	-15808.0808	2804.0404	-36123.2323	-9771.0438	-16375.7576	0	0.93407	0.99538	0	0	0.92482	0.64315	0.30827	0.051051	163	0.57994	176	0.56652	109	-0.014244	199	0.79314	86	0.46522	170	0.39917	149.3333	0.4147	151.6667	27890	15798	10592	27890	15798	10592	18093.3333	18093.3333	23918906524	2769228712	646712224	12278023141	10751615579	7478789459	9111615820	10169476059.6667	-0.44549	0.90493	0.0016917	-0.80879	-0.41833	0.34169	0.15371	-0.29514	m0007	s04	m07	n03
18783534.0101	12551659.4307	10530083.4307	43943730.9741	18211524.5385	5604263.6691	13955092.2905	22586506.3939	174575.5441	120323.5638	91175.8873	207592.791	129577.5327	82746.794	128691.6651	139972.3726	-25870.7071	945.4545	-12343.4343	7268.6869	-22468.6869	-4113.1313	-12422.8956	-6437.7104	0	0.19439	0.92482	0	0	0	0.37307	0	0.0090055	197	0.84565	68	0.37192	152	-0.015785	1	0.89344	95	-0.033898	199	0.40886	139	0.28125	98.3333	20728	13746	11680	20728	13746	11680	15384.6667	15384.6667	47821355636	3297477580	1360365764	17368463498	6052194637	9073632150	17493066326.6667	10831430095	1.2597	0.90198	0.44639	-0.093834	0.68023	0.019778	0.86937	0.20206	m0007	s04	m07	n03
2977503.7802	6081016.5754	2516154.5455	24823763.4015	3231610.3373	7268370.1115	3858224.967	11774581.2834	73243.3939	107906.4541	69256.0292	118821.4738	58629.3786	50905.6564	83468.6257	76118.8363	10759.596	-1248.4848	-1377.7778	14636.3636	-8503.0303	11454.5455	2711.1111	5862.6263	0	0.77801	0	0	0.19439	0	0.25934	0.064797	0.25403	23	0.94828	100	0.18996	176	0.031101	3	0.89153	100	0.2869	197	0.46409	99.6667	0.40318	100	6294	11120	7000	6294	11120	7000	8138	8138	48843430848	800131896	2889620296	7301503779	988508701	4235299642	17511061013.3333	4175104040.6667	0.39423	0.32556	0.20433	-0.90381	0.70588	-0.28615	0.30804	-0.16136	m0007	s04	m07	n03
6753433.5236	6555328.7026	1354831.164	22718353.3814	1044518.8267	4039902.5102	4887864.4634	9267591.5728	92735.2439	135363.6151	70831.8823	124837.9264	52016.3455	59170.99	99643.5804	78675.0873	7466.6667	-1604.0404	2719.1919	10591.9192	-1713.1313	12915.1515	2860.6061	7264.6465	0	0.99538	0	0.9765	0.70147	0.60984	0.33179	0.7626	0.49158	13	0.986	100	0.37173	157	0.69424	152	0.73579	69	0.13467	10	0.61644	90	0.52157	77	11676	9454	5448	11676	9454	5448	8859.3333	8859.3333	37251043156	675978036	3121034972	2369637860	182980900	1194665915	13682685388	1249094891.6667	-0.032468	-0.21827	-0.7041	0.33085	-0.091456	0.92016	-0.31828	0.38652	m0007	s04	m07	n03
1808463.8461	6653386.3996	511277.3378	11570388.5587	1061193.8072	11654597.6667	2991042.5278	8095393.3442	79389.5395	111076.6193	43445.2448	135024.9794	38544.4725	54719.483	77970.4679	76096.3116	6016.1616	-10105.0505	606.0606	22232.3232	571.7172	17731.3131	-1160.9428	13511.7845	0	0.74148	0	0.43647	0.86872	0.93407	0.24716	0.74642	0.74201	62	0.98902	100	0.73864	136	0.75332	101	0.68842	76	0.56057	75	0.82322	99.3333	0.66743	84	6368	9454	3340	6368	9454	3340	6387.3333	6387.3333	29071626396	1009730444	2213182668	3084664185	147768333	1230070458	10764846502.6667	1487500992	0.72825	0.74251	-1.11	-0.091252	0.017466	-0.5177	0.12024	-0.19716	m0007	s04	m07	n03
1646327.1414	1611983.8238	294121.7661	5851946.3454	5541299.6843	820547.9817	1184144.2438	4071264.6705	43130.8463	47652.1063	24512.6395	91957.9592	33733.0638	38109.1521	38431.864	54600.0584	6173.7374	-2141.4141	2545.4545	8834.3434	-11137.3737	2749.4949	2192.5926	148.8215	0	0.14144	0	0	0.98145	0	0.047147	0.32715	0.92996	93	0.99449	100	0.92627	106	0.3692	174	0.88925	93	0.56199	50	0.95024	99.6667	0.60681	105.6667	4882	4908	2250	4882	4908	2250	4013.3333	4013.3333	25420142012	757819296	1750156468	3395863115	639228589	1458082065	9309372592	1831057923	0.19234	0.027346	0.05216	0.53361	-0.11583	-0.3385	0.090614	0.026428	m0007	s04	m07	n03
1384647.8137	1072500.7855	633971.2792	3087287.5486	2254565.4072	2195879.0246	1030373.2928	2512577.3268	51908.6844	32655.3846	27980.0217	48345.0602	38933.4994	36255.5241	37514.6969	41178.0279	5717.1717	3074.7475	2941.4141	3703.0303	-420.202	-6775.7576	3911.1111	-1164.3098	0	0.36592	0	0	0.2864	0	0.12197	0.095466	0.90574	131	0.97509	100	0.88549	100	0.0065549	195	0.85109	140	0.013313	7	0.92211	110.3333	0.29032	114	4284	4142	2884	4284	4142	2884	3770	3770	20481481036	320120856	1062309320	3200221349	982000619	871810282	7287970404	1684677416.6667	0.042116	-0.52618	0.086914	0.35039	0.54158	0.10515	-0.13238	0.33238	m0007	s04	m07	n03
1564581.9196	268421.8279	228112.1228	2420069.697	4120224.553	840744.0909	687038.6234	2460346.1136	50467.055	27105.242	27116.33	42068.3667	36302.5335	23831.2841	34896.209	34067.3948	-6428.2828	-533.3333	-913.1313	70.7071	6517.1717	-6224.2424	-2624.9158	121.2121	0	0.36592	0	0	0.98959	0.43647	0.12197	0.47535	0.86594	100	0.98459	100	0.84833	100	0.18756	53	0.87745	129	0.76535	157	0.89962	100	0.61012	113	5044	2008	1582	5044	2008	1582	2878	2878	19264804140	103045288	767174384	3333393784	498218743	178315666	6711674604	1336642731	-0.78164	0.32399	0.40934	0.54048	-0.54789	1.2763	-0.016103	0.42297	m0007	s04	m07	n03
