AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
144923.2562	392188.2424	318092.8145	528064.7551	36304.0226	118799.6577	285068.1044	227722.8118	22525.0837	29294.1888	17624.0423	22300.6545	8905.9735	6728.2909	23147.7716	12644.973	1345.4545	-3240.404	4234.3434	4373.7374	800	1905.0505	779.798	2359.596	0	0	0	0.14144	0	0.99971	0	0.38038	0.92824	100	-0.069552	199	-0.069552	199	0.92239	110	0.69242	147	0.63359	136	0.26304	166	0.74947	131	1544	2656	2244	1544	2656	2244	2148	2148	27161589004	282498736	2167372872	280635843	42312360	11798531	9870486870.6667	111582244.6667	0.88004	-0.068162	-0.48737	0.089806	1.3386	0.40637	0.10817	0.61159	m0010	s04	m09	n06
951396.8889	503011.3115	440701.8549	1083457.113	271331.9834	61509.1313	631703.3518	472099.4093	36212.4372	33688.6757	26482.119	26151.7947	12448.4229	11032.2026	32127.7439	16544.1401	2109.0909	-808.0808	-2032.3232	-3343.4343	-161.6162	-503.0303	-243.771	-1336.0269	0	0	0	0.6577	0.89317	0.63431	0	0.7284	0.94071	100	-0.084857	1	-0.084857	1	0.72351	102	0.046611	1	0.36244	119	0.257	34	0.37752	74	4204	3180	2274	4204	3180	2274	3219.3333	3219.3333	24658481192	481623144	2134002748	213127833	32553908	11490380	9091369028	85724040.3333	0.98498	0.48075	-0.44584	-0.25362	0.37162	0.021534	0.33996	0.04651	m0010	s04	m09	n06
1880730.7875	920707.1257	824093.899	1808688.0166	232831.5152	200638.6678	1208510.604	747386.0665	69316.8395	35163.4107	36120.8969	30772.7218	21625.3686	22409.1792	46867.0491	24935.7565	-3818.1818	642.4242	-2630.303	1161.6162	2460.6061	-541.4141	-1935.3535	1026.936	0	0.14144	0	0.99971	0.97095	0.99277	0.047147	0.98781	0.86531	100	-0.086908	1	-0.086908	1	0.49798	162	0.64573	78	0.5684	74	0.2305	34	0.57071	104.6667	5766	3620	2876	5766	3620	2876	4087.3333	4087.3333	25340088908	414372872	2080390560	179731530	23597920	19913091	9278284113.3333	74414180.3333	-0.10795	-0.11889	0.43025	-0.073582	-0.49192	-0.90926	0.067802	-0.49159	m0010	s04	m09	n06
987231.2222	619881.1717	1887082.7539	1555447.6948	495101.846	259767.339	1164731.716	770105.6266	69773.5674	40277.3215	55683.9567	40717.1123	32038.941	23983.2686	55244.9485	32246.4406	-2173.7374	-1749.4949	-3531.3131	6729.2929	3264.6465	1420.202	-2484.8485	3804.7138	0	0.14144	0	0.6577	0.99277	0.95067	0.047147	0.86705	0.8727	85	-0.041128	1	-0.041128	1	0.5303	105	0.64372	87	0.63558	82	0.26348	29	0.6032	91.3333	4538	3620	6160	4538	3620	6160	4772.6667	4772.6667	26858442460	243780272	2271145432	226598467	50020089	27208296	9791122721.3333	101275617.3333	-0.38937	-0.87028	0.37841	-0.62423	0.35749	-0.72999	-0.29375	-0.33224	m0010	s04	m09	n06
452855.9935	545807.3774	1815697.0764	1658423.8974	1013973.4928	125276.7332	938120.1491	932558.0411	36407.2809	40268.0915	51980.1205	38382.3192	29616.1572	16054.8177	42885.1643	28017.7647	1296.9697	2080.8081	-2573.7374	-1539.3939	-2040.404	103.0303	268.0135	-1158.9226	0	0	0	0.89317	0.79504	0.74148	0	0.8099	0.90148	100	-0.067371	1	-0.067371	1	0.76611	53	0.63164	122	0.74435	135	0.25558	34	0.71404	103.3333	3024	2728	6210	3024	2728	6210	3987.3333	3987.3333	26809530984	280712044	1678311016	190805438	145623797	18196527	9589518014.6667	118208587.3333	-0.84468	-0.48554	1.2965	-0.19764	0.062623	-0.30581	-0.011237	-0.14695	m0010	s04	m09	n06
235741.3188	392833.0259	235236.8549	1619554.137	651852.9519	54277.2334	287937.0665	775228.1074	19085.856	29216.3231	21117.2389	23677.4282	14395.0188	9761.1475	23139.806	15944.5315	1090.9091	3042.4242	2795.9596	-6767.6768	-1884.8485	-444.4444	2309.7643	-3032.3232	0	0	0	0.76017	0.40218	0.55744	0	0.57326	0.93071	100	-0.058938	199	-0.058938	199	0.31516	95	0.38816	22	0.63755	67	0.27095	166	0.44696	61.3333	2208	2654	2470	2208	2654	2470	2444	2444	27532479928	287072684	1050208928	216044170	107012552	7812353	9623253846.6667	110289691.6667	-1.9361	-0.6915	0.4719	0.9385	1.1546	-1.8638	-0.71856	0.076412	m0010	s04	m09	n06
17954.8974	97524.3329	125656.0303	898611.686	48522.9546	13848.1313	80378.4202	320327.5906	9152.2697	13172.423	12900.8652	14537.4612	6069.6296	3180.5596	11741.8526	7929.2168	892.9293	-12.1212	1050.5051	1872.7273	-719.1919	-442.4242	643.771	237.037	0	0	0	0.77801	0.6577	0.55744	0	0.66438	0.97243	100	-0.083374	199	-0.083374	199	0.31924	169	0.62381	178	0.79796	127	0.26856	166	0.58034	158	532	1110	1200	532	1110	1200	947.3333	947.3333	26902828972	173874008	1144022268	161974455	8373227	2663734	9406908416	57670472	0.30207	0.56378	-0.082311	0.24931	0.00013667	-0.16752	0.26118	0.027309	m0010	s04	m09	n06
25481.7277	61247.2743	73094.899	433709.2738	134618.4186	6009.7127	53274.6337	191445.8017	9425.6045	13545.1657	13062.9556	14213.5516	6213.8002	2969.2022	12011.2419	7798.8514	141.4141	-1175.7576	315.1515	5252.5253	-341.4141	-250.5051	-239.7306	1553.5354	0	0	0	0.99885	0.95804	0.93407	0	0.96365	0.97839	100	-0.094514	199	-0.094514	199	0.54536	48	0.65877	80	0.73441	65	0.26312	166	0.64618	64.3333	572	986	1066	572	986	1066	874.6667	874.6667	26919387536	141152960	1220574284	43865165	13380862	610888	9427038260	19285638.3333	-0.073955	0.40019	-0.40686	-1.5079	-0.16376	-0.30224	-0.026878	-0.65795	m0010	s04	m09	n06
13565.1212	30278.8117	32779.644	63179.24	91499.1793	8421.7552	25541.1923	54366.7248	9162.065	12615.7189	13584.4236	8719.6979	4711.4303	2711.2187	11787.4025	5380.7823	-339.3939	193.9394	-800	-2327.2727	1117.1717	-410.101	-315.1515	-540.0673	0	0	0	0.99538	0.86872	0.85545	0	0.90652	0.99195	100	-0.091803	1	-0.091803	1	0.57571	187	0.57793	140	0.61786	29	0.26945	34	0.5905	118.6667	452	718	754	452	718	754	641.3333	641.3333	27118539876	189751692	1059378188	6255756	9058425	1024548	9455889918.6667	5446243	0.02419	0.30734	0.2887	-0.42899	-0.79907	0.76447	0.20674	-0.15453	m0010	s04	m09	n06
5455.2469	12977.1976	17034.1863	86608.5337	64068.2663	1732.1433	11822.2102	50802.9811	8942.6455	12237.7789	12939.2052	5486.1073	3661.0425	2402.2717	11373.2099	3849.8072	622.2222	525.2525	-101.0101	-781.8182	-923.2323	14.1414	348.8215	-563.6364	0	0	0	0.86872	0.9765	0	0	0.61507	0.99685	100	-0.10229	1	-0.10229	1	0.7737	74	0.84053	141	0.72143	163	0.26409	34	0.77855	126	398	512	542	398	512	542	484	484	26922261416	196691592	1019513316	15104314	6363552	762997	9379488774.6667	7410287.6667	-0.71591	-0.75223	-0.010756	0.12609	-0.35272	-0.38979	-0.49296	-0.20547	m0010	s04	m09	n06
