AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
45344.5087	210391.6461	57251.8448	1823740.0238	107381.6294	117298.3809	104329.3332	682806.678	31515.8834	30918.9622	24863.4249	59163.6252	15477.6476	15912.1452	29099.4235	30184.4727	735.3535	-1850.5051	-1709.0909	3616.1616	-2260.6061	2268.6869	-941.4141	1208.0808	0	0.70147	0	0.81128	0.60984	0.60984	0.23382	0.67699	-0.065601	1	-0.094138	1	0.69934	100	0.77294	164	0.41015	8	0.37275	4	0.17987	34	0.51861	58.6667	1002	2010	1198	1002	2010	1198	1403.3333	1403.3333	27380110860	38681088	428200624	313855760	27512197	17480077	9282330857.3333	119616011.3333	-0.48411	0.0059581	0.62547	0.53839	-0.075209	0.85859	0.049105	0.44059	m0002	s04	m03	n01
11602613.4186	222295.2323	1158901.4024	4027562.0827	28210213.9984	4275079.4933	4327936.6844	12170951.8581	95499.5965	49689.9803	46362.28	93191.4311	59355.0692	31855.5325	63850.6189	61467.3443	-32529.2929	3038.3838	-10509.0909	22753.5354	-36454.5455	10096.9697	-13333.3333	-1201.3468	0	0.52936	0.49992	0.24229	0.93407	0.95067	0.34309	0.70901	0.035352	198	0.27032	4	0.75218	124	0.028948	165	0.88318	51	0.76476	16	0.35262	108.6667	0.55896	77.3333	16826	1748	5534	16826	1748	5534	8036	8036	31867039804	52015712	296835468	919293939	3997623054	670653186	10738630328	1862523393	-3.1591	0.21241	-2.2441	2.5122	-1.3375	0.76559	-1.7303	0.64675	m0002	s04	m03	n01
22753327.1802	22443970.2853	25767105.6238	132967142.7858	247180777.9277	30309097.3272	23654801.0298	136819006.0135	158408.9886	254414.1537	162317.3398	242624.0139	192124.5019	102550.564	191713.494	179099.6933	-12872.7273	5276.7677	7789.899	-57943.4343	67032.3232	-5482.8283	64.6465	1202.0202	0	0.98145	0.99538	0.82675	0.90438	0.9648	0.65894	0.89864	0.56426	88	0.62503	79	0.82459	93	0.79793	24	0.86975	110	0.73515	66	0.67129	86.6667	0.80094	66.6667	17624	21246	20914	17624	21246	20914	19928	19928	41114945324	2520634408	2847754332	13186653889	24488835628	3032955117	15494444688	13569481544.6667	-1.2262	-2.2577	-1.1018	-0.74088	0.82084	-0.53165	-1.5286	-0.15057	m0002	s04	m03	n01
36052422.2966	31053997.2541	65840030.8687	160556834.739	316896929.8974	17154433.7854	44315483.4731	164869399.4739	364218.7022	301565.2795	356501.4763	346596.9668	287422.3521	125743.0039	340761.8193	253254.1076	27078.7879	2254.5455	1208.0808	-34660.6061	18676.7677	-7153.5354	10180.4714	-7712.4579	0	0.99971	0.95067	0.9765	0.90438	0.6577	0.65013	0.8462	0.69186	185	0.4385	170	0.74431	93	0.45501	45	0.82158	113	0.53703	172	0.62489	149.3333	0.60454	110	23732	25458	34562	23732	25458	34562	27917.3333	27917.3333	36620138928	3144617064	6913854720	17636335932	42023118620	2929281255	15559536904	20862911935.6667	-0.15287	-1.4439	-0.36069	-0.049855	-0.22966	0.44168	-0.6525	0.054056	m0002	s04	m03	n01
46991791.3438	30591686.5046	83653490.9398	78365432.6804	381861887.9661	11688992.1029	53745656.2628	157305437.5831	700399.4981	608427.2422	786091.6995	563372.4584	538420.4148	231722.326	698306.1466	444505.0664	15692.9293	-6294.9495	1301.0101	45216.1616	-91971.7172	10626.2626	3566.33	-12043.0976	0	0.88129	0.70147	0.98582	0.95804	0.90438	0.52759	0.94941	0.16919	28	-0.015156	52	0.495	101	0.46644	170	0.49352	90	0.57918	161	0.21634	60.3333	0.51305	140.3333	26962	31446	53598	26962	31446	53598	37335.3333	37335.3333	33452449544	3259306988	10804105600	8636754860	38170115484	1327880927	15838620710.6667	16044917090.3333	-0.60057	-1.643	-2.0903	-0.41201	0.54484	0.55568	-1.4446	0.2295	m0002	s04	m03	n01
32369144.5248	39006582.2299	71699521.3329	37520581.7915	50060474.0549	10485845.7778	47691749.3626	32688967.2081	599418.5385	655020.7448	616741.9852	509712.4478	495147.7967	239105.8766	623727.0895	414655.3737	37478.7879	-12791.9192	58513.1313	-1101.0101	-1830.303	-1103.0303	27733.3333	-1344.7811	0	0.99538	0.6577	0.99277	0.14144	0.99885	0.55103	0.71102	0.36217	195	0.63534	195	0.64596	195	0.48432	188	0.53516	171	0.31598	194	0.54782	195	0.44515	184.3333	26962	31446	53598	26962	31446	53598	37335.3333	37335.3333	31697917788	3865117940	8606813748	3835115566	20591388662	1040755632	14723283158.6667	8489086620	-1.164	-0.91767	-2.3941	-0.3387	-0.86921	-0.093624	-1.4919	-0.43384	m0002	s04	m03	n01
4031713.5754	20572505.6566	5163901.2347	6853330.4536	16366175.964	3248225.6011	9922706.8222	8822577.3396	186880.8122	402118.1293	154334.6384	139603.7191	123821.5709	107070.5271	247777.86	123498.6057	1276.7677	2868.6869	3498.9899	6597.9798	22155.5556	-6650.5051	2548.1481	7367.6768	0	0.99885	0	0.85545	0.19439	0.81128	0.33295	0.62037	0.15751	150	-0.091013	199	0.24631	11	0.68483	143	0.75082	178	0.41238	154	0.10427	120	0.61601	158.3333	10246	25548	10516	10246	25548	10516	15436.6667	15436.6667	23094622404	2041867344	5841335880	805837711	4218538928	328487553	10325941876	1784288064	-0.070704	-0.11762	-0.63393	-0.70214	-0.36461	-1.011	-0.27408	-0.69259	m0002	s04	m03	n01
1343622.4388	7730311.2481	1042272.137	3660305.1612	1922635.0807	540512.7297	3372068.6079	2041150.9905	141663.9244	224570.2626	93941.5765	82277.1272	86127.7346	42684.2577	153391.9212	70363.0398	-5236.3636	-9098.9899	-3204.0404	16197.9798	11331.3131	-3123.2323	-5846.4646	8135.3535	0	0.95804	0	0.63431	0.55744	0.9648	0.31935	0.71885	0.050658	4	-0.094731	1	0.39386	100	0.76442	105	0.64101	192	0.66834	193	0.1166	35	0.69126	163.3333	7406	15728	5676	7406	15728	5676	9603.3333	9603.3333	21401857536	840057588	7445309812	483925246	307091059	62982382	9895741645.3333	284666229	-1.4976	2.79	1.46	-2.7971	-1.3628	1.0397	0.91747	-1.04	m0002	s04	m03	n01
942792.0368	1375680.8384	723006.4949	2499005.1313	4550846.2322	558002.6097	1013826.4567	2535951.3244	165836.4681	132898.0166	113156.3038	121314.5124	55623.6451	43070.255	137296.9295	73336.1375	-743.4343	-2933.3333	-1103.0303	1286.8687	15755.5556	-3064.6465	-1593.266	4659.2593	0	0.94268	0	0.74148	0.99885	0.84146	0.31423	0.8606	0.010645	3	-0.094724	1	0.36143	18	0.1965	163	0.69774	31	0.65308	30	0.09245	7.3333	0.51577	74.6667	7324	6020	5534	7324	6020	5534	6292.6667	6292.6667	20794963468	147623564	7435448612	331967924	526135063	67462876	9459345214.6667	308521954.3333	-2.2495	0.061901	-0.076867	-0.84817	0.78877	0.94301	-0.75484	0.29454	m0002	s04	m03	n01
1673804.8562	2907672.5539	2534281.4848	6313369.202	6062450.486	843396.9095	2371919.6316	4406405.5325	195575.7313	185339.202	126047.3216	167484.915	80938.9619	65420.9956	168987.4183	104614.9575	-4537.3737	4113.1313	-5498.9899	6476.7677	17836.3636	-167.6768	-1974.4108	8048.4848	0	0.9648	0	0.9765	0.52936	0.93407	0.3216	0.81331	0.19605	191	-0.075396	1	0.28064	110	0.59364	124	0.47878	70	0.27735	185	0.13377	100.6667	0.44992	126.3333	7324	9946	7288	7324	9946	7288	8186	8186	22821435212	300924916	5873044228	653443112	2145592355	98099392	9665134785.3333	965711619.6667	-0.66258	-0.89536	-0.014723	-0.53405	-0.74221	0.88185	-0.52422	-0.13147	m0002	s04	m03	n01
