AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
529094.0521	4768347.9192	1590140.9596	301663.7612	408951.7546	477400.5228	2295860.977	396005.3462	34577.6713	34596.0586	36674.9302	7999.2929	13437.2015	7939.2898	35282.8867	9791.9281	2024.2424	11191.9192	-6189.899	2472.7273	-3422.2222	2195.9596	2342.0875	415.4882	0	0	0	0	0.97095	0.86872	0	0.61322	-0.088716	199	-0.085486	1	0.91104	100	0.2284	184	0.97541	50	0.58348	19	0.24561	100	0.59576	84.3333	3294	8098	4600	3294	8098	4600	5330.6667	5330.6667	6840129900	3981681008	17516276964	272781874	50425741	82346950	9446029290.6667	135184855	0.42503	0.8475	0.28677	-0.42001	-0.35045	0.2036	0.51977	-0.18895	m0003	s04	m21	n02
3784672.4267	7618785.6562	1500396.7208	125728.191	358229.9794	267522.6338	4301284.9345	250493.6014	39587.5912	55438.1774	38879.1653	8949.6459	13648.754	8177.5994	44634.978	10258.6664	7139.3939	13393.9394	-2141.4141	-2028.2828	-4521.2121	-1218.1818	6130.6397	-2589.2256	0	0	0	0	0.40218	0.32744	0	0.24321	-0.045501	199	-0.10203	1	0.93417	100	0.087892	193	0.94291	112	0.076742	17	0.26221	100	0.36918	107.3333	5948	8470	4172	5948	8470	4172	6196.6667	6196.6667	4465257168	10480124732	12708403488	316764649	169788232	97053141	9217928462.6667	194535340.6667	0.020315	-0.52291	0.13376	-0.49034	1.3604	-0.21121	-0.12295	0.21961	m0003	s04	m21	n02
3200709.697	7040458.5774	743666.2929	843593.8847	502646.76	2361549.3026	3661611.5224	1235929.9825	62321.5513	95768.5256	48644.7938	14644.7771	12930.7089	14634.9243	68911.6236	14070.1368	3466.6667	-4711.1111	1688.8889	-4553.5354	3389.899	-6973.7374	148.1481	-2712.4579	0.14144	0	0	0.97095	0.49992	0.98959	0.047147	0.82015	-0.066971	1	-0.10754	199	0.96565	100	0.73617	156	0.39419	110	0.93545	38	0.26371	100	0.6886	101.3333	6978	11366	3246	6978	11366	3246	7196.6667	7196.6667	1661852536	16759475348	11061065004	116095917	157245012	309922496	9827464296	194421141.6667	0.57517	1.2061	0.40695	-0.089658	0.72613	-0.41805	0.72942	0.072809	m0003	s04	m21	n02
10819766.8279	8986687.137	865267.3115	119348.5681	993666.3106	1443774.5829	6890573.7588	852263.1539	84830.9549	93837.4352	48527.0725	13936.9141	15893.5601	18259.4876	75731.8209	16029.9873	-8909.0909	-1321.2121	-3337.3737	-1656.5657	4856.5657	-866.6667	-4522.5589	777.7778	0.14144	0	0	0.95067	0.9648	0.49992	0.047147	0.80513	-0.083752	1	-0.096936	1	0.95883	100	0.46991	135	0.70511	95	0.59975	68	0.25938	34	0.59159	99.3333	11360	11372	3472	11360	11372	3472	8734.6667	8734.6667	3990376204	14519964328	10731691320	14028462	106826521	346643649	9747343950.6667	155832877.3333	0.10763	1.5625	0.54128	0.21422	-0.21508	-0.15879	0.73714	-0.053216	m0003	s04	m21	n02
3069978.7475	745762.6117	446541.9842	136365.4461	1459587.0246	423969.7466	1420761.1145	673307.4058	71608.2158	52073.8559	37483.68	8098.1355	16200.7607	13058.3152	53721.9172	12452.4038	-6395.9596	1365.6566	-2698.9899	3591.9192	-5862.6263	5571.7172	-2576.431	1100.3367	0	0	0	0.99538	0.98582	0.77801	0	0.91973	-0.089571	199	-0.10529	1	0.99094	100	0.5717	168	0.49007	94	0.7816	186	0.26536	100	0.61446	149.3333	7716	3310	3162	7716	3310	3162	4729.3333	4729.3333	8655694440	9330425504	10319395252	14737168	145542782	65498415	9435171732	75259455	0.84605	-0.25304	0.53418	0.79285	-0.35434	-1.0011	0.37573	-0.18754	m0003	s04	m21	n02
2594303.0707	791801.5107	506504.9471	631003.1701	872785.1324	399800.2913	1297536.5095	634529.5313	56161.7433	68046.6863	85938.5169	14650.9971	17039.6448	10264.2067	70048.9822	13984.9496	4884.8485	1858.5859	4088.8889	3242.4242	-3133.3333	-2406.0606	3610.7744	-765.6566	0	0	0	0.77801	0.36592	0.86872	0	0.67089	-0.10166	199	-0.094979	199	0.99549	100	0.49764	27	0.76218	14	0.8485	41	0.26628	166	0.70277	27.3333	5720	4338	3826	5720	4338	3826	4628	4628	7944969128	9259132532	11388815872	150836834	319832179	55945490	9530972510.6667	175538167.6667	-0.46283	0.37576	0.65348	-0.19029	0.49309	-0.68755	0.1888	-0.12825	m0003	s04	m21	n02
325648.5915	1411214.6469	1887153.5451	366038.1681	2520662.9317	1324751.3918	1208005.5945	1403817.4972	65888.231	93582.1445	95076.9173	16115.4672	29601.5356	17583.7965	84849.0976	21100.2664	1624.2424	7006.0606	-7446.4646	-1216.1616	7872.7273	-1557.5758	394.6128	1699.6633	0	0	0	0	0.98145	0.6577	0	0.54639	-0.086377	199	-0.067075	1	0.98546	100	0.36762	31	0.077043	189	0.93676	54	0.27734	100	0.46047	91.3333	2668	4012	5888	2668	4012	5888	4189.3333	4189.3333	5557009720	11858075852	11078839680	159350118	297050808	319968217	9497975084	258789714.3333	-0.052589	0.53722	-0.44845	-0.024692	0.061112	0.17939	0.012059	0.071938	m0003	s04	m21	n02
7447980.5964	2232857.8663	4589026.4933	462559.7854	930619.6132	1421751.2016	4756621.652	938310.2001	58839.7996	81040.9748	58598.4176	14451.8707	29637.4797	17997.6654	66159.7307	20695.6719	-13858.5859	-2121.2121	-13567.6768	-1325.2525	9751.5152	2436.3636	-9849.1582	3620.8754	0	0	0	0	0.40218	0.76017	0	0.38745	-0.092983	1	-0.057058	1	0.97162	100	0.93064	79	-0.029274	34	0.064139	2	0.27386	34	0.32184	38.3333	8940	5740	8082	8940	5740	8082	7587.3333	7587.3333	9538341624	12237202700	7302769852	167333019	285416409	283192820	9692771392	245314082.6667	-0.93619	0.0090042	0.51616	0.51916	0.49514	-0.24245	-0.13701	0.25728	m0003	s04	m21	n02
6055665.1653	2365505.7358	26256356.4865	185032.2651	5074884.2702	397704.463	11559175.7958	1885873.6661	63405.6493	55900.9369	67785.5561	14017.435	37980.5586	13676.7147	62364.0474	21891.5694	-3507.0707	-11244.4444	-27535.3535	2563.6364	3955.5556	494.9495	-14095.6229	2338.0471	0	0	0.94268	0	0	0.81128	0.31423	0.27043	-0.075353	1	0.46609	33	0.8669	139	0.95119	57	0.061286	179	0.04967	175	0.41921	57.6667	0.35405	137	8048	6512	14832	8048	6512	14832	9797.3333	9797.3333	13937635736	9801059416	3153171968	261603320	2026261875	71074146	8963955706.6667	786313113.6667	0.047758	0.68112	-0.59725	0.12558	0.37437	-0.51574	0.043875	-0.0052629	m0003	s04	m21	n02
6929471.5733	4605723.5632	43581463.5297	605244.3693	7176321.2469	283536.1701	18372219.5554	2688367.2621	299861.9373	135506.4246	259485.6949	57827.5283	153256.1189	22170.6148	231618.0189	77751.4207	11701.0101	-13713.1313	-38416.1616	1133.3333	-2535.3535	-383.8384	-13476.0943	-595.2862	0	0	0.58424	0.19439	0.32744	0.40218	0.19475	0.30801	-0.049152	1	0.87101	46	0.14362	188	0.85774	129	-0.086205	199	-0.086205	199	0.32182	78.3333	0.22844	175.6667	15082	8476	29006	15082	8476	29006	17521.3333	17521.3333	11828255712	6027364940	9598633600	358130646	2274531746	96539086	9151418084	909733826	-0.81861	-0.10677	0.057615	0.035563	-1.2473	-0.057716	-0.28926	-0.42317	m0003	s04	m21	n02
