AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
232759.9903	390593.5721	198212.3701	2567538.3681	2937187.8314	1564564.0319	273855.3108	2356430.0771	35481.9288	34368.508	29487.3916	57116.8039	31058.5501	22617.8798	33112.6095	36931.0779	1195.9596	5834.3434	-2622.2222	5573.7374	-9034.3434	10690.9091	1469.3603	2410.101	0	0.43647	0	0.99538	0.92482	0.9765	0.14549	0.96557	0.1677	198	-0.092883	1	0.86533	105	0.7002	141	0.67849	87	0.75941	175	0.31338	101.3333	0.7127	134.3333	3208	3568	2266	3208	3568	2266	3014	3014	26531311584	97335172	1142838032	286751582	360733073	172935644	9257161596	273473433	-0.82148	0.051026	2.1349	-1.3205	0.83857	-0.073759	0.45483	-0.18524	m0010	s04	m11	n01
2200763.7802	46090708.5075	6992046.857	88321882.2287	3206490.2193	4967276.364	18427839.7149	32165216.2707	131965.2418	250318.6333	154469.1843	349754.9682	91628.0249	117873.303	178917.6865	186418.7654	-3252.5253	12068.6869	-5721.2121	53703.0303	-1686.8687	-9002.0202	1031.6498	14338.0471	0	0	0.52936	0.79504	0.77801	0.72193	0.17645	0.76499	-0.0052383	199	0.27057	19	0.49353	119	0.21452	79	0.82989	47	0.77365	25	0.25296	112.3333	0.60602	50.3333	8722	29094	13450	8722	29094	13450	17088.6667	17088.6667	28325202840	6246244104	1135930012	10600131864	515190813	552466274	11902458985.3333	3889262983.6667	-1.3331	2.2991	-2.5248	2.2425	-0.93388	-1.8644	-0.51959	-0.18525	m0010	s04	m11	n01
4311163.0202	47849759.4646	13553842.1673	175624043.4823	29390549.8651	26080290.3398	21904921.5507	77031627.8957	147756.387	281639.9794	166403.9238	477191.9517	131539.5167	168015.841	198600.0967	258915.7698	7195.9596	755.5556	5551.5152	-25795.9596	8284.8485	14387.8788	4501.0101	-1041.0774	0	0.36592	0.81128	0.99971	0.98582	0.55744	0.3924	0.84765	-0.016981	199	-0.072317	136	0.69019	31	0.54815	58	0.72398	55	0.79074	98	0.2003	122	0.68762	70.3333	9254	30174	15612	9254	30174	15612	18346.6667	18346.6667	28399033140	8439240212	1743480072	17442842961	3476371028	5014351960	12860584474.6667	8644521983	-0.11424	1.5271	-0.79217	0.89449	0.20582	-0.36083	0.20688	0.24649	m0010	s04	m11	n01
7808509.642	20670766.3721	13008066.8812	56863034.6388	34652441.6016	33957674.96	13829114.2985	41824383.7335	155503.6548	305118.4026	173447.0862	352092.2819	144978.4282	147762.5915	211356.3812	214944.4338	-222.2222	12828.2828	6197.9798	-39630.303	-10208.0808	-3389.899	6268.0135	-17742.7609	0	0.74148	0.55744	0.58424	0.99277	0.88129	0.43297	0.81943	-0.091003	199	0.15012	189	0.66126	31	0.37641	54	0.16559	38	0.85937	96	0.24013	139.6667	0.46712	62.6667	11806	18110	16672	11806	18110	16672	15529.3333	15529.3333	21039753720	3438098740	3248747284	10213082476	3798510152	5584592854	9242199914.6667	6532061827.3333	-0.18681	0.92704	-0.43339	1.1203	0.12684	-0.42942	0.10228	0.27258	m0010	s04	m11	n01
12775056.5253	12564327.5168	5309458.2529	29291271.5762	9103185.2746	31627301.9572	10216280.765	23340586.2693	167141.5344	316209.5022	171132.6451	204079.3241	127105.5443	113950.6645	218161.2272	148378.511	-6040.404	3414.1414	-1507.0707	32216.1616	-2333.3333	-33737.3737	-1377.7778	-1284.8485	0	0.58424	0	0.68008	0.91493	0.76017	0.19475	0.78506	0.017795	192	-0.08489	1	0.73583	136	0.84607	73	0.74196	49	0.8186	65	0.22291	109.6667	0.80221	62.3333	13926	18110	11742	13926	18110	11742	14592.6667	14592.6667	24414353096	2851653872	3136192328	4601513888	1126242343	4718583480	10134066432	3482113237	-0.19049	0.39823	1.1069	0.20196	0.037987	0.89102	0.4382	0.37699	m0010	s04	m11	n01
3420012.7107	6838497.2004	635368.4893	12834621.6237	3463778.351	4745170.3754	3631292.8001	7014523.45	94499.6564	141908.9878	62204.784	125303.8505	60598.7299	64159.1109	99537.8094	83353.8971	6941.4141	-11131.3131	3244.4444	-9913.1313	10444.4444	6527.2727	-315.1515	2352.862	0	0.36592	0	0.95804	0.76017	0	0.12197	0.57274	-0.044536	1	-0.062283	199	0.82533	83	0.46666	186	0.62869	112	0.25861	26	0.2395	94.3333	0.45132	108	7376	10482	4564	7376	10482	4564	7474	7474	29444374316	1789540564	1958058396	1353537671	389829707	4846626368	11063991092	2196664582	-1.5512	0.68952	-0.79134	0.3462	-0.68868	0.26875	-0.55101	-0.024578	m0010	s04	m11	n01
124010.9459	1167269.6061	96703.0885	2139980.81	454661.6885	2295232.7398	462661.2135	1629958.4128	34157.1413	74259.2782	33008.8938	65352.2823	23717.3934	32465.4782	47141.7711	40511.718	-3006.0606	-7127.2727	-1050.5051	-9864.6465	5858.5859	12072.7273	-3727.9461	2688.8889	0	0.86872	0	0.88129	0	0	0.28957	0.29376	0.17702	11	-0.091687	1	0.66976	90	0.46014	7	0.7116	164	-0.045273	1	0.2517	34	0.37549	57.3333	1986	3958	1580	1986	3958	1580	2508	2508	26204268476	177922300	1809301504	270700807	184671904	1545832960	9397164093.3333	667068557	-1.7144	0.27336	0.99934	-0.023197	0.79606	-0.71887	-0.14724	0.018	m0010	s04	m11	n01
155033.2489	480052.96	708749.4865	1956607.356	981363.8832	629010.8132	447945.2318	1188994.0175	29259.77	44070.0636	25861.824	45312.8073	25122.0536	17912.165	33063.8859	29449.0086	-1321.2121	-4735.3535	-4149.4949	-5549.4949	868.6869	5157.5758	-3402.0202	158.9226	0	0.85545	0	0.82675	0	0	0.28515	0.27558	0.78959	60	-0.064803	1	0.24844	39	0.22208	8	0.76658	111	-0.044089	1	0.32441	33.3333	0.31486	40	2090	2516	2522	2090	2516	2522	2376	2376	26734716044	57112936	1220583356	299020982	332366324	421348041	9337470778.6667	350911782.3333	-0.55768	1.0031	-0.269	0.062453	1.0033	-0.63633	0.058807	0.14314	m0010	s04	m11	n01
99899.0428	52280.6057	168565.0925	1160338.7903	1602838.2904	377774.1794	106914.9137	1046983.7534	21896.2845	27094.5669	21977.9872	32068.5944	19796.6735	9241.4088	23656.2795	20368.8922	1656.5657	-1503.0303	-3054.5455	6612.1212	-8951.5152	4040.404	-967.0034	567.0034	0	0	0	0.99538	0.92482	0.63431	0	0.8515	0.97594	95	-0.09335	1	-0.09335	1	0.62922	192	0.57237	139	0.7129	170	0.26308	32.3333	0.63816	167	1536	1184	2084	1536	1184	2084	1601.3333	1601.3333	26731480868	87074660	586121168	132493386	240357397	92059050	9134892232	154969944.3333	0.52197	0.73663	0.93416	-0.61281	0.8691	-0.08667	0.73092	0.056541	m0010	s04	m11	n01
68945.2218	171570.2077	431828.244	1559328.4722	1775757.9252	568503.8889	224114.5578	1301196.7621	21504.8409	28997.5548	23063.8989	37347.7407	18263.5808	16004.7973	24522.0982	23872.0396	-266.6667	432.3232	4339.3939	2551.5152	-7614.1414	6492.9293	1501.6835	476.7677	0	0.40218	0	0.90438	0.63431	0.92482	0.13406	0.82117	0.92435	120	-0.081828	199	-0.081828	199	0.5562	19	0.70433	108	0.50718	6	0.25356	172.6667	0.58924	44.3333	1466	1806	2688	1466	1806	2688	1986.6667	1986.6667	26737506000	88706024	661128632	189473219	299389947	72773606	9162446885.3333	187212257.3333	0.75734	1.614	1.595	1.4385	-0.14386	0.41032	1.3221	0.56832	m0010	s04	m11	n01
