AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
30239.9337	10270.3984	15710.6824	2517.3829	4395.593	1279.5041	18740.3382	2730.8267	14714.193	9334.0259	14432.0631	2131.7229	2460.1881	1100.2295	12826.7607	1897.3802	-24.2424	323.2323	565.6566	-272.7273	351.5152	-189.899	288.2155	-37.037	0	0	0	0.77801	0.94268	0	0	0.57356	-0.087676	199	0.99835	100	-0.10037	1	0.57675	78	0.17273	8	0.35011	196	0.2701	100	0.36653	94	808	486	668	808	486	668	654	654	26017973984	39065928	489249580	351813	570073	376371	8848763164	432752.3333	-0.27843	-0.79902	-0.3522	-0.0024118	-0.06783	0.97953	-0.47655	0.3031	m0002	s04	m08	n02
155448.5152	601485.6061	81616.6768	54905.9774	19137.4799	5769.7312	279516.9327	26604.3962	16124.5656	15205.9	19273.6382	5118.5146	6391.8193	1711.3997	16868.0346	4407.2445	2262.6263	4068.6869	690.9091	1933.3333	-1197.9798	191.9192	2340.7407	309.0909	0	0	0	0.86872	0.9648	0.90438	0	0.91263	-0.047887	199	0.99106	100	-0.081444	1	0.67389	5	0.56522	100	0.59462	80	0.28724	100	0.61125	61.6667	1560	2578	1346	1560	2578	1346	1828	1828	25248394204	150768676	499367276	5653594	1962575	571269	8632843385.3333	2729146	1.024	1.5106	-0.7667	2.2285	-1.0594	-0.1886	0.58928	0.32685	m0002	s04	m08	n02
694675.6186	1132653.6582	202290.3046	526204.1748	89114.3147	50435.0678	676539.8605	221917.8525	24655.6896	25473.0121	19890.3662	7461.3618	9421.5099	4344.0427	23339.6893	7075.6381	-4323.2323	941.4141	840.404	3551.5152	886.8687	-822.2222	-847.138	1205.3872	0	0	0	0.74148	0.93407	1	0	0.89185	-0.030908	199	0.96944	100	-0.082549	1	0.42821	19	0.58386	118	0.73361	60	0.28533	100	0.58189	65.6667	3390	3632	1996	3390	3632	1996	3006	3006	26232611792	475523056	421115480	121421485	12655298	5009277	9043083442.6667	46362020	-0.6958	-0.032561	-0.1611	-0.09085	-0.059193	-0.023853	-0.29649	-0.057966	m0002	s04	m08	n02
2212169.0808	4641639.6137	564350.1915	199348.7451	270985.1187	67183.8435	2472719.6287	179172.5691	53825.8321	48623.8915	30043.4164	9354.0031	18829.1629	7608.1562	44164.38	11930.4407	1975.7576	-7329.2929	824.2424	3478.7879	1822.2222	-870.7071	-1509.7643	1476.7677	0	0.91493	0.19439	0	0.97095	0.97095	0.36977	0.6473	0.42717	33	0.93534	100	0.5181	167	0.33814	11	0.56448	173	0.6109	67	0.62687	100	0.50451	83.6667	5794	7682	3358	5794	7682	3358	5611.3333	5611.3333	26945042100	554647232	342658120	343620336	27842583	6848603	9280782484	126103840.6667	0.52458	-0.75246	0.56071	0.61548	0.64077	-0.19058	0.11094	0.35522	m0002	s04	m08	n02
2575476.4444	2371836.556	595344.9875	730808.739	207952.5021	131152.562	1847552.6626	356637.9344	55788.6488	46575.9465	34577.274	10189.2199	19574.1945	10827.8354	45647.2898	13530.4166	2711.1111	-7030.303	-1026.2626	4632.3232	-816.1616	2355.5556	-1781.8182	2057.2391	0	0.6577	0.19439	0	0.6577	0.86872	0.28403	0.50881	0.76677	81	0.91796	100	0.76298	145	0.65573	59	0.83061	38	0.66957	12	0.8159	108.6667	0.71864	36.3333	5794	6402	3358	5794	6402	3358	5184.6667	5184.6667	26259759768	338925272	306900864	868594302	30906169	18363720	8968528634.6667	305954730.3333	0.20357	0.73226	0.16143	-0.078344	-0.71219	0.34395	0.36575	-0.14886	m0002	s04	m08	n02
1212620.8469	1195167.9754	392624.2339	241285.4516	157785.4678	170191.1515	933471.0187	189754.0236	30845.146	32982.8851	24595.6389	9281.9364	12484.0909	10097.4044	29474.5567	10621.1439	-2193.9394	6206.0606	1026.2626	105.0505	135.3535	2195.9596	1679.4613	812.1212	0	0.469	0.14144	0	0.89317	0.36592	0.20348	0.4197	0.85744	111	0.94328	125	0.80745	110	0.76612	139	0.93485	90	0.84402	66	0.86939	115.3333	0.84833	98.3333	4104	4616	2354	4104	4616	2354	3691.3333	3691.3333	25503039320	242952060	184607812	1231289915	19321383	64183324	8643533064	438264874	-0.25262	1.0809	0.18137	-0.60004	-0.11231	-0.50631	0.33654	-0.40622	m0002	s04	m08	n02
583269.5046	1603678.6824	385728.257	850903.5122	63407.3115	77823.9248	857558.8147	330711.5829	24204.7161	33916.88	20237.3792	9252.267	9286.8322	6332.791	26119.6584	8290.6301	4969.697	6658.5859	331.3131	-6377.7778	-890.9091	-666.6667	3986.532	-2645.1178	0	0.9974	0.14144	0	0.99538	0	0.37961	0.33179	0.64989	162	0.90804	100	0.61317	32	0.46772	190	0.9835	100	0.22946	142	0.7237	98	0.56023	144	2522	4728	2244	2522	4728	2244	3164.6667	3164.6667	25058160152	158875612	190255456	814984691	6367564	75951994	8469097073.3333	299101416.3333	0.2036	-0.35338	0.3822	-0.34498	-0.35144	0.11841	0.077472	-0.19267	m0002	s04	m08	n02
457979.8788	464202.7358	218851.8283	1365151.9309	41114.7284	119165.5696	380344.8143	508477.4096	28807.2101	27215.0582	20786.087	8523.2895	7689.8464	4478.9068	25602.7851	6897.3476	-3979.798	-2088.8889	-2214.1414	-6529.2929	-771.7172	-1676.7677	-2760.9428	-2992.5926	0	0.72193	0	0.82675	0.79504	0.60984	0.24064	0.74388	-0.092118	35	0.97336	99	-0.043008	199	0.43494	142	0.96437	100	0.20734	50	0.27941	111	0.53555	97.3333	2768	2988	2068	2768	2988	2068	2608	2608	26267312632	77376580	370646092	235594534	5808273	31361205	8905111768	90921337.3333	0.92857	0.14277	0.067379	0.18696	-0.18085	0.10717	0.37957	0.037762	m0002	s04	m08	n02
260961.4945	399327.4711	97321.4945	126281.686	72789.9721	29555.6787	252536.8201	76209.1123	24850.1285	22149.9025	18105.683	5531.2884	7690.0565	2621.3575	21701.9047	5280.9008	-2472.7273	-436.3636	-816.1616	-1848.4848	630.303	-1076.7677	-1241.7508	-764.9832	0	0.55744	0	0.79504	0.99971	0.99885	0.18581	0.9312	-0.079881	1	0.98836	100	-0.097557	199	0.62162	150	0.63717	100	0.93461	167	0.27031	100	0.73113	139	2714	2512	1176	2714	2512	1176	2134	2134	26513462788	84431460	487503172	13311347	7255758	3630101	9028465806.6667	8065735.3333	0.66956	-0.42814	-0.51898	0.93493	-0.42893	1.1171	-0.092519	0.54105	m0002	s04	m08	n02
85587.3131	118777.8016	72071.7071	17937.307	27671.0177	2348.9673	92145.6073	15985.764	12718.9988	12532.5596	14454.8339	2780.3786	4508.264	1164.1098	13235.4641	2817.5841	2323.2323	-355.5556	-610.101	1278.7879	-422.2222	258.5859	452.5253	371.7172	0	0	0	0.79504	0.98959	0.95067	0	0.91177	-0.095417	1	0.99217	100	-0.081809	199	0.53212	176	0.36945	116	0.8661	24	0.27165	100	0.58922	105.3333	1388	1332	894	1388	1332	894	1204.6667	1204.6667	25737916360	91757716	558868220	2627907	3244241	279550	8796180765.3333	2050566	-1.2131	0.57246	0.59874	-1.2287	-0.20132	0.65414	-0.013953	-0.25861	m0002	s04	m08	n02
