AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
14557.0501	33467.5309	42181.3236	25424.4221	3257.7236	1476.2323	30068.6349	10052.7927	10892.3845	8450.9279	14395.6222	2116.9828	1898.431	977.9385	11246.3115	1664.4508	157.5758	-412.1212	-1769.697	747.4747	307.0707	216.1616	-674.7475	423.569	0	0.63431	0	0.82675	0.36592	0.24229	0.21144	0.47832	0.90575	134	0.99672	100	0.80208	100	0.7627	100	0.77838	96	0.84895	100	0.90152	111.3333	0.79668	98.6667	508	694	964	508	694	964	722	722	25505595028	9248356	722072952	4089283	1564402	546836	8745638778.6667	2066840.3333	0.0026064	0.60492	-0.8897	0.70213	-0.93059	0.88312	-0.094058	0.21822	m0005	s04	m14	n02
17532.8016	100770.7943	140917.0824	28576.0544	3298.2933	3036.0375	86406.8928	11636.7951	11151.0474	10113.5373	14605.2156	2417.7793	1929.7773	1151.547	11956.6001	1833.0345	262.6263	-193.9394	-1490.9091	-363.6364	-389.899	-64.6465	-474.0741	-272.7273	0	0.63431	0	0.6577	0.32744	0.49992	0.21144	0.49502	0.91563	53	0.99202	100	0.82635	100	0.90351	94	0.94035	91	0.89356	99	0.91133	84.3333	0.91247	94.6667	490	1204	1296	490	1204	1296	996.6667	996.6667	25203552248	24909896	975087196	5611587	1611580	808509	8734516446.6667	2677225.3333	-0.70447	-0.21433	0.2718	-0.19316	-0.54033	0.2868	-0.21567	-0.1489	m0005	s04	m14	n02
6387.6667	45780.9499	9480.7576	22980.7332	13247.9034	2087.8966	20549.7914	12772.1777	10275.6356	10081.1255	15534.8029	1824.635	2531.2591	896.0069	11963.8547	1750.6337	-181.8182	472.7273	206.0606	-808.0808	-674.7475	-240.404	165.6566	-574.4108	0	0	0	0.91493	0.97095	0.36592	0	0.7506	0.91619	100	0.99953	100	0.9132	100	0.65675	100	0.54188	100	0.43082	100	0.94297	100	0.54315	100	376	844	430	376	844	430	550	550	24928305604	28138308	1177908844	2288805	1318498	480440	8711450918.6667	1362581	0.089728	-1.2458	-0.28701	1.0233	-0.37411	1.2884	-0.48103	0.64586	m0005	s04	m14	n02
6473.2424	4135.6489	16194.8521	4017.2198	7459.4363	284.238	8934.5811	3920.298	10488.127	9512.9895	13401.8241	1151.8979	2488.1943	572.4306	11134.3135	1404.1743	-92.9293	464.6465	618.1818	339.3939	86.8687	46.4646	329.9663	157.5758	0	0	0	0.63431	0.95067	0	0	0.52833	0.97862	100	0.99916	100	0.98159	100	0.86904	74	0.20172	178	0.20252	170	0.98646	100	0.42443	140.6667	376	352	580	376	352	580	436	436	25003523980	9727796	1111439212	713324	997667	262202	8708230329.3333	657731	0.63028	-0.021372	-0.29636	-0.3622	-0.48042	-0.16796	0.10418	-0.33686	m0005	s04	m14	n02
2267.1289	5479.6198	4601.8824	1280.3252	4014.0819	58.2525	4116.2104	1784.2199	9592.4213	9101.8036	12173.3605	1148.209	1675.0094	469.6872	10289.1951	1097.6352	234.3434	197.9798	-141.4141	163.6364	226.2626	16.1616	96.9697	135.3535	0	0	0	0.92482	0.99538	0	0	0.64007	0.96662	100	0.99977	100	0.9681	100	0.3812	100	0.71358	125	0.4047	121	0.97816	100	0.49983	115.3333	216	328	330	216	328	330	291.3333	291.3333	25089770696	8294252	1063593780	180067	400067	437416	8720552909.3333	339183.3333	0.0027883	0.37533	0.4675	-0.089866	-0.97835	-0.16091	0.28187	-0.40971	m0005	s04	m14	n02
4079.7479	5922.8687	8063.9075	665.2929	7903.8885	215.2092	6022.1747	2928.1302	9864.7009	8293.7971	13076.8668	1286.6054	2559.7506	450.3646	10411.7883	1432.2402	-32.3232	24.2424	4.0404	-22.2222	38.3838	-60.6061	-1.3468	-14.8148	0	0	0	0.24229	0.88129	0	0	0.37453	0.96011	100	0.99957	100	0.95842	100	0.25469	159	0.8559	100	0.17529	41	0.9727	100	0.42863	100	296	294	422	296	294	422	337.3333	337.3333	25031947120	7482240	1097375060	275628	971536	348833	8712268140	531999	-0.02886	0.15382	0.093199	0.35247	-0.87226	-0.18307	0.07272	-0.23428	m0005	s04	m14	n02
11621.899	4858.9394	14451.8125	2570.7252	27357.2804	498.2557	10310.8836	10142.0871	10694.7358	8210.4639	12367.8305	1874.766	4762.522	754.7827	10424.3434	2464.0236	-351.5152	-286.8687	670.7071	-296.9697	-591.9192	60.6061	10.7744	-276.0943	0	0	0	0.97095	0.76017	0	0	0.57704	0.96931	100	0.99922	100	0.9643	100	0.37376	81	0.70199	48	-0.12988	199	0.97761	100	0.31529	109.3333	488	382	542	488	382	542	470.6667	470.6667	25039782264	7733284	1091196464	260293	4933838	315893	8712904004	1836674.6667	-0.37355	-0.55144	0.34946	-0.26235	-0.78516	1.5805	-0.19184	0.17767	m0005	s04	m14	n02
29663.7398	42746.8586	160585.2024	13281.6544	30306.5075	927.9087	77665.2669	14838.6902	11594.7742	9355.7307	13784.8988	2696.3499	5023.6612	934.8473	11578.4679	2884.9528	-24.2424	-44.4444	1256.5657	141.4141	-40.404	54.5455	395.9596	51.8519	0	0.63431	0	0.99538	0.88129	0	0.21144	0.62556	0.80277	134	0.98986	100	0.76902	100	0.43017	79	0.54824	137	0.31148	16	0.85388	111.3333	0.42996	77.3333	756	806	1398	756	806	1398	986.6667	986.6667	25370634112	8756068	860009608	1346889	4898126	326894	8746466596	2190636.3333	-0.33776	1.4306	0.304	0.4844	-0.66357	0.62883	0.46563	0.14989	m0005	s04	m14	n02
20109.7956	49207.2481	34592.6465	15030.6282	7409.7506	803.7344	34636.5634	7748.0377	10982.8884	9645.4312	16065.0194	2633.3525	3077.5827	882.3751	12231.113	2197.7701	161.6162	294.9495	694.9495	54.5455	509.0909	-151.5152	383.8384	137.3737	0	0.63431	0	0.99538	0.55744	0	0.21144	0.51761	0.86386	64	0.99726	100	0.78081	133	0.46208	186	0.60147	79	-0.060552	1	0.88064	99	0.33433	88.6667	634	788	842	634	788	842	754.6667	754.6667	25613768224	10892652	688188896	1546065	1781527	245463	8770949924	1191018.3333	-0.27903	1.4571	0.89308	0.1427	0.72809	0.61599	0.69037	0.49559	m0005	s04	m14	n02
13237.3863	8082.2642	33082.1818	4600.1616	6174.3712	609.1964	18133.9441	3794.5764	9259.7969	7872.2117	16162.858	1689.0617	2719.3285	708.9614	11098.2889	1705.7839	-735.3535	173.7374	917.1717	-187.8788	92.9293	-4.0404	118.5185	-32.9966	0	0	0	0.91493	0.60984	0	0	0.50826	0.96326	100	0.9974	100	0.96894	100	0.80902	128	0.58222	189	0.26019	197	0.97653	100	0.55048	171.3333	450	378	912	450	378	912	580	580	25493456340	11315896	687411472	571016	1299333	207306	8730727902.6667	692551.6667	-0.25286	0.26643	0.86667	0.40923	-0.19923	0.58764	0.29341	0.26588	m0005	s04	m14	n02
