AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
727933.1762	9481295.0606	3905761.0327	43636556.1021	964882.3163	2361156.3107	4704996.4232	15654198.243	61320.2885	159289.6301	84065.3329	273013.2028	42453.0305	73262.9828	101558.4172	129576.4054	5131.3131	1515.1515	1195.9596	-38898.9899	-3230.303	-159.596	2614.1414	-14096.2963	0	0.85545	0	0.60984	0.36592	0	0.28515	0.32525	0.10053	195	0.98503	100	0.17564	5	0.81931	139	-0.090212	199	-0.090212	199	0.4204	100	0.21296	179	4478	11990	8168	4478	11990	8168	8212	8212	3116169452	1741860492	25184227104	7331098107	253747043	1948393502	10014085682.6667	3177746217.3333	-0.66312	-0.03559	-0.74601	0.0012828	0.40769	-0.05244	-0.48157	0.11885	m0010	s02	m22	n01
261519.4521	7587536.4343	941474.0945	10824801.202	468468.3567	547711.8153	2930176.6603	3946993.7913	45899.8647	71380.7715	98300.393	171359.4474	32123.7695	36385.1396	71860.3431	79956.1188	343.4343	-12484.8485	60.6061	-2494.9495	1266.6667	7965.6566	-4026.936	2245.7912	0	1	0	0	0.6577	0	0.33333	0.21923	0.61175	30	0.99518	100	0.53807	169	0.87437	89	-0.048156	1	-0.048156	1	0.715	99.6667	0.25935	30.3333	2114	9562	5068	2114	9562	5068	5581.3333	5581.3333	2855406952	754555388	22942309680	4599183768	109283887	1366278487	8850757340	2024915380.6667	0.37773	0.29496	0.23957	1.1336	0.047486	-0.10703	0.30409	0.35801	m0010	s02	m22	n01
213549.6566	7897807.3451	830160.4299	18760592.2428	424813.4444	3479159.008	2980505.8105	7554854.8984	34641.2261	71203.4388	93278.9712	145073.2716	28204.477	31686.4818	66374.5454	68321.4102	2072.7273	-13612.1212	-117.1717	-12256.5657	-1911.1111	9725.2525	-3885.5219	-1480.8081	0	0.70147	0	0.77801	0.68008	0.76017	0.23382	0.73942	0.92368	77	0.99379	100	0.84283	118	0.90443	84	0.70236	176	0.32292	195	0.9201	98.3333	0.64324	151.6667	1794	10098	5068	1794	10098	5068	5653.3333	5653.3333	2511949880	2194725636	22855651800	3620576306	84579972	758604013	9187442438.6667	1487920097	-0.8486	0.45635	0.29695	0.3892	0.63773	0.068808	-0.031765	0.36524	m0010	s02	m22	n01
42003.8186	1813218.7681	326151.3612	11585377.5736	98781.5688	443207.3552	727124.6493	4042455.4992	21012.6657	52777.0535	44712.4144	65787.024	13383.5116	17782.0588	39500.7112	32317.5315	-614.1414	1232.3232	682.8283	-20648.4848	-383.8384	3513.1313	433.67	-5839.7306	0	0	0	0.84146	0.60984	0.85545	0	0.76892	0.96624	100	0.99857	100	0.97007	100	0.41986	84	0.81507	183	0.44	144	0.9783	100	0.55831	137	1032	5028	2646	1032	5028	2646	2902	2902	2206451876	2744789340	23532627108	1164018367	21621921	44134780	9494622774.6667	409925022.6667	-0.83155	-0.71939	-0.70339	1.4519	-0.16216	-1.2394	-0.75145	0.016754	m0010	s02	m22	n01
58540.0707	847531.4974	216215.8642	2746064.4496	212526.2112	111485.0541	374095.8108	1023358.5716	18858.5806	38374.2759	30144.6747	60901.9712	15876.4676	11324.6312	29125.8437	29367.69	460.6061	10246.4646	-1870.7071	-8745.4545	-1539.3939	1442.4242	2945.4545	-2947.4747	0	0	0	0	0.98959	0.2864	0	0.42533	0.97967	106	0.99869	100	0.96501	100	0.76525	30	-0.12831	199	0.75905	33	0.98112	102	0.46533	87.3333	978	5176	1752	978	5176	1752	2635.3333	2635.3333	2324892116	1390178696	23932213384	1360246667	22590867	23955294	9215761398.6667	468930942.6667	-0.25588	0.93377	0.28428	-1.5786	-0.38144	1.166	0.32072	-0.26466	m0010	s02	m22	n01
405863.2481	4777907.2259	829851.7026	27589928.343	1627591.3708	4537104.7365	2004540.7255	11251541.4834	28328.406	56327.2258	48200.0545	89131.4249	22279.8999	22618.4067	44285.2288	44676.5772	-3240.404	16456.5657	5365.6566	-36010.101	-9331.3131	13981.8182	6193.9394	-10453.1987	0	0.63431	0	0	0.24229	0.2864	0.21144	0.17623	0.85735	156	0.98693	100	0.7737	89	0.97249	81	0.0040622	195	0.37105	3	0.87266	115	0.4492	93	2812	9516	5006	2812	9516	5006	5778	5778	2744825300	682127552	24530980184	8801402170	398066759	958113433	9319311012	3385860787.3333	-0.61923	0.96504	2.1137	-0.99151	-0.62515	0.60659	0.81983	-0.33669	m0010	s02	m22	n01
777687.2287	25409349.2279	4934969.0065	27197349.8961	1948070.4044	2763476.2759	10374001.821	10636298.8588	59863.0761	86932.348	109562.7526	141385.945	39047.658	31829.1462	85452.7256	70754.2497	-787.8788	28501.0101	13361.6162	4335.3535	680.8081	4171.7172	13691.5825	3062.6263	0	0.92482	0	0	0	0	0.30827	0	0.058656	165	0.97161	100	0.4445	33	0.97657	96	-0.025539	199	-0.025539	199	0.49159	99.3333	0.3085	164.6667	3914	14852	8930	3914	14852	8930	9232	9232	3253508268	4819890388	19839987100	16892191381	1072657620	2414839463	9304461918.6667	6793229488	-0.19452	0.15933	0.22505	-0.24098	-0.35307	-0.1106	0.06329	-0.23488	m0010	s02	m22	n01
1310144.8469	5523560.0853	5224774.8117	61037872.5875	29709621.9365	11686445.6617	4019493.2479	34144646.7286	71759.6099	102282.3661	111793.3086	186388.1049	63487.5029	42475.514	95278.4282	97450.374	-4.0404	2771.7172	-2307.0707	32701.0101	34773.7374	-17747.4747	153.5354	16575.7576	0	0	0	0.77801	0.91493	0.85545	0	0.84946	-0.048662	199	0.96171	100	-0.092387	199	0.50859	90	0.29639	25	0.72797	175	0.27356	166	0.51098	96.6667	5456	8798	8930	5456	8798	8930	7728	7728	3497231664	9280968532	18541442924	9967421054	2955445121	1760677419	10439881040	4894514531.3333	0.6904	0.0017835	-0.33015	-0.23862	1.0561	-0.30348	0.12067	0.17133	m0010	s02	m22	n01
1610578.6873	4864244.7273	4900502.7491	24329406.6408	30679131.4267	17151476.6161	3791775.3879	24053338.2278	59304.8212	91430.5963	58718.806	203298.784	60709.9812	52425.0422	69818.0745	105477.9358	4840.404	-7014.1414	-3317.1717	-3682.8283	16117.1717	-23351.5152	-1830.303	-3639.0572	0	0	0	0.98582	0.6577	0.76017	0	0.80123	-0.11805	1	0.96044	100	-0.073258	199	0.25492	142	0.61673	74	0.71084	17	0.25638	100	0.52749	77.6667	5036	8314	7966	5036	8314	7966	7105.3333	7105.3333	3001552660	7196051592	17837204992	2412459132	9057038650	2768273953	9344936414.6667	4745923911.6667	0.42869	0.7096	-0.62378	0.36574	-0.65937	-0.25629	0.1715	-0.18331	m0010	s02	m22	n01
1001341.8085	2429654.838	4172205.1794	20119019.9252	17503302.7486	11853381.2509	2534400.6086	16491901.3082	59787.6917	95174.7951	43545.5317	186980.9508	38491.5103	44756.2602	66169.3395	90076.2404	1898.9899	7042.4242	13446.4646	5319.1919	-24717.1717	-22486.8687	7462.6263	-13961.6162	0	0	0	0.84146	0	0	0	0.28049	-0.081326	199	0.96293	100	-0.066222	1	0.12228	124	0.59336	24	-0.017599	199	0.2718	100	0.23268	115.6667	3876	5568	6804	3876	5568	6804	5416	5416	2256400912	5611256368	10837825876	2212219351	7882790003	8588485732	6235161052	6227831695.3333	0.27539	0.44867	0.37218	1.0056	0.0022567	0.89556	0.36541	0.63446	m0010	s02	m22	n01
