AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
39226.2888	136736.5863	209245.8501	697728.4375	42131.812	84027.846	128402.9084	274629.3652	13752.7371	23020.0176	25255.1905	36702.1591	15926.4344	6968.9644	20675.9817	19865.8526	-775.7576	2018.1818	1260.6061	1133.3333	-1113.1313	-1228.2828	834.3434	-402.6936	0	0.43647	0	0.469	0.68008	0.469	0.14549	0.53936	0.81251	101	-0.089014	199	-0.089014	199	0.064267	27	-0.041113	199	0.73007	100	0.21149	166.3333	0.25107	108.6667	770	1401	2132	770	1401	2132	1434.3333	1434.3333	25195255183	40591484	2559081416	175914213	8401887	23901513	9264976027.6667	69405871	0.74894	-0.063284	0.64983	-1.2514	-0.068818	0.22002	0.44516	-0.36674	m0012	s02	m06	n05
44626.3737	142146.5875	218124.5829	1812250.9798	116224.9272	152739.8166	134965.848	693738.5745	13048.5651	24782.9446	24526.4401	49946.5088	25490.6677	8375.2401	20785.9833	27937.4722	440.404	-1153.5354	2911.1111	1373.7374	119.1919	-1737.3737	732.6599	-81.4815	0	0.24229	0	0	0.49992	0	0.080764	0.16664	0.84031	88	-0.090825	199	-0.090825	199	-0.0030335	1	-0.041681	199	0.86632	90	0.21955	162	0.27387	96.6667	841	1810	2342	841	1810	2342	1664.3333	1664.3333	25159329620	44072232	2698383935	630507968	27818981	105934518	9300595262.3333	254753822.3333	0.92634	-0.42118	2.3046	1.8992	-0.81834	-0.39796	0.93659	0.22762	m0012	s02	m06	n05
45178.6136	132274.8577	271604.3228	2619386.0173	556269.3837	70191.8642	149685.9314	1081949.0884	14782.4357	24056.2388	31195.519	61439.7035	31466.9171	9237.7793	23344.7312	34048.1333	686.8687	-733.3333	-521.2121	11309.0909	4369.697	-2400	-189.2256	4426.2626	0	0.24229	0	0	0.84146	0	0.080764	0.28049	0.85386	90	-0.090478	1	-0.090478	1	0.71067	13	-0.054769	199	0.67892	63	0.2243	30.6667	0.44494	91.6667	957	1810	2372	957	1810	2372	1713	1713	24925673043	41129059	2935355300	1614096549	57231275	200748804	9300719134	624025542.6667	0.04728	-0.33419	0.79794	0.37563	1.1743	0.48885	0.17034	0.67958	m0012	s02	m06	n05
74762.2865	797369.1243	376760.1616	4898015.3627	1428363	188871.0581	416297.1908	2171749.8069	18186.1419	26612.4828	30104.6525	76532.4675	26501.1378	12077.0422	24967.7591	38370.2158	-62.6263	4498.9899	-294.9495	13955.5556	6549.4949	-353.5354	1380.4714	6717.1717	0	0.55744	0	0	0.81128	0	0.18581	0.27043	0.67741	114	-0.10608	1	0.31854	186	0.96607	63	-0.080482	199	0.26992	35	0.29662	100.3333	0.38517	99	1289	4110	2818	1289	4110	2818	2739	2739	25020152444	99699413	2763183356	3090015745	293510826	255719655	9294345071	1213082075.3333	-0.9079	0.74704	-1.4841	-0.087044	0.010425	0.33572	-0.54833	0.086367	m0012	s02	m06	n05
132775.1087	943830.4221	593334.3636	4912032.8448	2468846.3232	247743.8893	556646.6315	2542874.3525	26929.0051	41167.6346	39391.6312	82402.7753	45735.1797	12826.3302	35829.4236	46988.0951	-1440.404	-464.6465	-2741.4141	-5010.101	250.5051	2355.5556	-1548.8215	-801.3468	0	0.84146	0	0	0.74148	0	0.28049	0.24716	0.59895	165	-0.072481	1	0.028263	136	0.8701	138	-0.057584	1	0.30851	164	0.18491	100.6667	0.37367	101	1764	4110	2863	1764	4110	2863	2912.3333	2912.3333	25490667578	108993559	2362548106	4023043516	460094382	205257026	9320736414.3333	1562798308	0.090342	0.43995	-0.5111	-0.70793	-0.28564	-0.48292	0.0063988	-0.49216	m0012	s02	m06	n05
234383.8137	724201.263	663533.9615	13946598.8504	2775265.7337	387836.9167	540706.3461	5703233.8336	35707.6344	50074.2197	62144.5171	81831.8453	57042.4297	12895.1169	49308.7904	50589.7973	-1672.7273	1169.697	-1123.2323	-24048.4848	-1391.9192	3044.4444	-542.0875	-7465.3199	0	0.84146	0	0.72193	0.74148	0.72193	0.28049	0.72845	0.59257	25	-0.10498	1	0.20541	196	0.71442	54	0.5527	187	0.18958	21	0.231	74	0.48557	87.3333	2412	4151	3785	2412	4151	3785	3449.3333	3449.3333	26035668140	102872514	1847297985	2453007253	527542228	81134761	9328612879.6667	1020561414	-0.12913	-0.3869	0.36779	-0.60685	-0.26023	0.63118	-0.049415	-0.078634	m0012	s02	m06	n05
193958.3656	1058052.8561	528259.0711	5302597.2197	1940636.5208	178196.3131	593423.4309	2473810.0179	32016.0124	47808.1858	61604.6699	85155.2166	47485.6789	13340.1195	47142.956	48660.3383	191.9192	-1107.0707	-3507.0707	-8383.8384	-2008.0808	1418.1818	-1474.0741	-2991.2458	0	0.90438	0	0.98959	0.76017	0.95804	0.30146	0.9026	0.5514	155	-0.058988	1	0.090852	146	0.49963	70	0.5972	134	0.6041	173	0.19442	100.6667	0.56698	125.6667	2175	4631	2848	2175	4631	2848	3218	3218	26710298429	118168465	1178477282	526571295	427935894	20487404	9335648058.6667	324998197.6667	0.14976	0.067129	0.020962	-0.20245	-0.26675	-0.19638	0.079285	-0.22186	m0012	s02	m06	n05
53572.3232	565469.2803	366599.8804	1394233.3814	995699.3883	53656.1196	328547.1613	814529.6298	21459.2873	33491.5638	36372.1561	60661.9845	36965.2307	9674.2081	30441.0024	35767.1411	-561.6162	-3725.2525	-3985.8586	3159.596	-7373.7374	440.404	-2757.5758	-1257.9125	0	0.86872	0	0.98145	0.98582	0.98582	0.28957	0.98436	0.43006	90	-0.086009	1	0.28006	12	0.48624	147	0.87379	169	0.51379	184	0.20804	34.3333	0.62461	166.6667	869	3250	2736	869	3250	2736	2285	2285	27197313660	59070265	724453184	141384596	118899910	5672436	9326945703	88652314	-0.10336	1.0116	0.38688	-0.128	0.68382	-1.074	0.4317	-0.17271	m0012	s02	m06	n05
24788.5349	176694.2424	312542.5708	1524205.1971	741752.5455	11639.5001	171341.7827	759199.0809	15674.7368	22509.1138	29564.393	44435.7032	28830.0208	6614.3706	22582.7479	26626.6982	-30.303	1131.3131	2436.3636	-4311.1111	-2545.4545	50.5051	1179.1246	-2268.6869	0	0.58424	0	0.63431	0.86872	0.95067	0.19475	0.8179	0.6689	182	-0.07877	199	-0.07877	199	0.80051	100	0.38221	27	0.35584	43	0.17045	193.3333	0.51285	56.6667	611	1743	1919	611	1743	1919	1424.3333	1424.3333	27205942316	30337786	728466789	241228033	93918178	1391725	9321582297	112179312	-0.12623	0.27699	-0.31689	-0.27715	0.14163	0.28996	-0.055378	0.051477	m0012	s02	m06	n05
29908.6888	354575.7344	347128.9293	2906942.2279	363455.4646	63762.8873	243871.1175	1111386.8599	16909.0616	22413.9747	27273.8081	42404.712	27343.2798	9073.6827	22198.9481	26273.8915	600	501.0101	4163.6364	-9185.8586	-464.6465	1472.7273	1754.8822	-2725.9259	0	0.60984	0	0	0.40218	0.68008	0.20328	0.36075	0.78955	113	-0.073556	199	0.28349	189	0.75092	152	-0.054863	199	-0.020137	175	0.33316	167	0.22531	175.3333	765	2374	2908	765	2374	2908	2015.6667	2015.6667	26997746701	65824521	1071721028	926926354	111619900	8935630	9378430750	349160628	-0.077242	0.029478	0.21159	-0.708	0.24009	2.2776	0.054607	0.60322	m0012	s02	m06	n05
125510.4954	581363.0928	542162.0827	2695410.4158	2116964.3041	261787.9196	416345.2236	1691387.5465	28543.81	28530.5082	27980.39	43074.5091	37041.3419	10616.9105	28351.5694	30244.2538	-561.6162	2684.8485	224.2424	-2711.1111	-3820.202	2284.8485	782.4916	-1415.4882	0	0.77801	0	0	0.40218	0.32744	0.25934	0.24321	0.76038	163	-0.084776	199	0.20356	191	0.95989	54	0.017012	195	0.016894	195	0.29305	184.3333	0.33126	148	1478	3180	2631	1478	3180	2631	2429.6667	2429.6667	26479290284	82446065	1556856733	2089093900	479908965	73645758	9372864360.6667	880882874.3333	0.35303	0.72975	0.24257	0.45638	-0.68638	-0.17364	0.44178	-0.13455	m0012	s02	m06	n05
123607.2827	365942.5732	587219.0783	2714351.6044	1949553.063	96054.7445	358922.9781	1586653.1373	28971.0549	27887.4361	26683.3508	54373.7496	38706.7608	11101.697	27847.2806	34727.4025	1393.9394	-1571.7172	1185.8586	6030.303	-105.0505	-416.1616	336.0269	1836.3636	0	0.72193	0	0	0.49992	0	0.24064	0.16664	0.5132	162	-0.10181	199	0.1154	1	0.8621	135	-0.071406	1	-0.071406	1	0.1756	120.6667	0.23976	45.6667	1478	2837	2479	1478	2837	2479	2264.6667	2264.6667	25939709725	47575107	1864512191	1974790790	506557768	93915901	9283932341	858421486.3333	-0.3755	1.003	-0.054389	0.51033	-0.5787	-0.13557	0.19103	-0.067977	m0012	s02	m06	n05
76676.7778	275951.5782	521441.0581	1548483.6052	559952.8157	95584.143	291356.4713	734673.5213	20157.5411	26157.7344	24941.4182	52516.6448	27451.0326	10147.7171	23752.2313	30038.4648	1042.4242	-3006.0606	3668.6869	-1662.6263	3359.596	222.2222	568.3502	639.7306	0	0.58424	0	0	0.81128	0	0.19475	0.27043	0.7911	94	-0.073465	199	0.1563	3	0.84297	116	-0.099582	199	0.17351	182	0.29131	98.6667	0.30563	165.6667	1143	2449	2667	1143	2449	2667	2086.3333	2086.3333	25571443770	65048284	2153249157	1283584105	101139689	95077138	9263247070.3333	493266977.3333	-0.21798	-0.095112	-0.88029	0.29176	0.2589	-0.2104	-0.3978	0.11342	m0012	s02	m06	n05
171111.4481	279382.8158	207078.5514	447508.8011	642418.5328	40903.1454	219190.9384	376943.4931	24193.9052	26121.3176	25125.0449	36819.4338	29187.2603	7808.7752	25146.7559	24605.1564	-777.7778	1119.1919	-787.8788	-2842.4242	4377.7778	1143.4343	-148.8215	892.9293	0	0.58424	0	0	0.86872	0	0.19475	0.28957	0.8531	112	-0.089744	1	0.21157	191	0.63002	113	-0.0666	199	0.21778	190	0.32498	101.3333	0.2604	167.3333	1899	2375	1639	1899	2375	1639	1971	1971	25393684914	69109318	2490879045	1275169377	85647155	122791841	9317891092.3333	494536124.3333	-0.57423	0.2208	0.23827	-0.15224	0.43131	-0.019012	-0.038388	0.086688	m0012	s02	m06	n05
177179.5156	172545.3668	222296.9147	870155.1526	568721.139	80424.3479	190673.9324	506433.5465	27376.5069	21543.5851	21966.4758	30884.6665	30887.7865	7163.6851	23628.856	22978.7127	-270.7071	-153.5354	-1975.7576	2711.1111	393.9394	-1145.4545	-800	653.1987	0	0.40218	0	0	0.99277	0	0.13406	0.33092	0.82062	100	-0.088808	1	-0.088808	1	0.45289	146	-0.050197	1	0.48896	143	0.21433	34	0.29722	96.6667	1899	1917	1711	1899	1917	1711	1842.3333	1842.3333	25302166102	54398207	2434663908	1001710079	57146484	91439470	9263742739	383432011	-0.70661	0.73706	0.3005	0.40726	-0.35198	-0.21198	0.11032	-0.052232	m0012	s02	m06	n05
73632.3681	68558.486	120567.1046	1853351.2323	156983.3034	169914.0218	87585.9862	726749.5192	24302.8285	20900.7177	24496.6211	27021.7645	28768.7049	5925.4289	23233.3891	20571.9661	-511.1111	-640.404	749.4949	7424.2424	-2616.1616	-2878.7879	-134.0067	643.0976	0	0	0	0.6577	0.99538	0.6577	0	0.77026	0.9354	100	-0.094391	199	-0.094391	199	0.65231	186	0.60755	182	0.56578	100	0.24887	166	0.60855	156	1167	1218	1279	1167	1218	1279	1221.3333	1221.3333	25292550984	56302437	2273813648	452113872	16450700	39505752	9207555689.6667	169356774.6667	-0.47587	-0.206	-0.31452	-0.088272	0.39293	0.13039	-0.33213	0.14502	m0012	s02	m06	n05
57510.761	51411.1993	113955.28	1129797.6885	96467.8966	78092.8101	74292.4134	434786.1317	21471.0872	20796.8996	24506.5508	29588.2432	28682.0141	5862.5639	22258.1792	21377.6071	534.4828	989.6552	-1268.9655	13313.7931	-75.8621	-2758.6207	85.0575	3493.1034	0	0	0	0.98982	0.98982	0.98982	0	0.98982	0.94478	59	-0.12163	1	-0.12163	1	0.49843	104	0.68156	106	0.29789	60	0.23384	20.3333	0.49262	90	1056	891	1206	1056	891	1206	1051	1051	15009733811	29767960	1323037048	74919529	5742638	5131444	5454179606.3333	28597870.3333	-0.35218	-0.3794	-0.53782	0.078809	-0.20405	0.19967	-0.42313	0.024809	m0012	s02	m06	n05
