AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
10713.5758	54279.1414	9146.7855	94315.4476	17750.343	37662.309	24713.1675	49909.3665	15352.2281	11273.4962	11065.9364	8934.1022	5588.5887	4058.7603	12563.8869	6193.8171	1141.4141	-1753.5354	573.7374	1082.8283	242.4242	-444.4444	-12.7946	293.6027	0	0	0	0	0	0	0	0	0.99933	100	0.9999	100	0.99894	100	0.98877	100	0.93884	107	0.94729	105	0.99939	100	0.9583	104	585	995	450	585	995	450	676.6667	676.6667	20123050548	4426160756	3977065558	128066583	17043820	14764917	9508758954	53291773.3333	0.090119	-0.4307	0.63889	-0.086961	0.029693	0.54907	0.099437	0.16393	m0005	s02	m16	n04
15255.3636	135302.3721	19841.3587	374598.9774	82145.7006	67402.6136	56799.6981	174715.7639	16217.9723	15750.1836	12670.3503	15764.5171	9218.1858	5490.0829	14879.5021	10157.5953	-22.2222	-2357.5758	1242.4242	-1525.2525	-1092.9293	-1698.9899	-379.1246	-1439.0572	0	0	0	0.70147	0.89317	0.72193	0	0.77219	0.99836	100	0.99975	100	0.99747	100	0.86502	101	0.83537	111	0.86097	102	0.99853	100	0.85379	104.6667	614	1714	845	614	1714	845	1057.6667	1057.6667	19990662970	4562169004	3992501633	103315598	11951322	9914659	9515111202.3333	41727193	0.044934	0.11124	0.10042	-0.51498	-0.1419	0.45337	0.085531	-0.067838	m0005	s02	m16	n04
14183.7247	235316.939	47373.4343	261460.5393	72704.9385	32253.7449	98958.0327	122139.7409	19198.6847	21702.2645	13992.1767	18106.319	10119.568	5596.644	18297.7086	11274.177	-668.6869	662.6263	24.2424	-1901.0101	-1757.5758	-280.8081	6.0606	-1313.1313	0	0	0	0.92482	0.82675	0.88129	0	0.87762	0.99747	100	0.99938	100	0.99517	100	0.16021	189	0.36346	154	0.76911	102	0.99734	100	0.43093	148.3333	561	1829	883	561	1829	883	1091	1091	19945481141	4754700116	3876267254	40083171	11567143	4624733	9525482837	18758349	-0.088924	0.26979	-0.049731	0.52295	0.12812	0.32513	0.04371	0.3254	m0005	s02	m16	n04
48631.644	212601.8044	35095.8509	171547.0885	67606.3006	89109.0549	98776.4331	109420.8147	21291.6449	20042.5205	13662.3792	16118.0118	8020.227	7411.3209	18332.1815	10516.5199	282.8283	1967.6768	34.3434	2066.6667	-977.7778	-1337.3737	761.6162	-82.8283	0	0	0	0.6577	0.6577	0.81128	0	0.7089	0.99711	100	0.99928	100	0.9969	100	0.078069	193	0.26596	55	0.74438	97	0.99776	100	0.3628	115	1176	1845	843	1176	1845	843	1288	1288	20245055264	4723495914	3629031688	34734216	18095802	11360720	9532527622	21396912.6667	-1.9328	0.22518	-1.1388	0.44745	0.56374	-0.3132	-0.94879	0.23266	m0005	s02	m16	n04
64334.0019	436352.3337	46634.4529	838109.7374	88896.3292	188897.5653	182440.2629	371967.8773	19326.1638	24020.9757	13100.081	17182.5493	9018.9027	13322.9505	18815.7401	13174.8008	113.1313	-3339.3939	1002.0202	-3747.4747	-565.6566	-1113.1313	-741.4141	-1808.7542	0	0	0	0.91493	0.469	0.91493	0	0.76628	0.99422	100	0.99913	100	0.994	100	0.27795	155	0.40765	146	0.85506	56	0.99578	100	0.51355	119	1208	2471	818	1208	2471	818	1499	1499	20366548325	4840645166	3311395832	86127040	22623517	25128098	9506196441	44626218.3333	-1.0715	-0.52283	0.29685	-0.68412	-0.35906	-0.45081	-0.4325	-0.498	m0005	s02	m16	n04
144767.2706	813420.0076	56444.7647	1632326.7418	72495.8524	129429.1499	338210.681	611417.248	17713.3403	25625.4293	12743.182	21247.5833	10152.9913	13249.9514	18693.9839	14883.5087	-1579.798	3256.5657	-549.4949	-4810.101	155.5556	1595.9596	375.7576	-1019.5286	0	0	0	0.70147	0	0.79504	0	0.49884	0.98979	100	0.99845	100	0.99165	100	0.82548	102	0.82635	139	0.80058	103	0.9933	100	0.81747	114.6667	1505	3293	879	1505	3293	879	1892.3333	1892.3333	19738034529	5556602581	3304631463	267723310	32246137	23243802	9533089524.3333	107737749.6667	-0.034682	0.34523	-0.041043	0.53766	-0.046433	-0.68027	0.089834	-0.063016	m0005	s02	m16	n04
171185.4015	901823.8645	54955.4419	1277446.5878	170533.0847	85222.351	375988.236	511067.3412	22270.7853	20281.5535	14190.1232	29232.1049	17220.6125	11992.4555	18914.154	19481.7243	52.5253	1507.0707	228.2828	3121.2121	1010.101	298.9899	595.9596	1476.7677	0	0	0	0.76017	0.6577	0.74148	0	0.71979	0.9879	100	0.99874	100	0.98863	100	0.90427	101	0.757	36	0.7801	36	0.99176	100	0.81379	57.6667	1495	3442	796	1495	3442	796	1911	1911	19836659661	5174696169	3466233001	244317777	33503889	16960493	9492529610.3333	98260719.6667	0.1344	0.037543	0.79011	0.20505	-0.15658	-0.46849	0.32068	-0.14001	m0005	s02	m16	n04
46302.5393	267249.7272	64403.3358	609648.1418	161690.9495	87270.6136	125985.2007	286203.235	23893.7294	16644.6279	14495.3493	25791.9414	16185.428	10994.1582	18344.5688	17657.1759	745.4545	-3024.2424	628.2828	1357.5758	591.9192	-90.9091	-550.1684	619.5286	0	0	0	0.9765	0.92482	0.91493	0	0.93875	0.99685	100	0.99876	100	0.99399	100	0.93442	101	0.57095	107	0.64264	104	0.99653	100	0.716	104	1165	2491	860	1165	2491	860	1505.3333	1505.3333	20438400171	4563813851	3428906736	71924688	21325040	12030913	9477040252.6667	35093547	1.0295	0.54912	0.50703	-0.08575	-1.0212	-0.78411	0.69523	-0.63035	m0005	s02	m16	n04
18374.309	118812.5264	40603.4217	367476.44	57646.1248	47498.7252	59263.419	157540.43	18377.5115	12922.1914	12146.3799	15139.6596	6902.3492	7434.4	14482.0276	9825.4696	397.9798	2539.3939	-1414.1414	1957.5758	789.899	1268.6869	507.7441	1338.7205	0	0	0	0.88129	0.85545	0.98959	0	0.90878	0.99878	100	0.99924	100	0.99681	100	0.92773	102	0.38399	107	0.46942	104	0.99828	100	0.59371	104.3333	631	1331	860	631	1331	860	940.6667	940.6667	20462861429	4689187069	3445308645	54052102	8645448	5324737	9532452381	22674095.6667	0.34707	-0.99749	0.37852	0.19754	0.31801	1.0309	-0.090634	0.51549	m0005	s02	m16	n04
20878.7736	90001.9055	35875.0839	646587.9337	82894.4738	65392.4464	48918.5877	264958.2846	14463.0913	12489.1549	10672.6877	13975.3173	7765.1904	7793.8852	12541.6446	9844.7976	-22.2222	-682.8283	-218.1818	1876.7677	311.1111	-446.4646	-307.7441	580.4714	0	0	0	0.9648	0.98582	0.92482	0	0.95848	0.99895	100	0.99934	100	0.99757	100	0.93703	104	0.75989	131	0.82042	123	0.99862	100	0.83912	119.3333	631	1237	761	631	1237	761	876.3333	876.3333	20304868645	4509387916	3611800353	67391920	8807643	9728629	9475352304.6667	28642730.6667	-0.035081	-0.36468	0.28932	-0.0037833	-0.0066841	0.2447	-0.036815	0.078078	m0005	s02	m16	n04
