AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
99797.3289	354779.0112	540834.7762	2556333.461	147484.2626	179862.6541	331803.7054	961226.7926	21903.3783	21188.19	36274.999	38428.0359	20944.4865	11982.0236	26455.5224	23784.8486	-664.6465	2022.2222	735.3535	-38.3838	2088.8889	-591.9192	697.6431	486.1953	0	0.469	0	0.81128	0	0.77801	0.15633	0.52976	0.82146	105	-0.1086	199	-0.1086	199	0.61703	59	0.3904	136	0.16214	46	0.20142	167.6667	0.38986	80.3333	1500	2214	3335	1500	2214	3335	2349.6667	2349.6667	26171713150	101981545	1520019032	294493960	112057326	22832070	9264571242.3333	143127785.3333	0.14234	0.023079	1.3663	1.1547	0.078245	-1.1333	0.51057	0.033189	m0010	s02	m18	n05
172810.4254	374945.3499	679922.6162	3989948.6036	595382.0101	153205.0516	409226.1305	1579511.8885	24232.5935	22488.1563	39695.6248	43931.7101	24861.1416	12273.1538	28805.4582	27022.0018	-2347.4747	1963.6364	1375.7576	-5600	-2838.3838	-880.8081	330.6397	-3106.3973	0	0.58424	0	0.81128	0	0.99971	0.19475	0.60366	0.86184	83	-0.097396	199	0.1669	196	0.58589	121	0.57488	77	0.52507	181	0.31045	159.3333	0.56195	126.3333	1626	2577	3335	1626	2577	3335	2512.6667	2512.6667	25755438597	101931750	1653980228	466630666	255699548	15264457	9170450191.6667	245864890.3333	-0.35564	0.21419	0.69141	0.24096	-0.10109	-0.33645	0.18332	-0.065526	m0010	s02	m18	n05
198374.2597	654288.1814	1170760.3607	2084399.4072	479784.7701	89864.2645	674474.2673	884682.8139	25334.2185	34856.4328	35142.3598	57855.4276	26807.228	12774.7541	31777.6704	32479.1366	-555.5556	-6490.9091	3602.0202	1678.7879	963.6364	145.4545	-1148.1481	929.2929	0	0.55744	0	0	0.14144	0.99885	0.18581	0.3801	0.76088	96	-0.098052	199	-0.098052	199	0.92247	114	0.17049	17	0.22282	197	0.18826	164.6667	0.43859	109.3333	1799	4011	4023	1799	4011	4023	3277.6667	3277.6667	25345910701	152950386	2526980423	889587179	398596346	9226153	9341947170	432469892.6667	-0.68929	-0.46579	0.26797	0.22319	1.4771	0.37269	-0.2957	0.691	m0010	s02	m18	n05
575338.3736	1956936.2718	929048.8294	4315386.709	1137338.3284	146435.1171	1153774.4916	1866386.7181	22389.4636	45045.1849	37543.2733	80033.907	23175.0563	11813.5857	34992.6406	38340.8497	3987.8788	-5185.8586	4068.6869	4472.7273	2923.2323	-1036.3636	956.9024	2119.8653	0	0.43647	0	0.6577	0.85545	0.91493	0.14549	0.80936	0.86582	55	-0.07943	199	0.21523	5	0.78069	126	0.6744	32	0.69379	34	0.33387	86.3333	0.71629	64	2530	4844	3306	2530	4844	3306	3560	3560	23617642825	498424189	3984700063	891449091	201225539	15757981	9366922359	369477537	-0.45163	-0.29477	0.1031	0.43739	0.0081408	0.59313	-0.21443	0.34622	m0010	s02	m18	n05
100007.21	851040.7413	465429.1075	3086319.4031	165016.8173	82463.556	472159.0196	1111266.5921	15098.5985	34410.7629	35040.3692	66786.1808	15589.5718	6761.6865	28183.2436	29712.4797	1535.3535	2866.6667	373.7374	870.7071	-628.2828	-961.6162	1591.9192	-239.7306	0	0	0	0.88129	0.95804	0.74148	0	0.86027	0.94595	100	-0.095675	199	-0.095675	199	0.61481	72	0.53244	63	0.60446	105	0.25153	166	0.5839	80	1381	3782	2941	1381	3782	2941	2701.3333	2701.3333	22120430869	780848761	4622681162	329896885	17111593	16124190	9174653597.3333	121044222.6667	-0.64483	0.59361	-0.42983	-1.1897	-0.12093	0.45534	-0.16035	-0.28511	m0010	s02	m18	n05
86489.5248	99269.1163	183921.9672	1372723.189	239424.3534	89648.6476	123226.8694	567265.3967	13105.2923	14485.381	26624.9977	35858.3634	14105.4184	5959.6285	18071.8904	18641.1367	254.5455	-1187.8788	-1220.202	8888.8889	1020.202	636.3636	-717.8451	3515.1515	0	0	0	0.98582	0.99885	0.99885	0	0.9945	0.99324	100	-0.095572	1	-0.095572	1	0.77519	118	0.45407	117	0.6473	190	0.26736	34	0.62552	141.6667	1136	1438	1883	1136	1438	1883	1485.6667	1485.6667	22267770166	684824415	4815363657	192867371	29225981	9435169	9255986079.3333	77176173.6667	-0.30584	0.06911	-0.14624	0.99339	0.56952	-0.75695	-0.12766	0.26865	m0010	s02	m18	n05
917613.3636	1080057.1115	1261422.8577	2343793.6302	1771480.0221	70990.9304	1086364.4443	1395421.5276	32212.3259	26263.0208	39873.9681	43922.8157	28892.4163	11393.9378	32783.1049	28069.7232	-298.9899	2901.0101	-3755.5556	11361.6162	5979.798	-38.3838	-384.5118	5767.6768	0	0.469	0	0.32744	0.79504	0.9765	0.15633	0.69966	0.9823	119	-0.076067	1	0.14423	185	0.91072	63	0.40994	165	0.49632	94	0.35015	101.6667	0.60566	107.3333	3944	3876	4523	3944	3876	4523	4114.3333	4114.3333	23719144948	489073416	4149552527	773440047	314831365	7084889	9452590297	365118767	-1.6728	1.5711	-1.3733	0.041322	0.81277	-0.58303	-0.49166	0.090354	m0010	s02	m18	n05
681046.1789	1224972.5126	2192505.6792	6641178.5337	1833482.4423	115540.303	1366174.7902	2863400.4264	37798.0225	41419.9581	51352.4522	85762.7807	39298.2021	14250.2596	43523.4776	46437.0808	-2373.7374	5042.4242	-7622.2222	-13989.899	2810.101	1389.899	-1651.1785	-3263.2997	0	0.469	0	0.40218	0.58424	0.9648	0.15633	0.65041	0.78116	103	-0.061185	1	-0.061185	1	0.89212	73	0.3432	193	0.22338	33	0.21959	35	0.48623	99.6667	3565	4298	5488	3565	4298	5488	4450.3333	4450.3333	25645764155	302295849	2255797288	2037257416	693228927	13754974	9401285764	914747105.6667	-0.91997	0.11395	0.13202	-0.87486	-0.69933	-0.05568	-0.22467	-0.54329	m0010	s02	m18	n05
149573.6016	1023047.3231	445599.9697	11935566.1668	1529964.987	156107.707	539406.9648	4540546.2869	24083.4156	39977.3168	42447.3102	87060.6012	32988.7155	12313.7601	35502.6809	44121.0256	-1137.3737	3216.1616	-2486.8687	-7260.6061	-6496.9697	-1367.6768	-136.0269	-5041.7508	0	0.79504	0	0.93407	0.2864	0.92482	0.26501	0.71509	0.77025	153	-0.10501	1	0.1863	198	0.79487	99	0.51179	142	0.16976	193	0.28384	117.3333	0.49214	144.6667	1774	4175	3148	1774	4175	3148	3032.3333	3032.3333	26119284920	139411075	1092514038	1628068369	430780875	21704163	9117070011	693517802.3333	0.11709	-1.0686	0.23651	0.010905	0.36055	0.18564	-0.23832	0.1857	m0010	s02	m18	n05
141753.6948	868054.5632	346585.4621	3384594.4052	376642.6388	203739.659	452131.2401	1321658.901	21241.8208	36204.7712	39416.2352	65256.4823	31417.81	13497.1752	32287.609	36723.8225	-62.6263	-2662.6263	3082.8283	4490.9091	-2585.8586	-2573.7374	119.1919	-222.8956	0	0.90438	0	0.9974	0.77801	0.70147	0.30146	0.82563	0.85929	40	-0.086115	199	0.30511	9	0.45777	139	0.49931	11	0.20623	178	0.35943	82.6667	0.38777	109.3333	1732	3548	2537	1732	3548	2537	2605.6667	2605.6667	26480800749	108755220	1018294753	337709949	62864916	40985720	9202616907.3333	147186861.6667	0.60253	-0.2532	0.093629	-0.22632	-0.084426	0.39844	0.14765	0.029232	m0010	s02	m18	n05
