AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
79128.7576	175162.3802	114837.1956	777555.9495	521340.0738	86232.1748	123042.7778	461709.3994	19637.9348	13163.095	14865.5931	19003.9656	10519.9186	6457.6632	15888.8743	11993.8491	105.0505	941.4141	884.8485	848.4848	4224.2424	-1642.4242	643.771	1143.4343	0	0.9765	0	0.77801	0.81128	0.76017	0.3255	0.78315	0.33991	67	0.995	100	0.34749	81	0.7963	18	0.47379	76	0.84519	22	0.5608	82.6667	0.7051	38.6667	1276	1634	1462	1276	1634	1462	1457.3333	1457.3333	27192258876	17485020	1155553628	112726480	52046553	11380593	9455099174.6667	58717875.3333	-0.96967	-0.36765	-0.21766	-0.83327	1.3747	-0.46962	-0.51833	0.023937	m0001	s02	m04	n04
1146356.2327	1662612.3232	435797.6162	26648280.4949	1341153.6137	2412025.2746	1081588.724	10133819.7944	30647.2139	37384.4239	22199.2811	100928.7497	17955.8493	31782.7092	30076.973	50222.4361	3078.7879	-1066.6667	28.2828	2581.8182	-3925.2525	10113.1313	680.1347	2923.2323	0	0.9765	0	0.77801	0.99971	0.94268	0.3255	0.9068	0.66384	15	0.9775	100	0.49796	26	0.67427	131	0.72134	43	0.9289	44	0.7131	47	0.77483	72.6667	4060	5830	2600	4060	5830	2600	4163.3333	4163.3333	26434138752	164862816	1202818880	3984556018	132787850	246021761	9267273482.6667	1454455209.6667	1.1282	-0.31414	0.29444	1.1955	-0.17557	1.6198	0.36949	0.8799	m0001	s02	m04	n04
1330765.9329	2410037.9034	887689.6582	35817538.8173	2712845.2908	7849808.0456	1542831.1648	15460064.0512	33246.0919	39287.5954	24776.0719	111679.7876	19281.5817	38517.4918	32436.5864	56492.9537	-2076.7677	-2004.0404	-3765.6566	4824.2424	-5333.3333	3977.7778	-2615.4882	1156.229	0	0.91493	0	0.90438	0.79504	0.94268	0.30498	0.8807	0.72602	65	0.97269	100	0.57825	131	0.38325	126	0.87968	69	0.50625	39	0.75899	98.6667	0.58972	78	4060	5830	3236	4060	5830	3236	4375.3333	4375.3333	26749929368	267825076	1616128288	4431611799	466364967	1016164241	9544627577.3333	1971380335.6667	1.0849	0.38385	0.36326	0.67144	0.52556	0.2191	0.61068	0.47203	m0001	s02	m04	n04
3727029.8327	830927.2711	1179420.3976	11304504.7531	7127859.2496	14955825.4484	1912459.1671	11129396.4837	74927.3588	22943.4439	26467.4987	59921.0154	37736.0048	33933.6012	41446.1004	43863.5405	-1155.5556	1402.0202	2440.404	-3747.4747	10212.1212	-20032.3232	895.6229	-4522.5589	0	0.77801	0	0.90438	0.98959	0.98959	0.25934	0.96119	0.92711	166	0.96083	116	0.73981	73	0.66295	94	0.70084	169	0.68558	175	0.87592	118.3333	0.68313	146	8664	3400	3400	8664	3400	3400	5154.6667	5154.6667	30433622904	122961096	1549324560	1249992116	715127841	1482107565	10701969520	1149075840.6667	-1.8141	-0.50328	0.34027	-0.6219	0.39955	0.053675	-0.65902	-0.056225	m0001	s02	m04	n04
3623703.3471	896320.6061	1539417.9329	17476624.5572	1305646.094	3911706.7551	2019813.962	7564659.1354	75455.2941	26043.5067	27135.1574	62999.1759	36084.1217	36463.8468	42877.9861	45182.3814	2585.8586	6577.7778	7830.303	-1652.5253	4395.9596	-6000	5664.6465	-1085.5219	0	0.9765	0	0.98145	0.32744	0.72193	0.3255	0.67694	0.18125	180	0.91951	117	0.17518	62	0.58904	52	0.78808	134	0.15605	6	0.42531	119.6667	0.51106	64	8446	4328	4246	8446	4328	4246	5673.3333	5673.3333	30495428872	98382976	605274824	1735908452	531313595	859125975	10399695557.3333	1042116007.3333	-1.9031	1.0892	-0.61233	-0.45697	0.15529	-0.15417	-0.47541	-0.15195	m0001	s02	m04	n04
830330.8812	2422290.0117	730874.9915	27299666.9277	2855347.6339	7027873.1337	1327831.9615	12394295.8985	33815.2318	27995.6129	25387.9793	70689.4646	23295.4324	35915.9456	29066.2747	43300.2809	-8080.8081	-985.8586	2420.202	496.9697	-12840.404	19105.0505	-2215.4882	2253.8721	0	0.92482	0.74148	0.98582	0.68008	0.99538	0.55543	0.88709	0.34849	19	0.809	155	0.69953	187	0.71979	147	0.83714	73	0.82791	25	0.61901	120.3333	0.79495	81.6667	4266	4776	3650	4266	4776	3650	4230.6667	4230.6667	27222327012	285534060	102857944	2856913490	351848578	708062698	9203573005.3333	1305608255.3333	-1.0856	0.16822	-0.074212	-0.18391	-1.5824	0.60573	-0.33053	-0.38687	m0001	s02	m04	n04
1785299.0913	2652838.8347	3864392.3976	24730936.5021	3236394.1358	4942790.4966	2767510.1079	10970040.3781	36251.9801	31839.7503	27277.1633	87052.9898	25594.9411	33129.4309	31789.6312	48592.4539	-278.7879	-5131.3131	-9943.4343	-5131.3131	-6494.9495	7383.8384	-5117.8451	-1414.1414	0	0.94268	0.74148	0.88129	0.90438	0.68008	0.56139	0.82192	-0.033114	1	0.9644	48	0.34494	69	0.51978	113	0.76039	78	0.21548	187	0.42541	39.3333	0.49855	126	4718	4776	6660	4718	4776	6660	5384.6667	5384.6667	27742240628	317456184	674957488	2912433403	517569550	777242496	9578218100	1402415149.6667	-1.1826	-0.042428	-0.20806	-0.64823	0.12854	0.16639	-0.47768	-0.11777	m0001	s02	m04	n04
1278578.8198	1303057.4804	1257037.7374	14774551.4484	5919511.0832	4531810.137	1279558.0125	8408624.2229	31217.5035	40619.068	26353.4637	114812.1241	25420.9808	44262.9471	32730.0118	61498.684	8000	11026.2626	-3018.1818	16585.8586	16783.8384	-22050.5051	5336.0269	3773.064	0	0.70147	0	0.84146	0.82675	0.58424	0.23382	0.75082	0.30058	188	0.9501	94	0.24395	16	0.58622	160	0.51357	12	0.54847	186	0.49821	99.3333	0.54942	119.3333	4460	5648	4630	4460	5648	4630	4912.6667	4912.6667	27982923668	182749184	1513350560	1999209795	654137004	594667426	9893007804	1082671408.3333	-1.3442	0.4135	-0.34582	0.55534	0.86071	-1.1919	-0.42551	0.074704	m0001	s02	m04	n04
838363.0303	1922717.8182	2453471.4489	66487643.993	3362487.0905	38260357.4368	1738184.0991	36036829.5068	37860.9044	58293.8984	23513.6238	174386.4708	28693.4688	65466.3766	39889.4755	89515.4387	1155.5556	-464.6465	7268.6869	-7028.2828	6062.6263	-12945.4545	2653.1987	-4637.037	0	0.9765	0	0.92482	0.79504	0.94268	0.3255	0.88751	0.33003	42	0.90485	140	0.72958	158	0.66131	113	0.89511	47	0.61378	28	0.65482	113.3333	0.7234	62.6667	3686	7288	5338	3686	7288	5338	5437.3333	5437.3333	28423373656	196861768	986633840	6690617791	610768454	5933540128	9868956421.3333	4411642124.3333	-0.60989	0.95054	-0.62378	1.3154	-0.65361	-0.081998	-0.094381	0.19325	m0001	s02	m04	n04
1949537.9572	7461535.6671	2494746.4646	53069329.1329	4509121.6465	61321386.5236	3968606.6963	39633279.101	59615.685	57211.9646	29429.7314	160567.4974	33801.4882	68298.7791	48752.4603	87555.9216	-856.5657	-25018.1818	-1773.7374	-11678.7879	-11082.8283	33781.8182	-9216.1616	3673.4007	0	0.60984	0	0.84146	0.99885	0.9765	0.20328	0.93894	0.8699	36	0.91852	51	0.85347	107	0.67782	167	0.39222	18	0.78797	165	0.88063	64.6667	0.61934	116.6667	5826	12420	4584	5826	12420	4584	7610	7610	28090956176	1100209016	1056154816	8536328516	473578412	7084628338	10082440002.6667	5364845088.6667	0.053779	-0.40302	-0.1683	0.35943	-0.24059	0.16309	-0.17251	0.093975	m0001	s02	m04	n04
