AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
6274875.0238	4865364.9176	6201524.4747	18720850.6839	33684608.5829	948882.7661	5780588.1387	17784780.6776	137235.5757	201269.7833	212839.1321	261430.6846	128803.3628	76939.3569	183781.497	155724.4681	1713.1313	10048.4848	-8137.3737	-8838.3838	-8848.4848	6080.8081	1208.0808	-3868.6869	0	0.63431	0.94268	0.98959	0.32744	0.72193	0.52566	0.67965	0.76113	107	0.43969	5	0.6967	75	0.5378	17	0.60565	77	0.13824	34	0.63251	62.3333	0.42723	42.6667	11090	11606	13924	11090	11606	13924	12206.6667	12206.6667	31516586760	957984292	645479148	2008299495	6532984127	144639490	11040016733.3333	2895307704	-1.8153	-0.47201	0.27917	0.71107	-0.61093	0.39735	-0.66939	0.16583	m0002	s02	m05	n01
7488690.2671	7397027.4145	18752665.2929	59929651.8182	186030516.1474	4992990.899	11212794.3248	83651052.9548	202297.9101	236573.3867	217093.4873	330348.2815	173209.3088	128542.13	218654.928	210699.9068	-5026.2626	-634.3434	19357.5758	-4743.4343	36648.4848	-7812.1212	4565.6566	8030.9764	0	0.89317	0.98582	0.9765	0.99538	0.9974	0.62633	0.98976	0.5436	108	0.34634	124	0.37565	151	0.57223	67	0.75522	115	0.58834	55	0.42186	127.6667	0.6386	79	13304	12662	16110	13304	12662	16110	14025.3333	14025.3333	32512089980	949237372	1856918360	5983872430	18697486457	504272748	11772748570.6667	8395210545	-0.90345	-0.46922	0.51529	-0.089241	0.1791	-0.2403	-0.28579	-0.050148	m0002	s02	m05	n01
10387361.6162	39093141.2137	46414292.1552	118519126.8339	131845896.1802	18547574.7203	31964931.6617	89637532.5781	300846.8425	639086.0773	417451.1597	787543.2535	230148.9162	376634.8182	452461.3598	464775.6626	4630.303	-17907.0707	7636.3636	-14830.303	-6141.4141	-1593.9394	-1880.1347	-7521.8855	0	0.92482	0.92482	0.98959	0.95804	0.84146	0.61655	0.9297	0.40949	104	0.25562	182	0.36396	107	0.42562	54	0.46905	12	0.48729	14	0.34302	131	0.46065	26.6667	16948	43398	28338	16948	43398	28338	29561.3333	29561.3333	28850588800	4265721704	5377380576	11733697378	16189819014	1991927851	12831230360	9971814747.6667	-1.4567	-2.121	-0.53729	0.39816	-0.16906	-0.9109	-1.3717	-0.22726	m0002	s02	m05	n01
9294556.3131	39587162.5095	33523822.3612	103130088.8738	37784508.9915	19840788.5837	27468513.7279	53585128.8164	281986.1505	672091.7987	417915.2048	796045.0155	205202.9624	407721.4404	457331.0513	469656.4727	1155.5556	4052.5253	-13870.7071	680.8081	-33157.5758	2167.6768	-2887.5421	-10103.0303	0	0.85545	0.40218	0.9765	0.63431	0.92482	0.41921	0.84521	0.51864	104	-0.026305	1	0.34861	107	0.69778	160	0.42512	90	0.30259	101	0.28031	70.6667	0.47516	117	16948	43398	28338	16948	43398	28338	29561.3333	29561.3333	28284930004	4783689020	4225880056	10209906255	4437774238	2060986933	12431499693.3333	5569555808.6667	-1.8558	-1.716	-0.6759	0.58424	0.73932	-1.062	-1.4159	0.087196	m0002	s02	m05	n01
1165385.1519	6098819.2626	631577.5289	51931039.8282	4065728.6461	4292305.2698	2631927.3145	20096357.9147	115795.061	266265.911	98932.7289	282410.9828	81462.9147	192246.7753	160331.2336	185373.5576	-3155.5556	-1713.1313	1503.0303	25262.6263	2256.5657	1442.4242	-1121.8855	9653.8721	0	0.43647	0.24229	0.99538	0.43647	0.77801	0.22625	0.73662	0.86127	85	-0.043385	199	0.071107	10	0.44124	8	0.47769	84	0.69825	179	0.29633	98	0.53906	90.3333	6388	11256	5328	6388	11256	5328	7657.3333	7657.3333	26866788764	1647525356	210859088	5220741127	833891728	581881489	9575057736	2212171448	0.0044565	-0.024846	-0.36161	-0.057631	-0.15623	-0.45236	-0.12733	-0.22207	m0002	s02	m05	n01
18724084.139	8075010.0764	8330449.9216	39610104.4658	88127785.2626	7425246.5127	11709848.0457	45054378.747	117619.4514	222587.1388	331460.8669	359603.5168	139478.179	115504.4395	223889.1524	204862.0451	-17959.596	1098.9899	-11664.6465	56096.9697	-23826.2626	-757.5758	-9508.4175	10504.3771	0	0.469	0.90438	0.91493	0.43647	0.99538	0.45779	0.78226	0.82109	130	0.39083	35	0.4887	42	0.43659	12	0.71135	50	0.36142	159	0.56687	69	0.50312	73.6667	14824	13280	15564	14824	13280	15564	14556	14556	38299090616	1687096516	825986024	5852853415	17646019950	835664200	13604057718.6667	8111512521.6667	-0.94336	0.84871	-0.84742	0.75466	-0.61271	0.31405	-0.31402	0.152	m0002	s02	m05	n01
32270529.6566	8762716.1127	21149101.7519	148717856.2322	460467366.6031	5154432.9337	20727449.1737	204779885.2564	181957.0024	218646.0412	339792.3454	408355.7792	216346.2059	120646.1426	246798.463	248449.3759	-16694.9495	-7333.3333	23264.6465	-25339.3939	65866.6667	-9729.2929	-254.5455	10265.9933	0	0.63431	0.99277	0.97095	0.98959	0.88129	0.54236	0.94728	0.6691	100	0.33177	168	0.37061	169	0.68788	61	0.38605	116	0.8787	153	0.45716	145.6667	0.65088	110	21476	15292	21076	21476	15292	21076	19281.3333	19281.3333	38628327080	1615958116	2134358360	15155919953	45771972599	781991336	14126214518.6667	20569961296	0.18867	0.46643	0.49154	-0.089146	0.23942	0.16152	0.38221	0.10393	m0002	s02	m05	n01
36163432.3632	57592573.7677	80040067.5733	275372689.9006	285798406.7979	17400583.4137	57932024.5681	192857226.7041	429485.1717	807717.8525	656146.6429	976648.5631	349891.1508	470470.1066	631116.5557	599003.2735	-12339.3939	42981.8182	9866.6667	-109602.0202	6125.2525	33086.8687	13503.0303	-23463.2997	0	0.63431	0.77801	0.95067	0.86872	0.86872	0.47077	0.89604	0.67482	7	0.11355	184	0.12179	108	0.37682	42	0.49282	2	0.65486	7	0.30339	99.6667	0.50817	17	25118	51320	46948	25118	51320	46948	41128.6667	41128.6667	33006082788	6881930828	12780216784	29072160528	43392283323	1841027806	17556076800	24768490552.3333	-0.59446	-1.5604	-0.27582	0.35404	-0.46986	-0.68667	-0.81021	-0.2675	m0002	s02	m05	n01
27195041.857	69387573.2347	77614226.4933	216489842.7741	165489796.6954	23183209.61	58065613.8617	135054283.0265	531648.7881	916936.7906	656571.2775	1012745.0942	319394.1462	549066.9831	701718.9521	627068.7412	16557.5758	9527.2727	-24973.7374	41185.8586	-57236.3636	836.3636	370.3704	-5071.3805	0	0.77801	0.72193	0.92482	0.84146	0.72193	0.49998	0.8294	0.47096	103	0.0015867	24	0.29435	108	0.66966	118	0.33172	77	0.34117	53	0.25563	78.3333	0.44751	82.6667	24942	51682	46948	24942	51682	46948	41190.6667	41190.6667	33128461176	7717786832	11442160492	22391982230	16383608622	2614721305	17429469500	13796770719	-0.99783	-1.058	0.076	0.19579	0.91515	0.14388	-0.65996	0.41827	m0002	s02	m05	n01
4290281.5657	17017771.0428	861795.463	61817463.7713	7544586.0101	8575906.0259	7389949.3572	25979318.6024	264787.5337	455563.4185	112669.679	378421.2686	103522.796	291548.72	277673.5437	257830.9282	5967.6768	-48690.9091	-5523.2323	75723.2323	-1848.4848	-22775.7576	-16082.1549	17032.9966	0	0.55744	0.74148	0.98582	0	0.6577	0.43297	0.54784	0.74224	83	-0.057186	193	0.14859	100	0.45857	99	0.50206	80	0.66858	87	0.27788	125.3333	0.54307	88.6667	12752	28454	5486	12752	28454	5486	15564	15564	26325455844	2713718924	113033764	6233547458	2083328264	1110121514	9717402844	3142332412	1.4061	2.3105	0.16368	-1.6272	-1.0633	1.2617	1.2934	-0.47627	m0002	s02	m05	n01
16458960.8873	10904994.7875	10177136.6691	46129876.9312	64785052.4545	6977862.3046	12513697.4479	39297597.2301	178903.9808	279358.5466	521758.1328	443318.5147	145348.3882	150205.2481	326673.5534	246290.717	-2242.4242	-3026.2626	-10832.3232	35004.0404	-8216.1616	3335.3535	-5367.0034	10041.0774	0	0.55744	0.99277	0.36592	0	0.98582	0.51674	0.45058	0.72551	143	0.52699	6	0.52719	6	-0.0088175	199	0.46833	52	0.56483	154	0.59323	51.6667	0.34145	135	16056	18186	20486	16056	18186	20486	18242.6667	18242.6667	38286215560	2301810068	1031179464	9279803887	15733112562	691743844	13873068364	8568220097.6667	-1.0204	0.6231	-0.017874	1.1746	-0.57765	0.55582	-0.1384	0.38424	m0002	s02	m05	n01
21220635.6246	10324653.1956	29063368.861	144001382.9142	438919330.8586	5767870.9459	20202885.8937	196229528.2396	200874.633	287712.1654	528366.229	482638.1697	195097.7864	142005.1756	338984.3424	273247.0439	-12303.0303	1167.6768	26072.7273	-30018.1818	74381.8182	-10816.1616	4979.1246	11182.4916	0	0.76017	1	0.98145	0.9974	0.92482	0.58672	0.96789	0.54993	163	0.2864	141	0.31262	152	0.78207	35	0.56682	124	0.63981	157	0.38298	152	0.6629	105.3333	19630	18186	24386	19630	18186	24386	20734	20734	39032227292	1321977596	2954316268	14628985975	44151188684	595515784	14436173718.6667	19791896814.3333	-0.2909	-0.43304	0.47625	0.06823	0.17906	0.12263	-0.082561	0.12331	m0002	s02	m05	n01
34435130.8461	25547507.2323	92474402.9495	136631465.4718	281907540.5758	13269627.707	50819013.676	143936211.2515	643493.2682	480641.4082	762175.7299	684343.9026	354489.8403	362859.193	628770.1354	467230.9786	8957.5758	-6606.0606	6307.0707	-58585.8586	-12725.2525	2947.4747	2886.1953	-22787.8788	0.14144	0.70147	0.77801	0.92482	0.88129	0.97095	0.54031	0.92569	0.60672	92	0.12311	187	0.29005	16	0.3897	43	0.56722	74	0.36893	13	0.33996	98.3333	0.44195	43.3333	33082	35426	44070	33082	35426	44070	37526	37526	32490650256	3049955616	14627710376	15863048323	41872286406	1421020671	16722772082.6667	19718785133.3333	-0.62442	-1.826	-0.023755	-0.15497	-0.45197	0.78084	-0.82473	0.057965	m0002	s02	m05	n01
30442297.3236	27178206.4238	90813571.4974	105164301.6683	138866277.1389	14205889.0928	49478025.0816	86078822.6333	654954.7623	515776.6802	759167.4227	692843.105	332686.1888	385586.2214	643299.6217	470371.8384	11402.0202	-331.3131	-27806.0606	23812.1212	-59729.2929	3133.3333	-5578.4512	-10927.9461	0.14144	0.6577	0.72193	0.90438	0.77801	0.70147	0.50702	0.79462	0.59785	92	-0.0038818	1	0.10289	107	0.67314	115	0.49252	77	0.4507	160	0.23229	66.6667	0.53879	117.3333	33082	35426	44070	33082	35426	44070	37526	37526	32999419800	3594859364	12731382752	12206296342	13885248787	1771036417	16441887305.3333	9287527182	-0.61093	-1.311	0.43703	-0.63192	1.0904	1.2162	-0.49497	0.55821	m0002	s02	m05	n01
2309926.3075	5826123.101	466802.4545	41178564.2112	6543837.1733	3277938.553	2867617.2877	17000113.3125	161773.1046	228734.0761	90435.15	227701.3381	67317.1868	140969.6665	160314.1103	145329.3971	-18125.2525	4343.4343	1086.8687	38753.5354	-3121.2121	-3305.0505	-4231.6498	10775.7576	0	0.36592	0.49992	0.9648	0	0.469	0.28861	0.47793	0.86499	87	0.059617	3	0.13107	11	0.55776	11	0.42124	58	0.75414	120	0.35189	33.6667	0.57771	63	11246	13454	3202	11246	13454	3202	9300.6667	9300.6667	27631048644	1590635468	105642124	4078129159	2824323628	770844919	9775775412	2557765902	0.48342	0.48101	-0.23894	-1.1899	-1.0285	-0.33534	0.24183	-0.85126	m0002	s02	m05	n01
13977437.4832	15779469.4642	11197366.4885	64766746.9495	41887644.5757	6042912.3365	13651424.4787	37565767.9539	203220.706	328200.7811	622524.378	456508.2592	177356.8827	138250.3161	384648.6217	257371.8193	4707.0707	14755.5556	-6852.5253	-6383.8384	14301.0101	-5333.3333	4203.367	861.2795	0	0.55744	0.92482	0.080793	0.24229	0.74148	0.49409	0.35486	0.67553	121	0.29963	10	0.2657	20	0.054416	2	0.063266	123	0.72189	11	0.41362	50.3333	0.27986	45.3333	17102	22052	26228	17102	22052	26228	21794	21794	35190251628	2521011088	1111017388	14543618924	11987111547	850063961	12940760034.6667	9126931477.3333	-0.36822	1.0788	0.66421	1.8599	-0.37749	-0.66449	0.45827	0.27265	m0002	s02	m05	n01
