AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
51435.457	21183.0933	3134.261	44960.7332	26236.3049	7899.404	25250.9371	26365.4807	24227.3408	13899.4368	14817.08	5187.7867	3968.9197	3155.6907	17647.9525	4104.1324	913.1313	-125.2525	16.1616	-816.1616	-369.697	10.101	268.0135	-391.9192	0.14144	0	0	0.99538	0.72193	0.9974	0.047147	0.9049	0.10244	1	0.10034	1	0.99813	100	0.78443	96	0.88855	97	0.82244	101	0.4003	34	0.83181	98	1086	606	268	1086	606	268	653.3333	653.3333	26506792	581346496	28341898112	4451847	2974513	787970	9649917133.3333	2738110	0.37401	-0.62701	-0.12162	0.34785	0.83293	-0.30752	-0.12488	0.29109	m0002	s01	m16	n04
9801.9895	12310.5051	3308.8549	42067.6085	6165.4605	1564.8384	8473.7832	16599.3025	21581.5484	14247.2822	14784.9774	4386.3424	2240.0397	1784.671	16871.2693	2803.6844	391.9192	-1046.4646	363.6364	1553.5354	187.8788	-147.4747	-96.9697	531.3131	0	0	0	0.55744	0.77801	0.92482	0	0.75342	-0.097212	199	-0.099058	1	0.9989	100	0.40053	38	0.35419	10	0.84059	61	0.26754	100	0.53177	36.3333	512	696	274	512	696	274	494	494	21629240	566612024	28374247736	5610940	847647	192944	9654163000	2217177	0.36752	-1.7628	0.22213	1.9621	0.43248	-0.029417	-0.39106	0.78838	m0002	s01	m16	n04
98036.4327	55208.1471	12260.6428	514670.4254	198882.1086	146675.2423	55168.4075	286742.5921	20586.0402	14362.0713	14126.1846	13446.1139	5726.5287	7209.3094	16358.0987	8793.984	-1490.9091	513.1313	-286.8687	-5084.8485	-1654.5455	1676.7677	-421.5488	-1687.5421	0.40218	0	0	0.98145	0.82675	0.98145	0.13406	0.92988	0.24331	192	0.26037	192	0.99555	100	0.82226	103	0.98446	53	0.70165	48	0.49975	161.3333	0.83612	68	1434	808	604	1434	808	604	948.6667	948.6667	38270356	674267272	28208617844	55039643	30015911	17033391	9640385157.3333	34029648.3333	-0.79202	-0.17593	0.24626	-1.5185	-0.95135	1.8134	-0.24056	-0.21882	m0002	s01	m16	n04
293417.0065	332058.5451	28728.0307	767495.7107	197198.8687	186224.436	218067.8607	383639.6718	16132.9827	14956.2054	14661.3765	18517.6738	7401.6378	10771.7738	15250.1882	12230.3618	-1688.8889	1668.6869	-210.101	149.4949	151.5152	2280.8081	-76.7677	860.6061	0.98582	0	0	0.95067	0.89317	0.77801	0.32861	0.87395	0.8017	144	0.67807	142	0.96742	100	0.93636	109	0.44207	8	0.31998	158	0.81573	128.6667	0.56614	91.6667	1660	1820	800	1660	1820	800	1426.6667	1426.6667	31574476	535521228	28373664920	93797228	32685072	30186032	9646920208	52222777.3333	0.40045	0.2668	-0.54918	-0.92288	-0.72514	0.61801	0.039356	-0.34334	m0002	s01	m16	n04
157873.5014	319158.7632	28700.9046	921458.709	66333.1009	136725.2746	168577.7231	374839.0282	20979.2972	16409.31	14384.9529	16843.4983	5514.3156	9069.4514	17257.8533	10475.7551	2250.5051	-1365.6566	864.6465	5309.0909	1678.7879	292.9293	583.165	2426.936	0.9974	0	0	0.76017	0.76017	0.58424	0.33247	0.70152	0.68691	47	0.63723	57	0.96584	100	0.9617	102	0.74018	125	0.77492	119	0.76333	68	0.8256	115.3333	1426	2114	830	1426	2114	830	1456.6667	1456.6667	15883896	483745908	28542281060	105368781	7607581	38345167	9680636954.6667	50440509.6667	0.42378	-0.48091	-0.1942	-1.0912	-1.2534	-0.45732	-0.083778	-0.93398	m0002	s01	m16	n04
72343.8105	166416.9774	91632.543	451434.0105	86773.2339	96596.6839	110131.1103	211601.3095	25974.5019	17594.3976	21746.3059	20586.5112	5569.6871	7669.1959	21771.7351	11275.1314	311.1111	-1317.1717	-678.7879	-2795.9596	-1377.7778	-2301.0101	-561.6162	-2158.2492	0.24229	0	0	0.68008	0.9974	0.14144	0.080764	0.60631	0.1139	7	0.11367	7	0.98761	100	0.66277	105	0.78611	69	0.73769	61	0.40506	38	0.72886	78.3333	1054	1444	1394	1054	1444	1394	1297.3333	1297.3333	31048716	745378084	28245437776	79781004	8656702	46435899	9673954858.6667	44957868.3333	-0.42287	0.47477	0.044037	0.13253	-0.21292	-0.4098	0.031981	-0.1634	m0002	s01	m16	n04
150903.0804	162489.7067	101342.8945	274802.9773	37586.2279	171228.2484	138245.2272	161205.8178	27492.7796	19845.0971	23506.7839	21430.6681	6991.8856	7369.9088	23614.8869	11930.8208	-606.0606	-391.9192	452.5253	-1167.6768	-428.2828	-2119.1919	-181.8182	-1238.3838	0.63431	0	0	0.9765	0.77801	0.90438	0.21144	0.8863	-0.097276	199	-0.09913	1	0.99009	100	0.4233	177	0.67757	156	0.24343	159	0.26456	100	0.4481	164	1530	1624	1394	1530	1624	1394	1516	1516	31058024	878988856	28177344640	28930777	6381850	22531113	9695797173.3333	19281246.6667	-0.89955	0.37673	-0.052389	0.51869	0.050509	0.75403	-0.19173	0.44108	m0002	s01	m16	n04
146848.5152	224827.0945	48300.2323	465258.3838	52585.0201	62807.7959	139991.9473	193550.3999	23283.4792	18257.5071	19049.8336	16495.7785	6101.8626	6030.1264	20196.94	9542.5892	1143.4343	121.2121	1503.0303	1042.4242	1602.0202	842.4242	922.5589	1162.2896	0.9648	0	0	0.88129	0.98145	0.93407	0.3216	0.93227	0.27905	16	0.32999	19	0.98627	100	0.49881	28	0.67744	105	0.73445	92	0.53177	45	0.6369	75	1416	1702	880	1416	1702	880	1332.6667	1332.6667	16158532	838834228	28253315052	64464680	5365837	8217085	9702769270.6667	26015867.3333	0.0056271	0.30584	0.34568	0.015978	0.30168	-0.22076	0.21905	0.032301	m0002	s01	m16	n04
301426.0505	207700.2905	42153.3349	172340.3615	209597.436	210493.8718	183759.892	197477.2231	22880.9126	15345.5024	16796.8732	16437.6754	7813.9735	7729.3877	18341.0961	10660.3455	-1713.1313	2852.5253	-771.7172	468.6869	-1412.1212	-1456.5657	122.5589	-800	0.82675	0	0	0.19439	0.81128	0.97095	0.27558	0.65887	0.17759	197	0.1433	197	0.9821	100	0.90418	34	0.75288	22	0.85607	86	0.43433	164.6667	0.83771	47.3333	1924	1616	990	1924	1616	990	1510	1510	49315748	612598820	28284380336	91865167	27917546	24695011	9648764968	48159241.3333	0.14457	0.11992	0.14062	0.3661	-0.77412	-0.064877	0.13504	-0.15763	m0002	s01	m16	n04
547829.5984	180387.5329	78851.4145	502788.8779	249114.1635	398677.5486	269022.8486	383526.8633	28675.3193	21722.1388	21454.1654	14238.247	9611.0416	11949.7771	23950.5412	11933.0219	-735.3535	-1680.8081	-1474.7475	2006.0606	163.6364	-86.8687	-1296.9697	694.2761	0.9974	0	0	0.99885	0.94268	0.91493	0.33247	0.95215	0.62148	149	0.59513	147	0.98072	100	0.8456	89	0.88916	60	0.84633	70	0.73244	132	0.86036	73	2566	1922	1300	2566	1922	1300	1929.3333	1929.3333	58165040	470560584	28413065980	53480569	30718331	62186693	9647263868	48795197.6667	0.18083	-0.45832	-0.23315	0.14055	-0.59532	0.22336	-0.17022	-0.077141	m0002	s01	m16	n04
