AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
2864.2424	6032.6642	3381.3701	3953.5025	827.1009	6583	4092.7589	3787.8678	8046.5313	9523.6017	11228.2472	4283.914	3559.6504	1827.9535	9599.4601	3223.8393	-307.0707	-307.0707	-137.3737	-115.1515	167.6768	-133.3333	-250.5051	-26.936	0	0	0	0.14144	0	0.9648	0	0.36875	-0.10004	1	0.99951	100	-0.099968	199	-0.028428	1	0.54225	179	0.61686	66	0.2665	100	0.3769	82	268	348	308	268	348	308	308	308	280243384	218844672	25802524412	1476119	357613	688966	8767204156	840899.3333	0.068736	0.23717	0.16562	0.4942	-0.43111	0.36335	0.15718	0.14215	m0011	s01	m13	n05
2796.3636	5874.962	2824.6865	2363.3183	1370.9127	2367.7741	3832.004	2034.0017	7436.5192	9829.5781	11275.3597	4522.2235	3540.0165	1757.7534	9513.819	3273.3311	8.0808	121.2121	193.9394	-74.7475	-8.0808	135.3535	107.7441	17.5084	0	0	0	0.40218	0.6577	0.77801	0	0.61263	-0.094743	199	0.9995	100	-0.099719	1	-0.065684	199	0.021828	18	0.80224	176	0.26835	100	0.2528	131	260	348	244	260	348	244	284	284	277699176	215866812	25795915988	739063	300394	403002	8763160658.6667	480819.6667	-0.014357	0.35787	0.26662	-0.049759	-0.37316	-0.30787	0.20338	-0.2436	m0011	s01	m13	n05
2179.3661	1430.3107	2400.2683	2765.7632	1446.2484	759.8258	2003.315	1657.2791	9868.7958	8731.043	11980.6578	4709.2859	3377.1663	1721.2868	10193.4989	3269.2464	-161.6162	-64.6465	-181.8182	-179.798	-60.6061	-22.2222	-136.0269	-87.5421	0	0	0	0.32744	0.72193	0.72193	0	0.59043	-0.098263	1	0.99962	100	-0.099681	199	0.021731	173	0.015286	21	0.79254	128	0.26723	100	0.27652	107.3333	212	190	256	212	190	256	219.3333	219.3333	280865364	201832724	25809045688	911892	352119	156163	8763914592	473391.3333	-0.27616	-0.10592	-0.17205	0.19766	0.13807	-0.026307	-0.18471	0.10314	m0011	s01	m13	n05
1907.7188	2096.137	1867.0853	2793.1971	922.2435	553.0602	1956.9803	1422.8336	10841.8941	8109.6526	11424.9417	3901.6702	3331.2721	1534.6503	10125.4961	2922.5309	210.101	-238.3838	-117.1717	-115.1515	-4.0404	-42.4242	-48.4848	-53.8721	0	0	0	0.469	0.32744	0.43647	0	0.41097	-0.098897	1	0.99967	100	-0.099992	199	-0.10066	199	-0.087093	199	0.74295	126	0.26693	100	0.18507	174.6667	200	216	212	200	216	212	209.3333	209.3333	283680168	194146564	25841261744	674309	287817	210936	8773029492	391020.6667	-0.13749	0.18524	-0.3259	0.62682	-0.34441	0.51519	-0.092719	0.26587	m0011	s01	m13	n05
3130.5354	6764.9681	3253.8905	4384.41	2517.846	7632.0703	4383.1313	4844.7754	9628.9966	9067.2014	11740.9755	4872.6406	3562.4302	1854.3969	10145.7245	3429.8226	-149.4949	-525.2525	222.2222	70.7071	44.4444	559.596	-150.8418	224.9158	0	0	0	0.63431	0.58424	0.76017	0	0.65957	-0.080644	1	0.99943	100	-0.099444	1	0.33848	99	0.79874	16	0.63682	88	0.27311	34	0.59135	67.6667	324	458	270	324	458	270	350.6667	350.6667	282449132	190822800	25835162252	711891	289467	755598	8769478061.3333	585652	0.14157	-0.54534	0.12685	1.5991	2.1424	1.7663	-0.092304	1.8359	m0011	s01	m13	n05
4036.0404	12691.0481	4640.7741	14732.4541	3049.9049	15257.6908	7122.6209	11013.35	9558.8343	9421.4027	11993.3989	6364.5483	3858.7694	2834.6343	10324.5453	4352.6506	121.2121	40.404	-8.0808	8.0808	143.4343	-151.5152	51.1785	9.4739e-15	0	0	0	0.99885	0.76017	0.92482	0	0.89461	-0.10172	199	0.99929	100	-0.10009	199	0.51514	97	0.79905	89	0.43303	97	0.26583	166	0.58241	94.3333	324	470	304	324	470	304	366	366	280627168	190505960	25849252992	1461516	345163	1515855	8773462040	1107511.3333	-0.091046	-0.87507	0.22854	-0.18511	1.5671	0.57643	-0.24586	0.65282	m0011	s01	m13	n05
2920.2145	9778.238	4029.9713	6429.0524	1811.7514	8443.4444	5576.1413	5561.4161	8781.2472	9168.0605	11247.5182	5483.5291	3344.1642	2669.8466	9732.2753	3832.5133	80.8081	347.4747	-169.697	-208.0808	82.8283	-630.303	86.1953	-251.8519	0	0	0	0.63431	0.94268	0.52936	0	0.70212	-0.080927	199	0.99953	100	-0.099311	199	0.65756	148	0.68456	90	0.55929	99	0.2731	166	0.6338	112.3333	276	438	308	276	438	308	340.6667	340.6667	277931340	194283700	25872413732	1160797	191049	1338582	8781542924	896809.3333	-0.11774	-1.2367	0.00040216	-0.66583	0.25967	1.3511	-0.45133	0.31498	m0011	s01	m13	n05
4035.2663	25412.5964	4467.7156	11517.2908	2930.3332	1525.9365	11305.1927	5324.5202	9144.3199	10589.0357	11947.9004	5327.4968	4692.2674	1722.4601	10560.4186	3914.0748	-165.6566	238.3838	-250.5051	315.1515	-103.0303	272.7273	-59.2593	161.6162	0	0	0	0.91493	0.97095	0	0	0.62863	-0.093943	199	0.9993	100	-0.099763	199	0.7011	37	0.56009	80	0.6563	185	0.26853	166	0.63916	100.6667	300	644	330	300	644	330	424.6667	424.6667	269661336	225910720	25811949376	1321773	312573	803447	8769173810.6667	812597.6667	0.65854	0.32156	-0.08314	0.20184	-0.73162	-0.70425	0.29899	-0.41134	m0011	s01	m13	n05
4237.0909	27851.5152	3375.3838	13522.6847	2277.3519	3163.7337	11821.33	6321.2568	8933.6047	10082.0072	13067.2851	5542.2345	4487.5586	1709.5099	10694.299	3913.101	80.8081	274.7475	-145.4545	-82.8283	-105.0505	-86.8687	70.0337	-91.5825	0	0	0	0.98582	0.74148	0.84146	0	0.85625	-0.086984	199	0.99924	100	-0.10007	199	0.40824	45	0.58843	82	0.72662	132	0.27073	166	0.57443	86.3333	294	644	302	294	644	302	413.3333	413.3333	270561568	219259096	25796869932	1341651	393886	516250	8762230198.6667	750595.6667	0.53447	0.63504	0.41342	-0.51906	-0.61481	0.67173	0.52764	-0.15404	m0011	s01	m13	n05
2704.3309	7826.9653	2768.7996	5369.9842	1656.6004	2861.492	4433.3653	3296.0256	9194.5526	7953.5012	13496.1573	4859.2721	3890.3662	1693.9584	10214.7371	3481.1989	-76.7677	-254.5455	-157.5758	-159.596	-22.2222	-20.202	-162.963	-67.3401	0	0	0	0.92482	0.63431	0.92482	0	0.82798	-0.092543	1	0.99953	100	-0.10021	199	0.22444	137	0.41364	93	0.73395	57	0.26892	100	0.45734	95.6667	256	312	270	256	312	270	279.3333	279.3333	271587924	210914684	25819043508	606376	302090	352089	8767182038.6667	420185	-0.21243	0.29332	0.19397	-0.020148	0.35075	-0.071155	0.091618	0.086482	m0011	s01	m13	n05
