AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
1671.3216	7519.8788	2539.1292	14014.9491	1308.7479	1310.6263	3910.1099	5544.7744	7876.6244	6682.1033	8530.563	5079.4894	3638.9587	1471.3424	7696.4302	3396.5968	48.4848	-161.6162	-6.0606	642.4242	145.4545	-60.6061	-39.7306	242.4242	0	0	0	0.88129	0.52936	0.14144	0	0.51736	-0.095685	1	0.99978	100	-0.10011	199	0.32566	59	0.46337	7	0.72137	106	0.26799	100	0.50347	57.3333	209	350	253	209	350	253	270.6667	270.6667	350401714	394290712	25496708285	1445176	324400	494568	8747133570.3333	754714.6667	0.047586	0.11328	-0.016113	-1.0871	-0.3286	-0.10584	0.048252	-0.5072	m0006	s01	m12	n05
2249.7754	6535.387	2271.7277	5080.8157	721.8541	1623.189	3685.63	2475.2863	9281.5229	6247.262	9236.7295	4649.3619	3156.7148	1563.6011	8255.1715	3123.2259	115.1515	-131.3131	226.2626	-183.8384	22.2222	-135.3535	70.0337	-98.9899	0	0	0	0.82675	0.60984	0.14144	0	0.52601	-0.10123	1	0.99969	100	-0.099601	1	0.10117	182	0.26832	8	0.77777	71	0.26629	34	0.38242	87	244	338	310	244	338	310	297.3333	297.3333	348298914	388394299	25471235794	827331	165222	488223	8735976335.6667	493592	0.23063	0.57329	0.23638	-0.40794	-0.347	-0.40869	0.34677	-0.38788	m0006	s01	m12	n05
1929.5657	2008.6443	2122.4343	3230.3526	592.4746	888.6759	2020.2148	1570.501	9532.634	6613.3627	10291.018	5084.3392	2848.7814	1523.8176	8812.3382	3152.3128	-72.7273	149.4949	6.0606	-84.8485	-36.3636	143.4343	27.6094	7.4074	0	0	0	0.95804	0.469	0	0	0.47568	-0.093564	199	0.99972	100	-0.10012	1	0.26106	191	0.30309	193	0.75583	123	0.26868	100	0.44	169	222	235	253	222	235	253	236.6667	236.6667	340409052	379626401	25448435746	368337	177749	478979	8722823733	341688.3333	-0.050337	-0.64516	0.34116	0.66095	0.05046	-0.34459	-0.11811	0.12227	m0006	s01	m12	n05
1455.8031	2369.5814	2056.3607	2268.7551	438.2904	229.1405	1960.5818	978.7287	8837.3633	7534.4059	9527.1012	4827.112	2561.4863	1247.705	8632.9568	2878.7678	-26.2626	204.0404	-280.8081	214.1414	-54.5455	54.5455	-34.3434	71.3805	0	0	0	0.88129	0.24229	0	0	0.37453	-0.099303	199	0.9998	100	-0.099369	199	0.22372	4	0.13673	3	0.87609	100	0.26704	166	0.41218	35.6667	208	225	203	208	225	203	212	212	339783223	387190698	25484271131	282929	231313	309231	8737081684	274491	-0.16781	0.057611	0.10017	0.25124	0.42958	0.47046	-0.0033415	0.38376	m0006	s01	m12	n05
1201.0238	4413.8182	1807.4839	1731.8888	333.2601	464.4545	2474.1087	843.2011	7837.3104	7014.732	10042.5961	3876.216	2092.0243	1234.6839	8298.2128	2400.9747	-66.6667	-28.2828	-98.9899	-74.7475	-40.404	-10.101	-64.6465	-41.7508	0	0	0	0.63431	0	0.32744	0	0.32058	-0.096702	1	0.99983	100	-0.10006	199	0.046683	199	0.11386	199	0.88037	100	0.26769	100	0.34697	166	192	293	222	192	293	222	235.6667	235.6667	342709386	380375032	25510753173	304609	310195	224910	8744612530.3333	279904.6667	-0.13868	-0.1493	0.22589	-0.33157	-0.86207	0.69127	-0.020699	-0.16746	m0006	s01	m12	n05
1750.6338	8345.5309	2245.4501	3331.4274	797.9874	1807.3653	4113.8716	1978.9267	7496.2347	6458.1325	9639.7745	3652.4241	2595.723	1424.1779	7864.7139	2557.4417	14.1414	-359.596	16.1616	-58.5859	4.0404	294.9495	-109.7643	80.1347	0	0	0	0.76017	0.32744	0.63431	0	0.57397	-0.094848	1	0.99975	100	-0.1002	1	-0.12953	1	0.31278	6	0.79957	64	0.26823	34	0.32761	23.6667	198	364	248	198	364	248	270	270	338751713	380444670	25495944706	540217	283757	317462	8738380363	380478.6667	-0.10571	0.47027	0.32879	0.64153	0.41699	0.9163	0.23111	0.65827	m0006	s01	m12	n05
4238.5067	7639.4408	3410.0461	5921.2658	2991.4839	3960.9842	5095.9978	4291.2446	8492.968	7241.9931	8408.0048	4283.1122	3389.5264	1540.5627	8047.6553	3071.0671	98.9899	-2.0202	377.7778	32.3232	159.596	44.4444	158.2492	78.7879	0	0	0	0.99971	0.6577	0.90438	0	0.85393	-0.094911	1	0.99944	100	-0.099249	1	0.32811	15	0.60028	85	0.44542	149	0.26843	34	0.45794	83	325	353	266	325	353	266	314.6667	314.6667	344626000	389855600	25504044316	610635	536551	460572	8746175305.3333	535919.3333	-0.68634	0.091474	0.1242	0.35825	-0.42011	0.56534	-0.15689	0.16782	m0006	s01	m12	n05
4118.1587	3116.3349	3432.7236	3137.7943	3369.3344	2862.1086	3555.7391	3123.0791	8191.422	7604.0925	9577.7309	3816.9743	3252.1011	1554.2708	8457.7484	2874.4487	14.1414	68.6869	-50.5051	-256.5657	64.6465	-349.4949	10.7744	-180.4714	0	0	0	0.98582	0.58424	0.91493	0	0.82833	-0.096756	199	0.99946	100	-0.099855	199	0.31643	24	0.40876	178	0.68558	69	0.26762	166	0.47026	90.3333	325	261	256	325	261	256	280.6667	280.6667	347771559	383990426	25501427568	311066	847223	321179	8744396517.6667	493156	-0.57323	0.085516	-0.14851	-0.42208	0.24585	0.47752	-0.21207	0.10043	m0006	s01	m12	n05
2653.7264	4600.5067	2581.6383	2162.907	1942.8509	2038.5903	3278.6238	2048.1161	7698.4585	7619.1147	9152.9319	3688.0369	2822.8505	1602.9014	8156.835	2704.5963	-44.4444	476.7677	-165.6566	214.1414	-68.6869	175.7576	88.8889	107.0707	0	0	0	0.9765	0.36592	0.70147	0	0.6813	-0.094281	199	0.99963	100	-0.099756	199	0.10079	134	0.13892	4	0.89701	76	0.26853	166	0.37891	71.3333	225	256	270	225	256	270	250.3333	250.3333	344747455	393398850	25488090713	228793	537616	407392	8742079006	391267	-0.19577	0.5618	-0.0062618	0.45219	-0.25559	0.32133	0.11992	0.17264	m0006	s01	m12	n05
2848.1862	5300.2472	2537.5073	5049.5751	1045.5624	3800.8845	3561.9802	3298.674	8328.4279	6970.0084	8133.7547	4245.1168	2832.3794	1611.8207	7810.7304	2896.439	33.8983	416.9492	77.9661	688.1356	-118.6441	427.1186	176.2712	332.2034	0	0	0	0.9992	0.35336	0.88129	0	0.74462	-0.12366	119	0.99962	60	-0.12894	1	0.32343	38	0.37264	60	0.74705	101	0.249	60	0.48104	66.3333	223	228	224	223	228	224	225	225	206559059	245601535	15281785918	341234	166941	318421	5244648837.3333	275532	-0.042282	-0.25048	0.22422	0.42778	0.1254	0.36467	-0.022848	0.30595	m0006	s01	m12	n05
