AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
5135.3418	49131.8804	12355.0945	52119.9681	13355.4928	5651.1693	22207.4389	23708.8767	9351.3247	10734.632	12725.0965	9924.5232	4115.9949	2716.8758	10937.0177	5585.798	-331.3131	1422.2222	456.5657	-492.9293	262.6263	-276.7677	515.8249	-169.0236	0	0	0	0.32744	0.85545	0.58424	0	0.58904	0.99894	100	0.99985	100	0.99938	100	0.082893	34	-0.013365	1	0.66435	49	0.99939	100	0.24463	28	346	1044	480	346	1044	480	623.3333	623.3333	19398145444	2679532832	6162813772	16956354	2004635	1259700	9413497349.3333	6740229.6667	0.026988	-1.5137	0.018272	-0.50538	0.50248	-0.63969	-0.48948	-0.2142	m0002	s01	m16	n03
11756.042	16723.061	4290.4646	38740.8561	4089.3991	5760.5713	10923.1892	16196.9422	9262.0656	8996.8794	12958.7379	5573.4218	2762.8853	2584.6478	10405.8943	3640.3183	-395.9596	-759.596	96.9697	422.2222	-349.4949	-218.1818	-352.862	-48.4848	0	0	0	0.63431	0.70147	0.72193	0	0.6859	0.99975	100	0.99995	100	0.99972	100	0.41635	187	0.51096	179	0.79777	156	0.99981	100	0.57502	174	432	602	308	432	602	308	447.3333	447.3333	19568361584	2615564360	6161732792	7037655	873117	978362	9448552912	2963044.6667	-0.63719	-1.7384	-0.28492	0.7899	-0.57869	-0.20003	-0.88684	0.0037297	m0002	s01	m16	n03
190765.4024	169952.2424	25727.0885	219983.6501	50414.9976	57477.711	128814.9111	109292.1196	17261.436	12629.6109	14068.0597	14392.5065	6677.8089	8035.2758	14653.0355	9701.8637	-246.4646	2008.0808	-12.1212	-711.1111	460.6061	-92.9293	583.165	-114.4781	0	0	0	0.89317	0.94268	0.98959	0	0.94181	0.99775	100	0.99907	100	0.99587	100	0.81801	114	0.7686	55	0.71968	111	0.99756	100	0.76877	93.3333	2060	1666	756	2060	1666	756	1494	1494	19542073180	2572329976	6133938112	26792398	5040280	5808011	9416113756	12546896.3333	0.48305	0.59377	1.0327	-1.5803	-1.4466	0.60902	0.70319	-0.80597	m0002	s01	m16	n03
229858.943	201392.596	49897.9277	484814.8173	139244.4213	118132.8561	160383.1556	247397.3649	18218.5609	14147.4486	15678.4868	20508.0029	13795.4611	9389.9151	16014.8321	14564.4597	-343.4343	-278.7879	-468.6869	-1024.2424	-612.1212	1373.7374	-363.6364	-87.5421	0	0	0	0.97095	0.95804	0.95804	0	0.96234	0.99649	100	0.99857	100	0.99545	100	0.79898	113	0.63073	85	0.69324	72	0.99684	100	0.70765	90	2060	1666	946	2060	1666	946	1557.3333	1557.3333	19463704024	2461582436	6089782324	49077643	15078649	13486735	9338356261.3333	25881009	0.27022	0.057638	-0.058477	-0.81917	-0.16377	0.18489	0.089792	-0.26602	m0002	s01	m16	n03
101541.7778	134048.861	50871.2481	303300.1021	165468.9304	121071.259	95487.2956	196613.4305	15932.5852	14785.4693	16663.7088	22236.3157	15884.0623	9848.5091	15793.9211	15989.629	2254.5455	-1838.3838	282.8283	-296.9697	-3092.9293	1268.6869	232.9966	-707.0707	0	0	0	0.88129	0.99885	0.58424	0	0.82146	0.99714	100	0.99916	100	0.99728	100	0.60283	124	0.74445	81	0.70445	28	0.99786	100	0.68391	77.6667	1444	1678	970	1444	1678	970	1364	1364	19786849536	2603816164	5959658676	47610475	17018707	28668378	9450108125.3333	31099186.6667	1.1514	0.0029528	-0.59848	-0.016474	-0.3497	-0.42754	0.18529	-0.26457	m0002	s01	m16	n03
230233.4945	218110.6566	64457.3782	764216.7519	453457.606	128758.1878	170933.8431	448810.8486	24150.3372	17404.423	16375.6903	36111.4437	20523.8172	10835.0162	19310.1502	22490.0923	-343.4343	1802.0202	1171.7172	3220.202	2094.9495	-470.7071	876.7677	1614.8148	0	0	0	0.9765	0.86872	0.76017	0	0.86846	0.99416	100	0.99882	100	0.99688	100	0.49681	134	0.51465	83	0.37886	189	0.99662	100	0.46344	135.3333	1978	2074	916	1978	2074	916	1656	1656	19994078988	2553795996	5713670052	77571254	54533949	24767843	9420515012	52291015.3333	0.80721	0.92438	0.076808	-0.21598	-0.87625	-0.21741	0.6028	-0.43654	m0002	s01	m16	n03
234385.8954	163981.2137	56455.164	721191.2399	633072.6726	64992.7955	151607.4244	473085.5693	22412.7669	16604.4414	16011.3596	33221.7222	17834.7861	9345.879	18342.856	20134.1291	-2876.7677	1995.9596	1078.7879	-70.7071	4741.4141	28.2828	65.9933	1566.33	0	0	0	0.98959	0.88129	0.92482	0	0.9319	0.99496	100	0.9986	100	0.99742	100	0.72892	189	0.59043	117	0.51008	146	0.99699	100	0.60981	150.6667	1978	1588	892	1978	1588	892	1486	1486	20244214844	2404237376	5542050236	77442155	62808957	8003043	9396834152	49418051.6667	0.89926	1.4224	-0.52547	-0.17471	-1.2824	-0.51835	0.59873	-0.65849	m0002	s01	m16	n03
69944.6057	156759.1208	85485.6448	311174.0691	75978.3308	64987.286	104063.1238	150713.2286	12824.0935	12637.2865	14463.9433	13669.1646	6490.1479	7724.2109	13308.4411	9294.5078	1882.8283	-941.4141	-2028.2828	-3256.5657	-1397.9798	-967.6768	-362.2896	-1874.0741	0	0	0	0.99538	0.40218	0.9648	0	0.78745	0.99618	100	0.99866	100	0.99744	100	0.44251	53	0.57382	53	0.70887	99	0.99743	100	0.57506	68.3333	1182	1398	1124	1182	1398	1124	1234.6667	1234.6667	20381689212	2396490696	5709528508	31125006	23136207	7974567	9495902805.3333	20745260	0.21466	0.52092	-0.5358	0.55375	0.14054	-0.18912	0.066591	0.16839	m0002	s01	m16	n03
127091.3131	361963.0784	152976.2828	381058.1313	88221.4759	104914.9329	214010.2248	191398.18	17518.9133	15712.5698	16244.4956	13217.6955	9338.2238	7433.6391	16491.9929	9996.5195	1357.5758	913.1313	-1042.4242	-1214.1414	-1482.8283	-723.2323	409.4276	-1140.0673	0	0	0	0.68008	0.93407	0.94268	0	0.85228	0.99176	100	0.99801	100	0.99509	100	0.28113	61	0.72017	38	0.40083	193	0.99496	100	0.46737	97.3333	1268	2236	1602	1268	2236	1602	1702	1702	19627144744	2274240764	6143842448	71888780	11837513	10682732	9348409318.6667	31469675	0.18185	0.13586	-0.60123	-0.23283	0.43595	0.30763	-0.094507	0.17025	m0002	s01	m16	n03
351740.8238	485407.7172	205539.8186	1175700.3049	170516.587	64784.0577	347562.7865	470333.6499	24430.8796	20307.6141	18459.062	36421.4445	15662.7332	10246.8325	21065.8519	20777.0034	-1204.0404	921.2121	610.101	2216.1616	1644.4444	46.4646	109.0909	1302.3569	0	0	0	0.76017	0.99277	0.72193	0	0.82496	0.98543	100	0.99675	100	0.99124	100	0.44323	106	0.832	128	0.41135	124	0.99114	100	0.56219	119.3333	2212	2376	1750	2212	2376	1750	2112.6667	2112.6667	19878108644	2209003560	6082746052	144866159	16914741	10483121	9389952752	57421340.3333	-0.96776	-0.091208	-0.43461	1.1474	-0.81459	0.52964	-0.49786	0.28749	m0002	s01	m16	n03
