AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
6504.7802	154633.7309	27559.6865	4152.9495	3729.2582	1514.2057	62899.3992	3132.1378	9985.363	11147.5685	13235.3979	2474.5982	2513.3984	708.6764	11456.1098	1898.891	210.101	-2282.8283	711.1111	-258.5859	159.596	-200	-453.8721	-99.6633	0	0.86872	0	0.72193	0.24229	0.63431	0.28957	0.53284	0.913	34	-0.093137	199	0.057508	58	0.74431	127	0.3786	29	0.36618	13	0.29246	97	0.49636	56.3333	358	1342	598	358	1342	598	766	766	24854986260	22549144	2330289136	795542	1089658	249636	9069274846.6667	711612	-0.21143	-1	-0.52462	-0.04746	-0.377	-1.0121	-0.5787	-0.47886	m0002	s01	m18	n02
8798.5758	349207.5228	16631.2743	8072.7211	4679.5943	3348.5991	124879.1243	5366.9715	10223.5221	12043.6915	12594.6918	2720.6654	2868.7801	1003.4285	11620.6351	2197.6246	266.6667	-3321.2121	315.1515	-379.798	288.8889	-452.5253	-913.1313	-181.1448	0	0.40218	0	0.40218	0.86872	0.92482	0.13406	0.73191	0.96387	67	-0.095735	199	0.23375	8	0.56338	126	0.88893	98	0.71574	39	0.36729	91.3333	0.72268	87.6667	396	2114	510	396	2114	510	1006.6667	1006.6667	24589933540	140698628	2377507048	2057859	511504	451435	9036046405.3333	1006932.6667	-0.097904	0.47	-0.18109	-0.67622	0.71283	-0.32007	0.063669	-0.094488	m0002	s01	m18	n02
497491.3535	1791881.8016	76176.5378	72562.8132	52120.562	11199.5592	788516.5643	45294.3115	25474.9154	26379.8821	22712.6806	6454.9722	8655.1439	2900.2264	24855.826	6003.4475	-3874.7475	3365.6566	-274.7475	632.3232	48.4848	-355.5556	-261.2795	108.4175	0	0.85545	0	0.82675	0.99885	0	0.28515	0.60853	0.82652	134	-0.094289	1	0.42158	172	0.58272	24	0.93681	57	0.61893	11	0.3846	102.3333	0.71282	30.6667	3618	4520	1364	3618	4520	1364	3167.3333	3167.3333	24594740544	224398292	2453101124	7679757	5172168	2862262	9090746653.3333	5238062.3333	-0.69094	1.2083	1.6263	1.196	-0.70428	-0.95836	0.71455	-0.15554	m0002	s01	m18	n02
625091.2077	1317847.0347	316883.657	87154.1592	52612.9571	35038.292	753273.9665	58268.4694	34231.1336	32080.1773	29489.4742	7474.8332	9105.1545	4507.8159	31933.595	7029.2679	206.0606	2347.4747	-319.1919	1248.4848	-191.9192	163.6364	744.7811	406.734	0	0.99885	0	0.92482	0.86872	0.86872	0.33295	0.88742	0.53065	182	-0.10067	1	0.52269	124	0.59856	173	0.83325	70	0.43536	128	0.31755	102.3333	0.62239	123.6667	3618	4346	2592	3618	4346	2592	3518.6667	3518.6667	24926821700	134217276	2151845044	9958132	5392295	3744731	9070961340	6365052.6667	-0.40064	0.19462	0.019976	-0.27108	-1.0781	0.16283	-0.062014	-0.39544	m0002	s01	m18	n02
199974.101	676339.1754	154156.5253	111618.3712	10560.5142	15746.4254	343489.9339	45975.1036	27236.9327	23600.6163	27096.1476	5727.9749	4638.5299	3706.6688	25977.8989	4691.0579	2787.8788	-1894.9495	278.7879	-1337.3737	-145.4545	377.7778	390.5724	-368.3502	0	0.79504	0	0.9974	0.60984	0.98145	0.26501	0.8629	0.75662	51	-0.11042	199	0.36339	34	0.76807	64	0.59102	127	0.78567	156	0.33653	94.6667	0.71492	115.6667	2232	3406	1706	2232	3406	1706	2448	2448	25187081600	80104004	1714349896	11265979	2046091	1574099	8993845166.6667	4962056.3333	-0.83802	0.83554	0.41661	-0.16821	0.19465	0.97271	0.13804	0.33305	m0002	s01	m18	n02
178761.8081	129653.6566	118671.0707	31669.2489	24635.9849	3620.7879	142362.1785	19975.3406	16496.2438	15732.9738	20329.0507	4494.5309	3514.9321	2069.9876	17519.4228	3359.8168	-1850.5051	-2177.7778	-602.0202	-1169.697	-262.6263	280.8081	-1543.4343	-383.8384	0	0	0	0.36592	0.9765	0.81128	0	0.7179	0.95091	100	-0.10411	1	-0.10411	1	0.61465	68	0.66797	54	0.49607	187	0.24756	34	0.5929	103	1408	1358	1556	1408	1358	1556	1440.6667	1440.6667	25357561644	120248208	1779614552	10804832	2438963	728122	9085808134.6667	4657305.6667	0.041643	-0.67558	0.24229	0.43575	0.59545	-0.13719	-0.13055	0.298	m0002	s01	m18	n02
144471.3228	104248.6238	21716.3358	13641.5248	2834.9697	7988.991	90145.4275	8155.1619	13226.9086	11034.1252	13384.7493	2383.3598	1990.7869	1830.3833	12548.5944	2068.1767	432.3232	-2230.303	-1373.7374	838.3838	-127.2727	-210.101	-1057.2391	167.0034	0	0	0	0.24229	0.24229	0.9974	0	0.494	0.9699	100	-0.093329	1	-0.093329	1	0.80973	118	0.4537	116	0.60611	155	0.26108	34	0.62318	129.6667	1302	1204	680	1302	1204	680	1062	1062	25011556928	164001264	1860846196	3927178	1288678	799319	9012134796	2005058.3333	-0.73431	-0.22514	0.2753	-0.24777	-0.2808	0.0077471	-0.22805	-0.17361	m0002	s01	m18	n02
50363.9479	44483.7863	46808.6994	2882.7176	2216.2759	4382.3232	47218.8112	3160.4389	10649.5317	9513.4142	13837.8488	1578.3894	1776.7295	1270.9656	11333.5983	1542.0282	2529.2929	185.8586	1066.6667	630.303	-260.6061	101.0101	1260.6061	156.9024	0	0	0	0.36592	0.24229	0.93407	0	0.51409	0.99026	100	-0.1023	199	-0.1023	199	0.76772	60	0.33197	56	0.11917	82	0.26189	166	0.40629	66	1252	820	1026	1252	820	1026	1032.6667	1032.6667	24733995252	218598828	1955852652	603034	869531	506750	8969482244	659771.6667	-0.64035	0.43521	0.67166	-1.7252	0.21907	-0.12964	0.1555	-0.54526	m0002	s01	m18	n02
76849.3107	174033.1701	142146.7329	148949.7576	11106.3308	7864.7955	131009.7379	55973.6279	14291.3409	15538.3397	22043.1899	5077.6197	5066.5869	2321.2675	17290.9568	4155.1581	-860.6061	-109.0909	638.3838	1137.3737	145.4545	420.202	-110.4377	567.6768	0	0	0	0.9974	0	0.99885	0	0.66542	0.95648	100	-0.088251	199	-0.088251	199	0.83566	39	0.6067	44	0.73626	35	0.25999	166	0.72621	39.3333	1180	1858	1584	1180	1858	1584	1540.6667	1540.6667	24969459328	204109120	2245576752	23650282	3174567	816835	9139715066.6667	9213894.6667	0.43826	1.2397	0.8131	0.45546	-1.2386	-0.71744	0.83036	-0.50019	m0002	s01	m18	n02
74084.3131	370867.6186	146085.9701	37015.4161	10425.2541	20707.9413	197012.6339	22716.2038	17457.2262	22349.2933	23087.4665	6193.2188	5632.5174	2709.8772	20964.662	4845.2045	-1078.7879	3240.404	-391.9192	789.899	177.7778	414.1414	589.899	460.6061	0	0.43647	0	0	0.14144	0.85545	0.14549	0.3323	0.8825	119	-0.10062	1	0.17415	197	-0.045757	1	0.7702	29	0.47929	165	0.31868	105.6667	0.40124	65	1180	2170	1580	1180	2170	1580	1643.3333	1643.3333	25220645716	104159408	2302515800	47965531	3615192	2351597	9209106974.6667	17977440	0.57203	-0.12343	0.38678	-1.0263	-0.96316	-0.16963	0.27846	-0.71971	m0002	s01	m18	n02
69837.4949	538055.4097	480068.362	96773.3466	26622.1515	20179.8662	362653.7556	47858.4547	16847.9355	25902.3808	22330.3028	6024.529	4822.3386	1914.3266	21693.5397	4253.7314	1567.6768	1098.9899	537.3737	-1333.3333	1002.0202	739.3939	1068.0135	136.0269	0	0.95067	0	0.55744	0.82675	0	0.31689	0.46139	0.67809	14	-0.084784	199	-0.084784	199	0.78745	11	0.89888	59	0.295	119	0.16951	137.3333	0.66044	63	992	2752	2460	992	2752	2460	2068	2068	24862328248	63166060	2605822704	29639315	2688954	9388049	9177105670.6667	13905439.3333	-0.17259	-0.30007	0.62222	-0.80017	1.7429	-0.16412	0.049851	0.25953	m0002	s01	m18	n02
77222.4141	565158.2752	557463.6651	93199.1923	27618.987	24697.5292	399948.1181	48505.2362	19168.2397	24203.0134	26244.4761	6249.4606	5728.116	2461.0912	23205.2431	4812.8893	1987.8788	-1256.5657	266.6667	-1529.2929	-286.8687	-478.7879	332.6599	-764.9832	0	0.85545	0	0.95067	0.88129	0	0.28515	0.61065	0.81934	65	-0.097896	199	0.37692	33	0.68871	60	0.57243	73	0.72558	123	0.36612	99	0.66224	85.3333	1338	2752	2594	1338	2752	2594	2228	2228	24098720388	75687364	2525815692	9305906	3709041	10549895	8900074481.3333	7854947.3333	0.57461	0.10109	0.64814	0.42891	0.93123	-0.30192	0.44128	0.35274	m0002	s01	m18	n02
220214.7879	178618.9653	141945.8166	11425.7829	58958.4408	15039.8541	180259.8566	28474.6926	23218.6619	19083.5695	21542.7974	4504.4983	7167.8575	2380.9853	21281.6763	4684.447	-1090.9091	848.4848	593.9394	-418.1818	-709.0909	-725.2525	117.1717	-617.5084	0	0	0	0	0.90438	0	0	0.30146	0.87443	100	-0.099494	199	-0.099494	199	0.43192	54	-0.079558	1	0.73695	169	0.22515	166	0.36311	74.6667	1962	1596	1564	1962	1596	1564	1707.3333	1707.3333	24366538048	73427420	2237212856	10613241	5841870	3321720	8892392774.6667	6592277	-0.39826	-0.45343	0.095749	0.71487	-0.96574	1.6523	-0.25198	0.46714	m0002	s01	m18	n02
259028.6949	167287.0761	80775.6687	3915.2774	63457.6889	2617.1192	169030.4799	23330.0285	24306.9263	17258.5567	15728.2478	2692.2385	7665.4588	1349.8971	19097.9102	3902.5315	-3496.2963	-837.037	-1911.1111	11.1111	1307.4074	400	-2081.4815	572.8395	0	0	0	0	0.99976	0	0	0.33325	0.914	48	-0.12838	1	-0.12838	1	0.92764	95	-0.043376	109	0.37911	81	0.21908	16.6667	0.42112	95	1962	1570	1064	1962	1570	1064	1532	1532	13697017732	39385796	1346085688	6986778	3948487	614419	5027496405.3333	3849894.6667	0.00043203	-0.82546	0.48943	-0.47494	-0.9355	-0.53463	-0.11186	-0.64836	m0002	s01	m18	n02
