AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
34569877.2803	11081238.8024	23503610.2828	58580170.8965	84685921.3207	3481197.9122	23051575.4552	48915763.3765	168039.8474	166226.7139	262724.8074	329881.5845	288246.9669	75108.7589	198997.1229	231079.1034	19654.5455	-319.1919	-3836.3636	-6636.3636	-9993.9394	-1319.1919	5166.33	-5983.165	0	0.99885	0.77801	0.99538	0.32744	0.98959	0.59229	0.7708	0.14335	29	-0.050325	1	0.69051	97	0.27152	38	0.69892	86	0.38399	21	0.26118	42.3333	0.45148	48.3333	22896	15680	22040	22896	15680	22040	20205.3333	20205.3333	31680532153	1176459256	3029637518	6158179459	21427487683	349064147	11962209642.3333	9311577096.3333	-0.27951	1.553	-0.17406	-0.63739	0.51726	-0.19271	0.36648	-0.10428	m0003	s01	m04	n06
40251874.7778	11143485.4363	57893215.6865	52389868.8178	164998317.3611	4452851.0448	36429525.3002	73947012.4079	158845.4938	170702.5448	258198.0267	345486.518	269849.5518	93136.0057	195915.3551	236157.3585	14727.2727	10591.9192	3468.6869	24662.6263	-55547.4747	361.6162	9595.9596	-10174.4108	0	0.81128	0.98582	0.81128	0.98959	0.98582	0.59903	0.92889	-0.0019504	195	0.73866	33	0.30905	141	0.51092	179	0.71899	86	0.54598	69	0.34859	123	0.59196	111.3333	22384	15680	30176	22384	15680	30176	22746.6667	22746.6667	28891141092	1734425459	6030898300	6055360848	17420239389	446990592	12218821617	7974196943	-0.25143	0.53873	-0.34832	-0.48809	0.79457	-0.27991	-0.02034	0.008856	m0003	s01	m04	n06
19333342.3196	7397814.8885	59763959.4105	24835244.351	13986215.593	3385161.2803	28831705.5395	14068873.7414	135630.4411	162799.7543	225544.3677	342028.1872	205038.3004	89367.8812	174658.1877	212144.7896	-16959.596	747.4747	4626.2626	-4480.8081	5870.7071	1191.9192	-3861.9529	860.6061	0	0.77801	0.98145	0.98959	0.2864	0.95804	0.58649	0.74468	0.20194	24	0.63255	160	0.59179	165	0.44711	188	0.50343	38	0.69167	42	0.47543	116.3333	0.5474	89.3333	17298	10663	27949	17298	10663	27949	18636.6667	18636.6667	29743113474	1101400090	5984210246	2461873631	4534909149	460783857	12276241270	2485855545.6667	0.33046	-0.40236	-0.64848	0.20378	-0.30074	-0.12692	-0.24013	-0.074624	m0003	s01	m04	n06
5115550.7863	4247791.3855	8938263.4178	21720634.6905	5220131.7829	2328922.9495	6100535.1965	9756563.141	103631.7704	130215.8984	161794.1615	297941.7528	139233.8531	63040.3462	131880.6101	166738.6507	9331.3131	-2650.5051	9226.2626	-33256.5657	-1428.2828	2729.2929	5302.3569	-10651.8519	0	0.98582	0.43647	0.99538	0.2864	0.84146	0.47409	0.70775	0.46064	67	0.21218	192	0.23922	187	0.58895	165	0.72809	163	0.74157	144	0.30401	148.6667	0.6862	157.3333	10825	9581	16298	10825	9581	16298	12234.6667	12234.6667	27550110468	422818096	2480555016	2158094604	2699616855	332169772	10151161193.3333	1729960410.3333	-0.8103	0.6575	-1.0107	0.38525	0.26356	-0.53652	-0.38783	0.03743	m0003	s01	m04	n06
596540.0302	1396627.5026	3485257.1212	10569827.2117	1821416.964	557127.1802	1826141.5513	4316123.7853	38936.5347	52655.5454	56728.6755	114754.0646	62316.4326	27545.7672	49440.2519	68205.4215	-688.8889	591.9192	3872.7273	11919.1919	-1513.1313	828.2828	1258.5859	3744.7811	0	0.99971	0	0.99538	0	0.98582	0.33324	0.6604	0.42128	153	-0.090203	199	0.37425	17	0.63632	62	0.81308	132	0.66575	170	0.23511	123	0.70505	121.3333	3194	4773	6177	3194	4773	6177	4714.6667	4714.6667	25689498507	141645102	2880263656	1070326950	2600802842	55260956	9570469088.3333	1242130249.3333	-0.31928	0.14946	0.30375	-0.21846	-0.43788	-0.051875	0.044642	-0.23607	m0003	s01	m04	n06
377404.1935	910777.3519	2651379.9673	5338459.1616	5539817.3829	162038.8804	1313187.1709	3680105.1416	23621.2881	33429.7333	41757.0656	59300.3824	46821.3713	18465.7368	32936.029	41529.1635	4428.2828	-268.6869	10727.2727	7230.303	5402.0202	-650.5051	4962.2896	3993.9394	0	0.6577	0	0.89317	0	0.76017	0.21923	0.55111	-0.10564	1	-0.045983	199	0.67234	134	0.080696	12	0.64928	74	-0.031361	1	0.17357	111.3333	0.23287	29	2857	4029	5687	2857	4029	5687	4191	4191	23602007676	153534926	5444787556	736184378	1584296835	27346238	9733443386	782609150.3333	-0.73095	-0.85598	-0.99798	-0.079567	-0.6707	-0.37743	-0.86164	-0.3759	m0003	s01	m04	n06
152936.4342	64022.111	668519.1717	452391.4217	509331.564	119496.9716	295159.239	360406.6525	15353.9387	18981.9053	30270.3375	39714.2216	20585.157	9921.2047	21535.3938	23406.8611	2050.5051	157.5758	2941.4141	-7797.9798	5903.0303	-1096.9697	1716.4983	-997.3064	0	0	0	0.82675	0.85545	0.95067	0	0.87762	-0.093051	199	-0.080996	199	0.98225	100	0.41698	197	0.74335	139	0.62392	171	0.2694	166	0.59475	169	1703	1288	3762	1703	1288	3762	2251	2251	22946155321	199411993	6325841322	66451121	86961014	13920827	9823802878.6667	55777654	-0.68143	-1.2441	-1.2736	1.5394	-0.31731	0.2286	-1.0664	0.48355	m0003	s01	m04	n06
350966.4924	263455.0322	935913.4772	6720654.9378	633211.3438	597193.0379	516778.3339	2650353.1065	33179.8466	35164.9389	43558.2925	73476.2244	58547.9584	13967.5237	37301.026	48663.9022	2402.0202	-2476.7677	276.7677	-11220.202	3648.4848	3636.3636	67.3401	-1311.7845	0	0	0	0.98582	0.99971	0.99885	0	0.99479	-0.0035613	1	-0.10161	199	0.91114	92	0.58786	107	0.94299	19	0.65201	49	0.26866	97.3333	0.72762	58.3333	2675	2445	3337	2675	2445	3337	2819	2819	21766959825	213199825	7218986624	911063004	64888992	66903421	9733048758	347618472.3333	0.30547	-0.39796	0.82032	-0.86862	-1.5188	1.5336	0.24261	-0.2846	m0003	s01	m04	n06
1263849.3142	2732939.1389	2505364.3292	31476293.1187	3870752.4408	1284124.2233	2167384.2608	12210389.9276	48164.2476	62588.9395	51162.6403	142680.7894	78964.1192	29860.8152	53971.9425	83835.2413	-719.1919	-52.5253	-1602.0202	16678.7879	2612.1212	58.5859	-791.2458	6449.8316	0	0.70147	0	0.60984	0.93407	0.74148	0.23382	0.7618	-0.065994	1	-0.087465	1	0.50535	53	0.21889	126	0.12551	155	0.80778	122	0.1173	18.3333	0.38406	134.3333	4286	7759	5387	4286	7759	5387	5810.6667	5810.6667	22298802891	365691737	6765024907	4813634219	488689716	243947647	9809839845	1848757194	-0.96165	-0.079671	-0.22865	0.025781	0.30961	0.61295	-0.42332	0.31611	m0003	s01	m04	n06
1050451.3754	3404495.4671	1500559.9067	59454811.063	3701499.7353	1707435.9332	1985168.9164	21621248.9105	41566.1138	61833.0401	49288.6407	187254.5699	68601.122	39311.2316	50895.9315	98388.9745	-5646.4646	305.0505	-6519.1919	6456.5657	12913.1313	-2218.1818	-3953.5354	5717.1717	0	0.9974	0	0.98582	0.32744	0.72193	0.33247	0.6784	0.36381	184	-0.077997	1	0.41478	186	0.33899	126	0.71676	138	0.71224	172	0.23353	123.6667	0.58933	145.3333	3886	7759	4569	3886	7759	4569	5404.6667	5404.6667	25024658310	339564890	5046903570	6034442038	1568533649	266909585	10137042256.6667	2623295090.6667	0.37528	0.62033	0.52611	-0.06252	-0.50185	-0.021673	0.50724	-0.19535	m0003	s01	m04	n06
