AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
32769.8925	246182.8945	363441.4545	8029498.9592	176167.4645	225797.3207	214131.4139	2810487.9148	11771.2198	19023.8553	15312.6606	41407.2994	11827.1217	7599.9468	15369.2453	20278.1227	-828.2828	452.5253	2492.9293	16955.5556	-14.1414	3082.8283	705.7239	6674.7475	0	0.68008	0.92482	0.70147	0.24229	0.77801	0.53497	0.57392	0.0020868	199	0.27951	187	0.82384	50	0.86463	108	0.92666	96	0.95942	46	0.36848	145.3333	0.9169	83.3333	840	2290	2102	840	2290	2102	1744	1744	28163171824	33067528	50573104	1414193576	73165311	31047587	9415604152	506135491.3333	-0.091586	0.21544	-0.014872	0.81877	-0.44855	1.0872	0.036328	0.48581	m0008	s01	m08	n03
90506.1313	1314974.6408	509830.7956	20441718.6516	1103104.6338	790634.288	638437.1892	7445152.5245	14026.9294	20906.5646	17036.2893	46968.5431	12138.2441	8596.5932	17323.2611	22567.7935	355.5556	4953.5354	-642.4242	24474.7475	-3561.6162	3701.0101	1555.5556	8204.7138	0	0.52936	0.97095	0	1	0	0.5001	0.33333	0.12168	189	0.43807	29	0.8468	150	0.64908	156	0.98622	97	0.90722	47	0.46885	122.6667	0.84751	100	1268	3822	2378	1268	3822	2378	2489.3333	2489.3333	28127890076	267737856	57380684	8617283827	109222121	286373615	9484336205.3333	3004293187.6667	0.026635	0.067009	-0.079071	-0.22676	-0.2678	-0.24053	0.0048575	-0.24503	m0008	s01	m08	n03
187113.7713	2177826.2865	1502544.7273	9794199.1087	480668.1999	549298.8496	1289161.595	3608055.3861	14476.2292	21747.049	18295.3988	49991.6114	16370.7919	11173.598	18172.8923	25845.3338	1131.3131	-1058.5859	-7301.0101	3090.9091	-4890.9091	-2181.8182	-2409.4276	-1327.2727	0	0.85545	0.58424	0	0.40218	0	0.4799	0.13406	0.31744	25	0.91948	35	0.19778	155	-0.0037281	199	0.96182	135	-0.033959	1	0.47823	71.6667	0.30804	111.6667	1594	4552	3842	1594	4552	3842	3329.3333	3329.3333	27039571672	313302212	305502328	20273060106	133035839	313213983	9219458737.3333	6906436642.6667	-0.71409	-0.37983	-0.50839	-0.057452	-0.31676	-0.30648	-0.5341	-0.2269	m0008	s01	m08	n03
204943.3289	1291603.4016	658386.2832	22273853.1591	762814.452	535219.1519	718311.0046	7857295.5877	16584.33	25919.8454	17817.1634	48205.9764	15676.1544	11255.5082	20107.1129	25045.8797	1644.4444	-8218.1818	-1773.7374	-24644.4444	-1872.7273	-4777.7778	-2782.4916	-10431.6498	0	0.9765	0	0	0.40218	0.98145	0.3255	0.46121	0.36831	8	0.95197	91	0.16977	176	-0.04977	199	0.86629	141	0.25547	34	0.49668	91.6667	0.35733	124.6667	1980	4068	2756	1980	4068	2756	2934.6667	2934.6667	26990534156	130718756	610001196	16069114233	299275353	64420562	9243751369.3333	5477603382.6667	-0.92592	-0.26276	0.32096	0.13437	0.46139	0.4614	-0.28924	0.35239	m0008	s01	m08	n03
475368.7188	1523150.9798	4371679.7576	16376953.101	1460966.2961	749996.7677	2123399.8187	6195972.0549	22331.2075	23803.9467	20795.7261	54767.3131	12465.9212	10145.5867	22310.2934	25792.9403	1494.9495	-1167.6768	10157.5758	-3951.5152	7634.3434	-6563.6364	3494.9495	-960.2694	0	0.99885	0.9648	0.77801	0.81128	0.40218	0.65455	0.66382	0.69028	59	0.79832	150	0.74447	144	0.21361	16	0.063948	196	0.90627	27	0.74436	117.6667	0.39461	79.6667	2432	3850	5736	2432	3850	5736	4006	4006	27652152948	163119068	468748312	3618782606	276052081	150987280	9428006776	1348607322.3333	-0.08496	-0.1392	0.24486	-0.29188	0.6022	-0.89675	0.0068982	-0.19547	m0008	s01	m08	n03
494929.8792	824402.943	972363.0299	13835718.2198	777490.2723	576027.0355	763898.6174	5063078.5092	20388.0337	20537.6619	21656.1186	59309.2665	14138.0638	11887.1971	20860.6048	28444.8425	-3292.9293	2682.8283	1713.1313	6789.899	3597.9798	-224.2424	367.6768	3387.8788	0	0.49992	0.63431	0.77801	0.95804	0	0.37808	0.57868	0.86066	106	0.19037	192	0.19474	191	0.73829	107	0.092864	29	0.39766	46	0.41526	163	0.40961	60.6667	2432	3084	3676	2432	3084	3676	3064	3064	27637742980	295091368	185941052	2881141682	79205964	272068371	9372925133.3333	1077472005.6667	-0.0027881	0.69113	-0.18469	-0.11025	-0.45306	-0.17932	0.16789	-0.24755	m0008	s01	m08	n03
193502.5855	527332.3248	802475.4242	11510234.0808	813002.0671	1638234.4868	507770.1115	4653823.5449	14746.0113	19940.0313	17157.1465	47378.894	14050.7594	12205.2315	17281.063	24544.9616	-2795.9596	1430.303	-4040.404	-18759.596	-3442.4242	6563.6364	-1802.0202	-5212.7946	0	0	0.99277	0.70147	0.9648	0.99538	0.33092	0.88722	0.94122	124	0.70157	49	0.74227	51	0.58386	149	0.58248	183	0.80063	167	0.79502	74.6667	0.65566	166.3333	1654	2528	3104	1654	2528	3104	2428.6667	2428.6667	28367681004	273239536	81035188	3023420390	85302596	172483537	9573985242.6667	1093735507.6667	0.76912	0.090817	0.41508	-0.15076	0.32658	-0.24623	0.42501	-0.023467	m0008	s01	m08	n03
87419.7592	739706.0505	183583.7943	6170924.7736	857571.947	334121.2601	336903.2013	2454205.9936	13634.7151	16024.0728	15309.0717	34693.0902	13055.0041	9162.9028	14989.2865	18970.3323	981.8182	2064.6465	173.7374	-11252.5253	1773.7374	113.1313	1073.4007	-3121.8855	0	0.99971	0.43647	0.99885	0.98959	0.90438	0.47873	0.96427	0.89256	173	0.92194	159	0.85511	94	0.68571	127	0.78229	77	0.89846	154	0.88987	142	0.78882	119.3333	998	2894	1472	998	2894	1472	1788	1788	28358054336	90578124	48308308	710081325	87633685	47827445	9498980256	281847485	-0.22274	-0.68032	-0.4092	1.4776	0.11083	0.14497	-0.43742	0.57781	m0008	s01	m08	n03
28344.6238	82646.8283	35341.6259	388400.5183	331418.2201	136861.1243	48777.6927	285559.9542	11596.0286	10554.5624	14617.3275	15126.5503	10088.6174	5338.2175	12255.9728	10184.4618	1155.5556	-129.2929	-428.2828	1860.6061	-303.0303	397.9798	199.3266	651.8519	0	0.98959	0.43647	0.94268	0.95804	0.94268	0.47535	0.9478	0.43774	43	0.87456	55	Inf	1	0.7336	114	0.81618	68	0.84959	52	Inf	33	0.79979	78	870	1066	732	870	1066	732	889.3333	889.3333	27630830720	8625592	14689184	38872463	40477211	15932261	9218048498.6667	31760645	-1.2782	0.45065	0.51896	0.29214	0.38164	-0.0061344	-0.10288	0.22255	m0008	s01	m08	n03
7088.9762	46580.2549	26635.6117	203308.9757	112382.7534	105602.6338	26768.2809	140431.4543	8999.8429	10295.6694	13464.3262	10698.4375	7668.9061	5398.0168	10919.9462	7921.7868	149.4949	533.3333	622.2222	-1074.7475	-1191.9192	60.6061	435.0168	-735.3535	0	0.9765	0	0.95067	0.91493	0.72193	0.3255	0.86251	0.57775	159	0.96223	122	0.6009	67	0.86718	100	0.46082	45	0.43084	40	0.71363	116	0.58628	61.6667	348	752	600	348	752	600	566.6667	566.6667	27538643968	4619084	16972236	20374697	12782519	21546891	9186745096	18234702.3333	0.78367	0.1996	0.43069	0.75508	0.83742	-0.54564	0.47132	0.34895	m0008	s01	m08	n03
