AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
23316.0707	50332.0824	45477.0925	1037282.0913	101830.8359	164644.3373	39708.4152	434585.7548	21473.9683	14182.1911	15938.4168	19422.896	3644.6723	8188.3386	17198.1921	10418.6356	-480.8081	-509.0909	2008.0808	74.7475	-1553.5354	-3539.3939	339.3939	-1672.7273	0	0	0	0.99885	0	0.63431	0	0.54439	0.99515	100	0.99697	100	0.9931	100	0.63451	100	0.70155	73	0.33573	6	0.99507	100	0.55726	59.6667	656	748	1248	656	748	1248	884	884	27324084140	479909008	757609504	122170792	93849509	29102589	9520534217.3333	81707630	0.25389	-0.57633	2.2496	-1.0522	-0.25025	-1.2714	0.6424	-0.85794	m0001	s01	m05	n04
245381.7147	312316.0772	210075.5438	4453210.406	249503.1248	1647966.4827	255924.4453	2116893.3378	28338.7018	19322.1284	16793.3609	38925.3832	8085.5277	20292.5572	21484.7304	22434.4894	1903.0303	-2646.4646	840.404	-6985.8586	-1266.6667	2466.6667	32.3232	-1928.6195	0	0	0	0.6577	0	0.90438	0	0.5207	0.97756	100	0.98328	100	0.93498	100	0.8593	106	0.63354	12	0.073046	131	0.96527	100	0.52196	83	2194	1790	1346	2194	1790	1346	1776.6667	1776.6667	26709736896	815513004	544081404	964174631	296647294	210605625	9356443768	490475850	1.3154	-0.17562	0.056209	-0.38475	-0.17699	0.64481	0.39868	0.027688	m0001	s01	m05	n04
1258161.2166	251527.0703	97027.1111	5859268.2759	1530500.8157	1499297.0783	535571.7993	2963022.0566	36153.7905	21513.294	16090.4012	41887.2271	12632.1539	24051.6616	24585.8285	26190.3476	-6715.1515	795.9596	2250.5051	6670.7071	6664.6465	1527.2727	-1222.8956	4954.2088	0	0	0	0.72193	0.74148	0.72193	0	0.72845	0.97656	100	0.97969	103	0.9863	100	0.89787	109	0.5731	160	0.78017	156	0.98085	101	0.75038	141.6667	4850	1786	1532	4850	1786	1532	2722.6667	2722.6667	27177109908	994613236	381555480	954439751	257413971	225615421	9517759541.3333	479156381	-1.1451	0.94343	0.82643	-0.16448	0.58864	0.40525	0.20826	0.27647	m0001	s01	m05	n04
3891276.1923	1999187.3632	380359.6509	18873286.6742	1742347.6302	639530.3171	2090274.4022	7085054.8738	46851.6679	26721.852	24941.2724	57901.7768	12677.1408	23525.4086	32838.2641	31368.1087	-2622.2222	3947.4747	1284.8485	11127.2727	8147.4747	-4165.6566	870.0337	5036.3636	0	0.70147	0.080793	0.94268	0.86872	0.95067	0.26075	0.92069	0.96721	144	0.89461	100	0.90205	100	0.94336	100	0.55927	152	0.57414	156	0.92129	114.6667	0.69226	136	6608	4394	2546	6608	4394	2546	4516	4516	30088517936	496338264	275382664	2981711971	316178187	65527943	10286746288	1121139367	-0.61214	0.19852	0.57071	0.37463	-0.43654	-0.46774	0.052363	-0.17655	m0001	s01	m05	n04
5183083.7156	658921.4319	1844597.3248	22867084.7673	1887698.1378	722145.8233	2562200.8241	8492309.5761	43123.9323	25521.7554	27125.656	64884.4225	17799.7276	21715.8881	31923.7812	34800.0128	9789.899	-375.7576	-6735.3535	-4204.0404	-4640.404	1397.9798	892.9293	-2482.1549	0	0.70147	0.080793	0.95067	0.91493	0.92482	0.26075	0.93014	0.87938	61	0.91477	47	0.9058	100	0.89391	93	0.68914	52	0.70371	48	0.89998	69.3333	0.76225	64.3333	7376	2814	4292	7376	2814	4292	4827.3333	4827.3333	26763476072	179227280	734028852	3093269872	343647540	79618927	9225577401.3333	1172178779.6667	-1.0759	0.85627	-0.013954	0.26858	-0.46356	-0.73314	-0.077851	-0.30937	m0001	s01	m05	n04
4858280.5087	153980.5814	307645.4141	2208666.8504	925965.2885	874353.9575	1773302.1681	1336328.6988	36068.0838	14961.2294	20088.0084	44045.6604	17683.7882	15250.077	23705.7738	25659.8419	-6707.0707	-2569.697	-3090.9091	-7329.2929	-7468.6869	-2375.7576	-4122.5589	-5724.5791	0	0	0	0.9648	0.6577	0.99885	0	0.87378	0.98884	100	0.97907	100	0.97939	99	0.59979	148	0.65649	26	0.64118	72	0.98243	99.6667	0.63249	82	7032	1554	2750	7032	1554	2750	3778.6667	3778.6667	27257644812	396813420	1470204032	255878999	106773114	87136971	9708220754.6667	149929694.6667	-0.73996	-0.20107	1.6743	-0.51672	1.9074	-0.42331	0.24441	0.32247	m0001	s01	m05	n04
3570756.6966	558028.6299	1265727.3067	19259478.9991	2108025.8864	1311615.7915	1798170.8777	7559706.8923	55068.8091	19976.1878	19785.8025	75657.7194	17149.291	18604.2571	31610.2665	37137.0892	1797.9798	1208.0808	5749.4949	-1276.7677	5557.5758	-8082.8283	2918.5185	-1267.3401	0	0	0	0.85545	0.91493	0.19439	0	0.65492	0.94798	115	0.97344	120	0.94371	106	0.65128	15	0.8563	90	0.90421	45	0.95505	113.6667	0.80393	50	6684	2756	3394	6684	2756	3394	4278	4278	30301607160	583058700	1079548528	3011938393	209827723	395513884	10654738129.3333	1205760000	-0.22597	0.19131	0.55552	-0.75784	0.90746	-0.18611	0.17362	-0.012163	m0001	s01	m05	n04
4570278.1814	959997.1632	582179.5632	22731869.7652	1114650.0585	3041127.7854	2037484.9693	8962549.203	58150.5952	23485.0479	20730.6536	81686.5307	17291.6749	25819.3022	34122.0989	41599.1692	-347.4747	6125.2525	4258.5859	15236.3636	6565.6566	6543.4343	3345.4545	9448.4848	0	0.080793	0	0.93407	0.6577	0.60984	0.026931	0.73387	0.92166	122	0.92194	102	0.95084	100	0.47986	162	0.79898	68	0.34323	35	0.93148	108	0.54069	88.3333	7028	3602	2340	7028	3602	2340	4323.3333	4323.3333	26174137788	465686924	350449476	3147068299	294525111	702573057	8996758062.6667	1381388822.3333	-0.36479	-0.142	-0.92056	-0.52749	-0.80528	1.1279	-0.47578	-0.068301	m0001	s01	m05	n04
10486102.4905	1382430.4723	1254257.6582	27507485.6671	3157090.587	8324912.9191	4374263.5403	12996496.391	82576.4806	35097.7394	28023.7417	100977.3632	28080.8357	30729.205	48565.9873	53262.468	-3301.0101	4654.5455	-5305.0505	-4200	-4828.2828	10123.2323	-1317.1717	364.9832	0	0.49992	0	0.92482	0.93407	0.93407	0.16664	0.93098	0.75197	109	0.90055	69	0.8923	94	0.61896	115	0.67699	93	0.70763	45	0.84827	90.6667	0.66786	84.3333	11040	4514	3428	11040	4514	3428	6327.3333	6327.3333	29003595696	395163372	465208984	3536426150	324362875	885630411	9954656017.3333	1582139812	-0.76237	-0.17873	-0.68527	0.62522	-0.8924	-0.37473	-0.54212	-0.21397	m0001	s01	m05	n04
9862373.3188	1614170.1313	1417180.1935	25610846.313	1694372.7938	1798489.0985	4297907.8812	9701236.0685	76794.6547	38998.5755	26261.467	119036.7722	28500.5547	24519.7261	47351.5657	57352.351	9664.6465	-5268.6869	-6868.6869	-10802.0202	-8676.7677	703.0303	-824.2424	-6258.5859	0	0.60984	0	0.68008	0.60984	0	0.20328	0.42997	0.8871	82	0.9615	81	0.84402	98	0.35266	187	0.84684	148	0.26337	14	0.89754	87	0.48762	116.3333	10696	4518	3812	10696	4518	3812	6342	6342	26646438832	483478924	1128912780	4432067575	264724041	629931727	9419610178.6667	1775574447.6667	-1.3767	0.31498	1.3622	0.0080423	0.46217	0.67304	0.10014	0.38108	m0001	s01	m05	n04
