AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
1875060.9842	3155447.9495	2593699.9034	21289896.4504	14461593.3021	2204961.2399	2541402.9457	12652150.3308	39908.8254	38163.8467	18116.3579	64324.7223	32120.2601	30359.2896	32063.01	42268.0907	9248.4848	-9583.8384	-9359.596	15634.3434	22559.596	8686.8687	-3231.6498	15626.936	0	0.85545	0	0	0.68008	0.60984	0.28515	0.42997	0.74466	16	0.94392	95	0.33436	171	0.98419	95	0.67171	17	0.68598	34	0.67431	94	0.78063	48.6667	6201	6876	4823	6201	6876	4823	5966.6667	5966.6667	26459317828	315785996	3395397638	5635216319	3396429957	242699703	10056833820.6667	3091448659.6667	2.091	-1.156	-0.62524	0.2088	0.25622	1.466	0.10327	0.64367	m0009	s05	m07	n05
24967903.6908	6582826.2121	1870912.7292	52415440.0994	8807896.1142	9233861.5171	11140547.544	23485732.5769	62610.0582	50474.3399	33162.2762	93761.0481	47151.7601	39691.2987	48748.8915	60201.369	25260.6061	-11115.1515	60.6061	-38373.7374	8927.2727	5933.3333	4735.3535	-7837.7104	0	0.76017	0	0.70147	0	0.93407	0.25339	0.54518	0.9246	62	0.94125	93	0.88078	131	0.91578	70	0.95332	60	0.88042	65	0.91554	95.3333	0.91651	65	15011	9493	4824	15011	9493	4824	9776	9776	15089154929	1380645796	3990987503	7731264634	11213102211	1398852143	6820262742.6667	6781072996	0.11858	0.57781	-0.34703	-1.1608	-0.36407	-0.22426	0.11645	-0.58304	m0009	s05	m07	n05
11474416.5595	30516579.1171	9100549.1284	69714508.3838	77521210.3863	15074468.6928	17030514.935	54103395.821	103260.2792	71978.3329	49805.4234	92127.5422	76726.5905	54062.7656	75014.6785	74305.6328	-3753.5354	22438.3838	-8278.7879	-40915.1515	-42929.2929	-20511.1111	3468.6869	-34785.1852	0	0.99277	0	0.89317	0.92482	0.99277	0.33092	0.93692	0.58077	153	0.97914	100	0.8403	45	0.55852	69	0.60181	77	0.94691	100	0.80007	99.3333	0.70241	82	13990	15620	9680	13990	15620	9680	13096.6667	13096.6667	7821171761	3037689143	6206955033	11541525786	10034849418	1672278287	5688605312.3333	7749551163.6667	-0.89799	0.23589	-0.97202	0.5854	-0.47039	-0.43601	-0.54471	-0.107	m0009	s05	m07	n05
54337849.791	6297274.2622	6885197.4529	5666411.7632	33392125.9066	13902242.3511	22506773.8354	17653593.3403	120146.3132	85289.52	52819.7124	75992.0331	72831.3009	60290.9478	86085.1819	69704.7606	-36442.4242	14549.4949	-5222.2222	4183.8384	-36505.0505	-14171.7172	-9038.3838	-15497.6431	0	0.2864	0	0	0.63431	0.2864	0.095466	0.3069	0.036643	196	0.93948	104	0.15758	5	0.93823	69	0.96188	62	0.95284	96	0.3779	101.6667	0.95098	75.6667	21915	12774	8512	21915	12774	8512	14400.3333	14400.3333	30995033501	4964948608	10951349076	14949265146	7897441347	4084670940	15637110395	8977125811	0.014303	-1.4744	0.69566	0.56918	1.2849	0.24926	-0.25482	0.70112	m0009	s05	m07	n05
12219244.1358	3739317.1849	13026986.2702	15690529.2428	17760321.8384	11074364.0145	9661849.197	14841738.3653	88365.2155	77623.627	45086.3952	87186.1842	53529.1783	46296.122	70358.4126	62337.1615	-8008.0808	-5121.2121	18185.8586	18139.3939	21074.7475	11688.8889	1685.5219	16967.6768	0	0	0	0	0.43647	0	0	0.14549	-0.066281	1	0.95209	119	-0.038406	1	0.96906	100	0.95341	112	0.98887	100	0.28247	40.3333	0.97045	104	13352	8200	9598	13352	8200	9598	10383.3333	10383.3333	43794815124	4364900095	7196285811	7107546692	6953221638	4121186040	18452000343.3333	6060651456.6667	-0.00061784	0.20009	-0.11659	0.029335	0.55901	0.21041	0.027628	0.26625	m0009	s05	m07	n05
12315476.2602	1646691.6254	828326.09	9571171.4419	12123672.2161	6770229.1317	4930164.6585	9488357.5966	62504.9525	55063.1593	33676.3262	84567.4102	48068.1755	28374.067	50414.8127	53669.8842	-2098.9899	3256.5657	2923.2323	30270.7071	21591.9192	17155.5556	1360.2694	23006.0606	0	0	0	0.77801	0.9765	1	0	0.91817	-0.099379	199	0.99033	100	-0.12429	1	0.82849	143	0.78704	102	0.91493	100	0.25555	100	0.84349	115	11168	5115	4107	11168	5115	4107	6796.6667	6796.6667	44384779424	3109851125	1953838549	1538595005	1299506911	692235654	16482823032.6667	1176779190	-0.34656	-0.19216	-0.37275	-1.0084	-0.92066	-0.48116	-0.30382	-0.80341	m0009	s05	m07	n05
16090412.6364	1020807.0865	1622962.8683	5868769.8889	2347678.4764	1575365.642	6244727.5304	3263938.0024	69249.6873	42337.8618	28233.192	69412.2599	30259.3704	19864.1955	46606.9137	39845.2752	7470.7071	218.1818	2086.8687	16959.596	-8135.3535	8474.7475	3258.5859	5766.33	0	0	0	0.84146	0.84146	0	0	0.56098	-0.078548	199	0.9883	100	-0.051527	1	0.69264	163	0.80896	103	0.88093	68	0.28608	100	0.79418	111.3333	13688	4157	3838	13688	4157	3838	7227.6667	7227.6667	48102617772	3610887740	1871339468	799131580	276141358	869321196	17861614993.3333	648198044.6667	0.62395	-0.3659	0.29238	-0.28231	-0.81611	-0.2556	0.18348	-0.45134	m0009	s05	m07	n05
38267911.2828	3495352.2767	1206290.9797	2561861.0925	3546123.242	1604147.3999	14323184.8464	2570710.5781	57001.7614	41041.8363	23391.4601	59858.3614	27391.7484	28737.5094	40478.3526	38662.5397	30464.6465	-10892.9293	4444.4444	-4438.3838	-11927.2727	-8838.3838	8005.3872	-8401.3468	0	0	0	0	0.77801	0.24229	0	0.3401	-0.029563	1	0.95457	100	-0.092339	1	0.20415	177	0.93501	114	0.27458	30	0.27755	34	0.47124	107	16168	6008	3838	16168	6008	3838	8671.3333	8671.3333	26835710186	2249014729	1363755487	2027482784	696475860	964070397	10149493467.3333	1229343013.6667	-0.38816	-0.26999	-0.6107	-0.05506	0.57232	-0.93483	-0.42295	-0.13919	m0009	s05	m07	n05
8354065.6238	873969.5758	228924.6443	2738350.5627	4122336.7317	6217930.5627	3152319.948	4359539.2857	56462.8778	47821.03	18840.3285	58469.4205	40195.1402	30726.1018	41041.4121	43130.2208	-5365.6566	-2795.9596	-4822.2222	-2056.5657	3903.0303	-16341.4141	-4327.9461	-4831.6498	0	0	0	0	0.86872	0.99538	0	0.62137	-0.10738	1	0.96497	100	-0.064015	199	0.14872	35	0.60281	160	0.7224	35	0.26453	100	0.49131	76.6667	10547	3784	2387	10547	3784	2387	5572.6667	5572.6667	11753949708	926247472	1192912379	2110022665	721521708	617155929	4624369853	1149566767.3333	-0.4674	0.19527	-0.33624	-0.26082	0.42316	-0.097494	-0.20279	0.021615	m0009	s05	m07	n05
12556964.1855	768284.2723	525904.2323	1533024.6847	1507477.0873	1498082.4868	4617050.8967	1512861.4196	49620.6132	36732.9429	16784.4083	51438.9861	37138.4905	21408.202	34379.3215	36661.8929	-14274.7475	-2165.6566	-3414.1414	-828.2828	8305.0505	642.4242	-6618.1818	2706.3973	0	0	0	0	0.86872	0	0	0.28957	-0.04569	1	0.98745	100	-0.075916	199	-0.028029	98	-0.035733	1	0.48835	124	0.28861	100	0.14153	74.3333	10585	3119	2016	10585	3119	2016	5240	5240	19278071608	789762054	1905625328	1112217723	166969384	827647475	7324486330	702278194	1.0752	-0.39219	0.36065	0.36955	-0.6494	0.49115	0.34787	0.070431	m0009	s05	m07	n05
139061.8972	588061.6051	34950.6742	1757010.4781	86748.2462	2662087.1297	254024.7255	1501948.618	15112.9672	14226.7979	9256.6373	17082.0894	8646.0524	12966.7266	12865.4674	12898.2895	-231.1111	-3173.3333	-35.5556	-6633.3333	1637.7778	8880	-1146.6667	1294.8148	0	0	0	0.42946	0	0.77935	0	0.40294	-0.090074	1	0.99864	91	-0.10125	181	-0.05055	1	0.022445	28	0.91634	144	0.2691	91	0.29608	57.6667	1426	2383	660	1426	2383	660	1489.6667	1489.6667	23376981802	444011506	2130937221	386271332	44181475	487857016	8650643509.6667	306103274.3333	0.34158	0.6584	-0.083765	0.12157	-0.89943	-0.24328	0.3054	-0.34038	m0009	s05	m07	n05
