AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
12051.8314	34769.6641	56061.7398	120898.7252	32007.5499	15401.8864	34294.4118	56102.7205	8823.2704	9944.5534	11915.6632	9154.234	5878.8441	3801.5946	10227.829	6278.2242	-90.9091	361.6162	262.6263	-1355.5556	1494.9495	838.3838	177.7778	325.9259	0	0	0	1	0.36592	0.68008	0	0.682	-0.02326	199	-0.091776	199	0.93938	100	0.61409	48	0.56556	79	0.16322	182	0.27478	166	0.44762	103	474	746	826	474	746	826	682	682	26950125549	31718003	1783656602	11972121	14991342	2529793	9588500051.3333	9831085.3333	-0.72386	-0.3947	0.82085	0.033783	2.0076	1.0177	-0.099238	1.0197	m0013	s05	m09	n02
14889.9332	60957.3855	186732.642	288635.8469	64584.0011	27321.5284	87526.6536	126847.1255	10114.7956	11720.7233	16851.4964	19449.0269	9405.9083	6186.2343	12895.6717	11680.3898	-187.8788	-731.3131	-276.7677	-2309.0909	1321.2121	240.404	-398.6532	-249.1582	0	0	0	0.99538	0.79504	0.40218	0	0.73087	-0.056805	1	-0.098712	1	0.90386	100	0.57907	140	0.52244	40	0.022979	189	0.24945	34	0.37483	123	474	906	1745	474	906	1745	1041.6667	1041.6667	26988373977	44750554	1645301954	31688762	11668647	7141331	9559475495	16832913.3333	-0.53032	0.78194	-0.37898	-0.31821	0.42754	0.10631	-0.042451	0.071878	m0013	s05	m09	n02
22868.8981	125926.8375	154840.3451	644355.9809	78725.6885	24626.3106	101212.0269	249235.9933	10377.6372	14492.7011	17061.0313	21778.0355	9289.6815	7030.5251	13977.1232	12699.414	642.4242	939.3939	-2262.6263	-404.0404	80.8081	-466.6667	-226.936	-263.2997	0	0	0	0.43647	0.92482	0	0	0.45376	-0.037741	199	-0.078713	1	0.92617	105	0.39337	153	-0.045817	1	0.63076	163	0.26991	101.6667	0.3261	105.6667	632	1331	1581	632	1331	1581	1181.3333	1181.3333	26893245855	91493523	1404590814	198971395	8022136	8811105	9463110064	71934878.6667	0.031973	0.18621	-0.89968	-0.02736	-0.47061	0.27534	-0.22717	-0.07421	m0013	s05	m09	n02
65164.389	122755.6549	222679.943	573898.4954	88443.6011	24912.1021	136866.6623	229084.7329	20422.8927	15972.5016	16986.0549	18194.2271	10165.9563	5563.8806	17793.8164	11308.0213	-494.9495	456.5657	-872.7273	3440.404	58.5859	-161.6162	-303.7037	1112.4579	0	0	0	0.32744	0.9648	0.6577	0	0.64998	-0.044028	199	-0.10075	1	0.92681	100	0.52469	52	0.50046	193	0.50736	193	0.26068	100	0.51084	146	1221	1494	1680	1221	1494	1680	1465	1465	27002354273	91000106	1329894676	228520284	8792283	4253065	9474416351.6667	80521877.3333	-0.51592	0.084257	-0.44111	0.50284	-0.39386	1.0161	-0.29093	0.37502	m0013	s05	m09	n02
61411.7451	97250.4738	197088.4105	719506.0019	79830.9506	17601.7075	118583.5431	272312.8867	23784.0452	18379.633	18780.5294	18979.0315	11209.3576	5273.0303	20314.7359	11820.4731	254.5455	-1050.5051	-523.2323	3002.0202	-1416.1616	-10.101	-439.7306	525.2525	0	0	0	0.98959	0.68008	0.70147	0	0.79038	-0.040123	5	-0.085956	1	0.9021	100	0.78721	25	0.58088	128	0.068115	1	0.25867	35.3333	0.47873	51.3333	1221	1226	1746	1221	1226	1746	1397.6667	1397.6667	27223886238	65051355	1061871720	72709507	15502659	3314082	9450269771	30508749.3333	-0.16401	-0.2826	0.51512	-0.39869	-0.12036	0.28674	0.022837	-0.077437	m0013	s05	m09	n02
29241.3943	169901.4031	126042.3203	2267175.2642	410963.4241	60611.7418	108395.0393	912916.8101	16286.8727	21175.9345	16569.5595	23856.8543	9404.641	7760.1937	18010.7889	13673.8963	666.6667	634.3434	282.8283	6333.3333	-4151.5152	-1151.5152	527.9461	343.4343	0	0	0	0.2864	0.32744	0.9648	0	0.52621	-0.053155	199	-0.10961	199	0.93789	100	0.034509	195	0.66512	164	0.57859	47	0.25837	166	0.42607	135.3333	843	1715	1455	843	1715	1455	1337.6667	1337.6667	26964075140	124040051	1053682653	468816028	118476015	6113862	9380599281.3333	197801968.3333	-0.38877	-0.53592	-0.16874	0.67067	-0.11344	-0.31732	-0.36448	0.07997	m0013	s05	m09	n02
19449.5332	113421.2803	120987.9405	1790428.859	128337.1111	51370.4683	84619.5847	656712.1461	11238.7317	16134.4352	14598.5332	22936.064	8078.7288	7467.5865	13990.5667	12827.4598	-591.9192	872.7273	1698.9899	1818.1818	-442.4242	-917.1717	659.9327	152.862	0	0	0	0.2864	0	0.55744	0	0.28128	-0.051985	199	-0.077542	199	0.92783	100	0.010323	8	0.17416	194	0.94211	75	0.2661	166	0.37553	92.3333	672	1274	1556	672	1274	1556	1167.3333	1167.3333	26941862633	121069587	1419975849	692379030	183948770	13529350	9494302689.6667	296619050	0.19965	0.23939	-0.23038	-0.12579	-0.15086	0.76111	0.069552	0.16149	m0013	s05	m09	n02
17785.7228	44074.2828	156098.25	1305130.1474	237952.8889	33491.9672	72652.7519	525525.0011	10453.1664	8937.4708	15547.9318	17190.5306	8213.6373	4802.9032	11646.1896	10069.0237	-109.0909	-987.8788	860.6061	-9955.5556	4147.4747	701.0101	-78.7879	-1702.3569	0	0	0	0.6577	0.24229	0.40218	0	0.43406	-0.048875	1	-0.087504	199	0.93732	100	0.52246	184	0.44581	181	0.91166	105	0.26698	100	0.62664	156.6667	635	786	1674	635	786	1674	1031.6667	1031.6667	26960510944	53953118	1828723033	294404923	90764540	14804415	9614395698.3333	133324626	0.17461	-0.2037	1.0685	0.33341	0.046203	0.70426	0.34646	0.36129	m0013	s05	m09	n02
13052.3701	40836.3914	313705.1187	698180.2759	123920.3122	29756.9837	122531.2934	283952.5239	9944.8174	9069.7856	16036.6247	13428.7796	7921.6619	4323.9993	11683.7426	8558.1469	-141.4141	-646.4646	444.4444	-2464.6465	1226.2626	292.9293	-114.4781	-315.1515	0	0	0	1	0.99277	0.76017	0	0.91765	-0.087758	1	-0.091192	199	0.93023	100	0.84383	144	0.90219	143	0.79581	107	0.25043	100	0.84728	131.3333	510	770	2143	510	770	2143	1141	1141	26941393448	50235215	1678401963	70024819	15279377	5112431	9556676875.3333	30138875.6667	0.81842	-0.059339	0.46809	0.32219	-0.78005	-0.0020401	0.40906	-0.1533	m0013	s05	m09	n02
11394.3907	24041.9989	104203.7164	250066.2907	68090.2514	9314.1497	46546.702	109156.8973	10745.4176	9011.2522	14878.5304	8973.3309	7095.9613	4048.1271	11545.0667	6705.8064	220	1086.6667	46.6667	4750	-2810	236.6667	451.1111	725.5556	0	0	0	0.99515	0.91273	0.8752	0	0.92769	-0.062216	121	-0.14284	121	0.97026	61	0.8455	10	0.7712	37	0.61314	71	0.25507	101	0.74328	39.3333	452	683	945	452	683	945	693.3333	693.3333	16474684026	34041465	848572807	20087205	4116816	688017	5785766099.3333	8297346	0.83026	0.25409	0.19408	-0.38038	-1.4066	0.52498	0.42614	-0.42068	m0013	s05	m09	n02
