AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
122781.8671	93564.6885	44711.1984	106634.6036	441678.5051	63540.9506	87019.2513	203951.3531	13993.5194	12232.5613	11287.3219	11643.3186	8051.8522	4403.4881	12504.4675	8032.8863	3028.2828	1903.0303	-1672.7273	1103.0303	4581.8182	-315.1515	1086.1953	1789.899	0	0.95067	0	0	0.98582	0.95804	0.31689	0.64795	0.11283	188	0.99735	100	0.35873	12	0.44956	165	0.29376	57	0.79836	168	0.48963	100	0.51389	130	1774	1312	1151	1774	1312	1151	1412.3333	1412.3333	26900087210	10857568	1257189960	92879784	44663196	7386135	9389378246	48309705	0.81053	0.3596	-1.5546	0.21315	0.7586	0.059521	-0.12815	0.34375	m0013	s05	m03	n05
400086.3656	406506.2072	771119.846	2258381.711	291760.2198	437561.4044	525904.1396	995901.1118	26126.0117	17139.2514	16950.4805	21325.5573	13827.9033	11212.8173	20071.9145	15455.426	2078.7879	-3836.3636	-2274.7475	8119.1919	2006.0606	5024.2424	-1344.1077	5049.8316	0	0.99277	0	0.82675	0.72193	0.98582	0.33092	0.84483	0.70046	14	0.98155	100	0.3987	37	0.79702	146	0.86809	100	0.96245	34	0.69357	50.3333	0.87585	93.3333	2908	2710	2936	2908	2710	2936	2851.3333	2851.3333	26563281299	40281867	1964721345	224413541	49648688	50535324	9522761503.6667	108199184.3333	-0.48536	-0.74032	-0.33803	1.2057	0.27912	1.5902	-0.52123	1.025	m0013	s05	m03	n05
845125.9842	1278012.8319	154372.3575	2020445.9192	678415.0153	970027.8322	759170.3912	1222962.9222	26626.0903	21259.7785	17870.9176	25372.84	15292.3563	16609.1857	21918.9288	19091.4607	202.0202	-4294.9495	-1523.2323	-1757.5758	-5151.5152	28.2828	-1872.0539	-2293.6027	0	0.88129	0	0.92482	0.99277	0.52936	0.29376	0.81565	0.92911	61	0.99761	100	0.78941	130	0.70728	22	0.97427	94	0.49065	46	0.90538	97	0.72407	54	3509	3518	1805	3509	3518	1805	2944	2944	24652160916	215368976	2558780439	332136182	68154505	183397295	9142103443.6667	194562660.6667	-0.91519	0.31997	-0.88385	0.23675	-0.46769	0.6658	-0.49302	0.14495	m0013	s05	m03	n05
2619491.8759	2276015.3231	411818.1822	3252016.9587	1774484.1087	713301.4961	1769108.4604	1913267.5211	85532.2445	39795.5584	36520.5463	39487.3973	35459.9219	26778.87	53949.4497	33908.7297	925.2525	4137.3737	-36.3636	-13331.3131	-88.8889	-1648.4848	1675.4209	-5022.8956	0	0.85545	0	0.99277	0.95067	0	0.28515	0.64782	0.83153	133	0.97541	100	0.73768	75	0.74092	38	0.53944	42	0.66039	165	0.84821	102.6667	0.64692	81.6667	8986	5655	3010	8986	5655	3010	5883.6667	5883.6667	22432832815	286476353	2178778130	323449569	196301874	246622177	8299362432.6667	255457873.3333	-0.92388	1.0381	1.5857	0.14358	0.0051745	0.22486	0.56667	0.12454	m0013	s05	m03	n05
3655346.0743	6647037.0597	838014.7842	3791675.0388	903534.6847	1271202.208	3713465.9728	1988803.9772	90632.8636	51033.1008	39144.3534	51686.0062	36987.489	29204.1508	60270.1059	39292.5487	-448.4848	10658.5859	-2270.7071	258.5859	40.404	-1103.0303	2646.4646	-268.0135	0	0.76017	0	0.2864	0.72193	0.9648	0.25339	0.65771	0.14621	183	0.96142	100	0.45609	18	0.10289	4	0.28369	53	0.89191	128	0.52124	100.3333	0.42616	61.6667	8986	8582	3862	8986	8582	3862	7143.3333	7143.3333	21118274674	1220206543	2599049256	948758010	193467495	150728165	8312510157.6667	430984556.6667	-0.85983	0.089418	0.91607	-0.47077	-0.16598	-0.14252	0.04855	-0.25976	m0013	s05	m03	n05
4515846.2072	2014548.3809	79933.2622	6882282.7769	2111228.9192	910350.7677	2203442.6168	3301287.4879	37361.126	43017.2481	20573.5242	44797.5919	19454.0744	27090.1525	33650.6328	30447.2729	-10492.9293	2600	-474.7475	8553.5354	-5105.0505	-3810.101	-2789.2256	-120.5387	0	0	0	0.97095	0.93407	0.49992	0	0.80164	-0.013024	199	0.98677	100	-0.087882	199	0.81441	39	0.85347	47	0.73276	112	0.29529	166	0.80021	66	8011	6409	1232	8011	6409	1232	5217.3333	5217.3333	25198444655	1942277347	3237016748	850613901	251430832	171593402	10125912916.6667	424546045	0.22598	-0.062577	0.33506	-0.57587	0.17822	0.062587	0.16616	-0.11169	m0013	s05	m03	n05
1464872.0827	2083298.8706	143936.6799	977731.442	774027.8597	1733293.697	1230702.5444	1161684.3329	37378.2144	30789.2543	17979.3709	35073.0551	17930.2464	22654.9524	28715.6132	25219.418	-4438.3838	-5616.1616	1589.899	-773.7374	3541.4141	4339.3939	-2821.5488	2369.0236	0	0	0	0.88129	0.52936	0.9974	0	0.80268	-0.044677	1	0.99372	100	-0.096989	1	0.36332	172	0.54885	169	0.81213	142	0.28402	34	0.57477	161	5481	5086	1577	5481	5086	1577	4048	4048	32514753409	979136629	2941200393	119722272	273562267	181861692	12145030143.6667	191715410.3333	-0.057226	0.60034	0.11871	-0.38353	0.67034	-0.23395	0.22061	0.017621	m0013	s05	m03	n05
1329876.9491	852665.1591	607741.3317	1748370.5312	1011319.242	287961.8933	930094.48	1015883.8889	45954.6461	45738.7929	35486.9787	51051.5208	20023.6224	19233.8086	42393.4725	30102.9839	7773.7374	3470.7071	-1339.3939	-7886.8687	6270.7071	1583.8384	3301.6835	-10.7744	0	0.32744	0	0.99538	0.95804	0.19439	0.10915	0.71594	-0.097052	199	0.98865	100	-0.095228	199	0.6128	190	0.50702	21	0.68826	136	0.26546	166	0.60269	115.6667	4971	4638	3441	4971	4638	3441	4350	4350	31908356722	388933801	2960031972	175736137	100562564	101071366	11752440831.6667	125790022.3333	-0.72011	-0.87776	-0.81967	-0.85714	-0.67976	0.61444	-0.80585	-0.30748	m0013	s05	m03	n05
1230796.6839	1312828.6355	660926.8105	1858971.3627	598235.0808	442434.9571	1068184.0433	966547.1335	39267.0011	44770.7877	35335.4259	52569.1349	19665.6086	18809.3894	39791.0716	30348.0443	3244.4444	650.5051	-1523.2323	2563.6364	-2335.3535	-4416.1616	790.5724	-1395.9596	0	0.32744	0	0.98959	0.85545	0.9648	0.10915	0.93661	-0.068489	199	0.98893	100	-0.088789	199	0.37746	14	0.50348	162	0.76118	118	0.27722	166	0.54737	98	5058	5095	3441	5058	5095	3441	4531.3333	4531.3333	26683579569	553288315	3408861696	184345857	69535794	57361867	10215243193.3333	103747839.3333	-0.11656	-0.41178	0.24797	-0.97974	-0.78887	0.4698	-0.093457	-0.43294	m0013	s05	m03	n05
6508826.2368	954641.4201	182420.0202	687083.2125	1049048.2839	394983.2145	2548629.2257	710371.5703	30161.3439	21222.1344	17893.3428	27386.4746	14696.801	15168.7877	23092.2737	19084.0211	-11527.2727	-949.4949	-591.9192	7149.4949	-5361.6162	-1652.5253	-4356.229	45.1178	0	0	0	0.88129	0.76017	0.49992	0	0.71379	-0.11639	1	0.9831	100	-0.10077	199	0.3063	183	0.35943	13	0.82335	93	0.25531	100	0.49636	96.3333	7844	3386	1596	7844	3386	1596	4275.3333	4275.3333	30784250348	816081917	3342504546	88802072	170795995	78386148	11647612270.3333	112661405	-0.70715	-0.094143	-0.7129	-0.61314	0.75963	-1.0203	-0.50473	-0.29127	m0013	s05	m03	n05
