AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
46131.9754	41242.7405	303563.0202	438124.6772	15676.5026	17372.2683	130312.5787	157057.816	14082.5704	13281.1859	20318.7727	16756.7023	5209.8198	4933.3743	15894.1763	8966.6321	-850.5051	-975.7576	602.0202	206.0606	-147.4747	-947.4747	-408.0808	-296.2963	0	0	0	0.92482	0	0.49992	0	0.47491	0.9692	100	0.97512	100	0.99751	100	0.57163	143	0.52714	59	0.3675	9	0.98061	100	0.48876	70.3333	1231	935	1928	1231	935	1928	1364.6667	1364.6667	78289896	17380252701	8605368348	52698816	10155636	3133100	8687970315	21995850.6667	0.48686	1.3213	-0.46484	0.21006	-0.84344	-1.459	0.44778	-0.69745	m0013	s05	m22	n06
215923.3264	339903.1793	200200.1757	3689245.4476	343594.7087	1135656.596	252008.8938	1722832.2507	33683.1223	28824.6738	28320.8529	33150.2853	27617.1225	12268.1817	30276.2163	24345.1965	262.6263	-3004.0404	220.202	4016.1616	4210.101	-6703.0303	-840.404	507.7441	0.49992	0	0	0.9765	0.9974	0.9648	0.16664	0.97957	0.84584	100	0.85573	100	0.99788	100	0.8215	100	0.93451	23	0.95411	25	0.89982	100	0.90337	49.3333	2007	3181	1923	2007	3181	1923	2370.3333	2370.3333	72838381	16796519727	8463022209	399676939	35928012	155476724	8444126772.3333	197027225	0.74262	-0.10935	0.089054	0.93726	0.88404	-1.1778	0.24077	0.21448	m0013	s05	m22	n06
1991539.6893	1518236.5312	1265951.7879	6052717.5455	1109518.1312	847634.2723	1591909.3361	2669956.6497	75256.8289	49619.3429	55792.784	50440.2677	59366.2558	22978.022	60222.9853	44261.5152	7094.9495	-997.9798	-1701.0101	-2610.101	-3159.596	1143.4343	1465.3199	-1542.0875	0.99885	0	0	0.95067	0.60984	0.14144	0.33295	0.56732	0.55198	51	0.49372	51	0.9822	100	0.76904	75	0.64448	146	0.068358	7	0.67597	67.3333	0.49396	76	6082	4278	4963	6082	4278	4963	5107.6667	5107.6667	213748500	18539590987	7239070876	623435278	167752873	273121320	8664136787.6667	354769823.6667	1.0005	-0.19462	0.56848	-0.22412	0.17405	-0.38834	0.45811	-0.14614	m0013	s05	m22	n06
2470484.0853	7755643.6948	1906180.6279	27360241.092	4228715.9277	3363999.7269	4044102.8027	11650985.5822	97264.3944	124319.2615	75081.0041	182124.2244	84813.4614	45510.0832	98888.22	104149.2564	10010.101	15646.4646	-5507.0707	-5858.5859	-2191.9192	7826.2626	6716.4983	-74.7475	0.79504	0	0	0.98145	0.99971	0.97095	0.26501	0.98404	0.049447	1	0.12534	1	0.96989	100	0.69687	71	0.48708	184	0.66484	40	0.38156	34	0.61626	98.3333	7348	15589	5325	7348	15589	5325	9420.6667	9420.6667	343313944	20299576213	7553303698	3443166011	421582730	333519276	9398731285	1399422672.3333	0.095754	-0.20167	0.055211	-1.8413	0.043217	0.39908	-0.016903	-0.46634	m0013	s05	m22	n06
11644482.7976	9046191.8274	3175957.5332	30603320.0461	6733694.1272	3434502.01	7955544.0527	13590505.3944	101453.6686	145468.4762	79311.2574	199255.8185	95989.5933	90791.1645	108744.4674	128678.8588	-3935.3535	3783.8384	13919.1919	5202.0202	-7286.8687	-2280.8081	4589.2256	-1455.2189	0.70147	0	0	0.99971	0.84146	0.99885	0.23382	0.94667	0.16293	196	0.18365	196	0.95784	101	0.63848	47	0.48177	56	0.49903	32	0.43481	164.3333	0.53976	45	12966	15589	9541	12966	15589	9541	12698.6667	12698.6667	2089482064	16890309773	9918204197	3490638058	1010074449	358590937	9632665344.6667	1619767814.6667	0.42161	-1.0571	0.25485	-1.7126	0.11236	0.054711	-0.12689	-0.51519	m0013	s05	m22	n06
41232007.762	3277782.5514	7927779.3269	13351953.0678	9461395.7652	2431246.8772	17479189.8801	8414865.2367	118069.9536	131970.041	83732.4865	115792.3464	82336.2434	91795.7658	111257.4937	96641.4519	-20048.4848	-8967.6768	-4200	-17066.6667	-13125.2525	1234.3434	-11072.0539	-9652.5253	0.99538	0	0	0.98145	0.63431	0.99885	0.33179	0.87154	0.56722	153	0.63543	155	0.95749	100	0.6182	130	0.53248	153	0.29023	148	0.72005	136	0.4803	143.6667	22615	9368	11283	22615	9368	11283	14422	14422	4081969476	14755020627	10404379626	1572201189	3002244333	241442358	9747123243	1605295960	-0.21187	-0.3047	0.87416	-0.16218	0.85041	0.02165	0.1192	0.23663	m0013	s05	m22	n06
6745906.5829	5215755.1494	7944140.1304	12278210.4974	2032788.2489	9655245.139	6635267.2876	7988747.9618	94570.7089	103530.5332	66447.1963	107091.1157	50899.7192	53466.406	88182.8128	70485.747	-10264.6465	7090.9091	-20008.0808	-8058.5859	3301.0101	15008.0808	-7727.2727	3416.835	0	0	0	0.55744	0	0.52936	0	0.36227	0.92564	102	0.89257	100	0.96227	91	0.85923	111	0.49188	13	0.0074963	198	0.92683	97.6667	0.45287	107.3333	11531	10286	11515	11531	10286	11515	11110.6667	11110.6667	4179319761	11933047191	12381516881	3508286222	3320960036	2125386152	9497961277.6667	2984877470	-0.3542	-0.61783	1.3835	0.69006	-0.58849	0.22043	0.13714	0.10733	m0013	s05	m22	n06
756488.4658	1965285.5284	2481278.9773	28096756.5918	6167691.4343	4900400.4974	1734350.9905	13054949.5078	37077.1786	48913.8967	38692.5044	100780.6178	36176.0789	45086.5834	41561.1932	60681.0934	-2616.1616	10058.5859	8575.7576	25163.6364	11923.2323	-2315.1515	5339.3939	11590.5724	0	0	0	0.89317	0.82675	0	0	0.57331	0.96669	100	0.97275	100	0.98299	100	0.84921	100	0.60553	160	0.5105	167	0.97415	100	0.65508	142.3333	3542	5965	5083	3542	5965	5083	4863.3333	4863.3333	4339413349	7134069701	14542990231	3195379935	1269961136	2847352376	8672157760.3333	2437564482.3333	-0.55824	-0.077626	0.54164	0.39063	0.57098	-0.089572	-0.031409	0.29068	m0013	s05	m22	n06
5546076.0893	25149581.2267	4794712.6097	18051683.5354	6105356.1075	37541172.5176	11830123.3086	20566070.7201	62750.9942	106673.7498	72847.2707	137352.0611	56348.619	92583.0078	80757.3382	95427.896	10092.9293	-19632.3232	10812.1212	-11159.596	-9604.0404	-48418.1818	424.2424	-23060.6061	0	0	0	0.9765	0.89317	0.90438	0	0.92469	0.86989	39	0.89835	100	0.89615	100	0.65522	22	0.66341	23	0.76571	13	0.88813	79.6667	0.69478	19.3333	8701	17537	8337	8701	17537	8337	11525	11525	3760029090	13383239428	12180661462	2025510270	849528066	3719718190	9774643326.6667	2198252175.3333	0.71152	-0.40012	0.60421	0.039579	-0.81825	-1.2421	0.3052	-0.67359	m0013	s05	m22	n06
24250766.0496	28073555.2625	4516673.9211	62877537.5049	46634115.5253	96411283.2238	18946998.4111	68640978.7513	83470.9022	120252.8263	91744.5774	138763.355	70369.4292	103618.0574	98489.4353	104250.2805	-14101.0101	7618.1818	7244.4444	-45785.8586	-29973.7374	-33480.8081	253.8721	-36413.468	0	0	0	0.85545	0.2864	0.68008	0	0.60731	0.80739	134	0.81335	86	0.92016	100	0.9307	100	0.93797	101	0.98296	100	0.84697	106.6667	0.95055	100.3333	15200	17572	6998	15200	17572	6998	13256.6667	13256.6667	7845007793	18563460323	8263319681	9852541159	12527990462	25095355724	11557262599	15825295781.6667	-0.39214	0.66711	-0.045139	0.27735	0.031462	0.41841	0.076612	0.24241	m0013	s05	m22	n06
