AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
83475.8686	654964.5635	131812.2322	2969195.7713	38579.0913	73924.0278	290084.2214	1027232.9635	13255.3782	15762.1975	13484.237	23462.4394	8269.2567	7145.1333	14167.2709	12958.9431	-2690.9091	6759.596	1898.9899	11105.0505	957.5758	-2840.404	1989.2256	3074.0741	0	0.14144	0	0.79504	0.24229	0.43647	0.047147	0.49127	0.0071374	199	0.99431	100	0.094615	2	0.016915	48	0.67584	157	0.2378	6	0.36536	100.3333	0.31018	70.3333	1735	3346	1280	1735	3346	1280	2120.3333	2120.3333	27406756631	212315799	1255266485	468697630	25802300	20138459	9624779638.3333	171546129.6667	-1.2849	0.54931	0.61647	0.92722	0.59185	-1.5176	-0.039716	0.00049277	m0006	s05	m06	n05
452634.6667	541691.7951	792499.0178	39976464.5903	4036162.9903	660098.6085	595608.4932	14890908.7297	18566.0927	21539.0273	18146.9868	50573.8943	20336.1349	11417.4065	19417.3689	27442.4786	1781.8182	-2771.7172	2367.6768	43236.3636	12410.101	-4872.7273	459.2593	16924.5791	0	0	0	0	0.99971	0.9765	0	0.65874	-0.0056187	1	0.96197	120	-0.074901	1	0.9832	39	0.27858	169	0.87655	26	0.29382	40.6667	0.71278	78	2846	3411	3119	2846	3411	3119	3125.3333	3125.3333	27730442932	535329023	744706422	10459931254	525051498	75993016	9670159459	3686991922.6667	0.26569	-0.15658	0.6319	0.61826	1.0453	-0.97904	0.247	0.22816	m0006	s05	m06	n05
1189297.4044	14929412.3575	2070613.3156	64774088.9923	3435606.7413	2554570.1595	6063107.6925	23588088.631	31676.1389	45190.5952	25798.3321	64138.1842	26832.2285	24179.4637	34221.6888	38383.2921	3381.8182	-26989.899	6391.9192	52973.7374	5749.4949	7341.4141	-5738.7205	22021.5488	0	0.9974	0.92482	0	0.2864	0.79504	0.64074	0.36048	0.8325	23	0.88004	137	0.68768	177	0.91058	108	0.56655	17	0.58206	32	0.80007	112.3333	0.6864	52.3333	4005	13457	4566	4005	13457	4566	7342.6667	7342.6667	25568709972	1510580531	289490936	47223745520	1492259105	283692737	9122927146.3333	16333232454	-0.083156	-0.87196	0.26342	-0.049818	-0.25013	0.63684	-0.23057	0.1123	m0006	s05	m06	n05
719802.3046	22197502.3269	4963800.8213	104835648.137	1213761.109	7968377.8182	9293701.8176	38005929.0214	36349.7767	60365.7238	40760.8745	120212.3727	23132.8006	29106.5892	45825.4583	57483.9208	-1488.8889	-16591.9192	-3656.5657	-42503.0303	-6169.697	10315.1515	-7245.7912	-12785.8586	0	0.19439	0.92482	0	0	0.82675	0.37307	0.27558	0.96114	70	0.89979	44	0.85446	85	0.85929	100	0.93068	65	0.86847	48	0.90513	66.3333	0.88615	71	3431	15317	7462	3431	15317	7462	8736.6667	8736.6667	24314622356	7821922748	786867689	55215182380	1554761301	1240261920	10974470931	19336735200.3333	-0.36453	0.23672	-0.087258	-0.63937	1.055	-0.54406	-0.071688	-0.042795	m0006	s05	m06	n05
521030.7172	9474371.5445	1147408.238	229843970.0415	4679665.1964	8196402.3434	3714270.1666	80906679.1938	27357.0481	47687.4759	37375.4849	129210.7714	23439.9555	27232.8827	37473.3363	59961.2032	-133.3333	8307.0707	-6800	-102345.4545	-9993.9394	-9006.0606	457.9125	-40448.4848	0	0	0	1	0.82675	0.94268	0	0.92314	0.94563	100	0.97457	93	0.95084	95	0.82018	85	0.86645	91	0.98304	107	0.95701	96	0.88989	94.3333	2810	9811	5742	2810	9811	5742	6121	6121	25106356410	8586392281	1286231254	23577192949	734106538	1164432776	11659659981.6667	8491910754.3333	-0.37106	-0.56443	0.26908	0.645	-0.6479	-0.20966	-0.22214	-0.070851	m0006	s05	m06	n05
613973.9647	3726970.2363	707098.1451	67883931.5539	3128259.8597	1549161.6263	1682680.782	24187117.68	29111.1281	35523.1664	21291.3982	79298.6734	28967.0241	22796.7657	28641.8976	43687.4877	-472.7273	17367.6768	5987.8788	-51604.0404	-3632.3232	-10838.3838	7627.6094	-22024.9158	0	0.080793	0	0	0.93407	0.58424	0.026931	0.5061	0.96127	112	0.96945	113	0.97043	102	0.67848	121	0.81846	91	0.61321	111	0.96705	109	0.70338	107.6667	2847	8655	3219	2847	8655	3219	4907	4907	26298530595	2748760899	891065894	35620373224	361274541	275756970	9979452462.6667	12085801578.3333	0.23378	0.75901	0.42781	0.22901	0.35854	1.4207	0.47353	0.66941	m0006	s05	m06	n05
576611.513	14511816.4456	1444351.9066	28608432.654	3196206.3236	2268500.014	5510926.6217	11357712.9972	36442.7432	45615.118	29273.12	75768.1951	34531.8533	30166.2063	37110.3271	46822.0849	-113.1313	21880.8081	-3640.404	20840.404	-2527.2727	1127.2727	6042.4242	6480.1347	0	0.98145	0	0	0.84146	0	0.32715	0.28049	0.71352	161	0.89463	100	0.65859	21	0.70871	25	0.94227	62	0.82825	36	0.75558	94	0.82641	41	3212	12453	4830	3212	12453	4830	6831.6667	6831.6667	27251106357	1452444229	665044791	46353496139	495218764	928056335	9789531792.3333	15925590412.6667	-0.31473	0.12529	-0.24781	0.71805	0.1829	-0.46607	-0.14575	0.14496	m0006	s05	m06	n05
349353.7854	2508371.3264	3401795.0404	45366502.5183	2373425.6536	6896355.663	2086506.7174	18212094.6116	28335.5935	38602.2033	28129.9007	66102.9164	29737.2874	32253.7853	31689.2325	42697.9964	105.0505	4375.7576	-7995.9596	46353.5354	-8218.1818	6797.9798	-1171.7172	14977.7778	0	0.43647	0	0	0.63431	0.99885	0.14549	0.54439	0.022839	189	0.97657	71	0.31353	11	0.92458	74	0.90371	145	0.8907	158	0.43765	90.3333	0.90633	125.6667	2981	6731	5568	2981	6731	5568	5093.3333	5093.3333	26489771175	1117617327	1666036390	18743178539	516279187	865648606	9757808297.3333	6708368777.3333	-1.7502	-0.51764	0.61451	-0.46053	0.69572	-0.22368	-0.5511	0.0038387	m0006	s05	m06	n05
60892.9923	739555.2868	241488.7284	12027263.6843	475744.8763	845896.9708	347312.3358	4449635.1771	12842.7789	22268.2906	16081.4342	31920.1213	15880.5262	16917.6138	17064.1679	21572.7537	-288.8889	-7214.1414	2585.8586	17327.2727	5496.9697	-1230.303	-1639.0572	7197.9798	0	0	0	0.36592	0	0.97095	0	0.44562	-0.037191	1	0.99444	100	-0.083777	1	0.79936	68	0.43501	26	0.39639	22	0.29116	34	0.54359	38.6667	1038	3795	2145	1038	3795	2145	2326	2326	26544914544	618583253	2332392765	2461300775	384316875	95486073	9831963520.6667	980367907.6667	-0.70632	-0.04742	-0.57324	-0.48906	-0.090544	0.031503	-0.44233	-0.1827	m0006	s05	m06	n05
75960.226	319052.5198	86129.9626	759730.6714	432344.7032	221836.91	160380.9028	471304.0949	15642.4891	17325.5111	11973.17	13517.1989	10217.945	10239.5312	14980.3901	11324.8917	-829.3333	-5202.6667	1552	6704	4384	-1920	-1493.3333	3056	0	0	0	0.98748	0	0.62925	0	0.53891	-0.018078	1	0.99716	76	-0.11324	1	0.52241	76	0.77088	44	0.8981	48	0.28861	26	0.73046	56	1038	1951	1180	1038	1951	1180	1389.6667	1389.6667	20268875662	152168817	1500159103	58226777	175640742	31772337	7307067860.6667	88546618.6667	-0.28241	-0.16633	-0.39211	-0.4632	-0.82541	0.78091	-0.28028	-0.16923	m0006	s05	m06	n05
