AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
24478.0752	52338.4408	47443.5631	61220.4036	33304.141	46935.8772	41420.0264	47153.4739	9833.4206	15023.8867	17454.3908	16846.3406	9802.2879	6649.1892	14103.8994	11099.2726	260.6061	-549.4949	-143.4343	-563.6364	1519.1919	1507.0707	-144.1077	820.8754	0	0.24229	0	0.080793	0.14144	0	0.080764	0.074078	-0.030302	199	-0.10062	199	0.81966	100	0.010381	2	0.89864	36	0.010826	198	0.22958	166	0.30662	78.6667	715	1041	916	715	1041	916	890.6667	890.6667	458741284	15682994	21225465515	61262748	20105470	12943356	7233296597.6667	31437191.3333	0.68325	-1.0736	0.16733	-0.74905	0.33323	0.81138	-0.074349	0.13185	m0014	s05	m21	n02
62265.5656	3137169.6158	244418.739	4256702.9571	95057.9324	754382.4173	1147951.3068	1702047.7689	21320.9149	52368.6081	39073.4093	47866.6287	20005.373	23156.1498	37587.6441	30342.7172	-438.3838	-12327.2727	-1507.0707	5387.8788	222.2222	-54.5455	-4757.5758	1851.8519	0	0.6577	0	0.080793	0.49992	0.24229	0.21923	0.27433	-0.0044689	199	-0.098778	199	0.71126	70	0.29056	10	0.96724	107	0.02559	189	0.20267	156	0.4278	102	1366	7761	3064	1366	7761	3064	4063.6667	4063.6667	444442703	370329600	21113684828	851291615	19137025	175210551	7309485710.3333	348546397	-1.2254	-2.0561	-0.72866	1.4469	1.3959	0.86784	-1.3367	1.2369	m0014	s05	m21	n02
1034470.6799	10736779.9809	1374092.5842	19427536.8562	1834774.9539	2996046.4924	4381781.0817	8086119.4342	42765.775	82285.146	84409.684	77856.9758	59185.3483	39013.766	69820.2017	58685.3634	7345.4545	456.5657	-8468.6869	-2915.1515	5739.3939	-7315.1515	-222.2222	-1496.9697	0	0.94268	0	0.99538	0.99971	1	0.31423	0.99836	0.29966	19	-0.10144	199	0.57812	78	0.84617	39	0.87365	105	0.62701	161	0.25878	98.6667	0.78228	101.6667	4652	12377	7341	4652	12377	7341	8123.3333	8123.3333	681233643	1281883549	20972842186	1926009848	206708764	297999823	7645319792.6667	810239478.3333	1.7271	-0.36793	-0.59807	-0.13508	1.2488	-0.073446	0.25371	0.34675	m0014	s05	m21	n02
3833715.9122	13580506.7955	3241115.7433	6182824.1288	3759279.5855	3617444.7693	6885112.817	4519849.4945	134805.506	113722.6184	134824.6193	125606.6507	128624.1946	68644.8744	127784.2479	107625.2399	12444.4444	23927.2727	-34.3434	-7173.7374	10206.0606	6905.0505	12112.4579	3312.4579	0.2864	0.98145	0	0.36592	0.72193	0.49992	0.42262	0.52926	0.50907	19	-0.10197	199	0.49412	28	0.38126	4	0.81333	60	0.32369	18	0.30041	82	0.50609	27.3333	9969	15373	8610	9969	15373	8610	11317.3333	11317.3333	1181917147	1364905093	20826279907	1565396089	616303054	733215468	7791034049	971638203.6667	0.32201	-0.12399	-0.26371	-0.099294	0.17189	0.24454	-0.021897	0.10571	m0014	s05	m21	n02
10224213.614	10557284.5837	2786841.3748	3556534.0752	18560709.2198	19282402.5758	7856113.1909	13799881.9569	166968.1637	138547.6237	128154.0629	141271.8477	131233.8663	86728.0365	144556.6168	119744.5835	10088.8889	7038.3838	14256.5657	-10452.5253	21274.7475	32410.101	10461.2795	14410.7744	0.2864	0.85545	0	0.55744	0.52936	0.98582	0.38062	0.69087	0.84366	69	-0.081645	1	0.47751	30	0.004257	193	0.44476	164	0.69841	62	0.41318	33.3333	0.38248	139.6667	13443	11415	8610	13443	11415	8610	11156	11156	3251483653	1689117625	21714215871	775979088	4583458856	1988185656	8884939049.6667	2449207866.6667	0.11259	0.27079	0.2797	-0.15618	0.12363	0.49689	0.22103	0.15478	m0014	s05	m21	n02
13917521.6666	20154751.7854	12856840.6435	14961647.5834	11918734.1616	35115432.8157	15643038.0318	20665271.5202	197841.2423	152938.7492	98255.7845	172743.2298	85494.7077	79893.5403	149678.592	112710.4926	5292.9293	-14808.0808	15286.8687	-10268.6869	-3610.101	7725.2525	1923.9057	-2051.1785	0	0.76017	0	0.76017	0	0	0.25339	0.25339	0.67822	121	-0.055949	1	0.54293	179	0.037914	7	0.15302	7	0.97904	70	0.3884	100.3333	0.38999	28	14450	16078	11008	14450	16078	11008	13845.3333	13845.3333	8444775683	2347014189	15160907619	2270711954	5920827998	12248342471	8650899163.6667	6813294141	0.083868	-0.66443	0.17953	0.29267	-0.034367	0.034677	-0.13368	0.097659	m0014	s05	m21	n02
7180148.1257	24463727.9979	4515120.0933	19807390.8746	13426587.457	12031434.1999	12052998.739	15088470.8438	175051.4891	150115.3159	103273.042	179828.2379	73952.6958	67879.9564	142813.2824	107220.2967	-4496.9697	-22567.6768	6185.8586	3117.1717	-30068.6869	-13602.0202	-6959.596	-13517.8451	0	0.98582	0	0.76017	0.82675	0	0.32861	0.52897	0.35085	172	-0.091264	1	0.65216	128	0.21491	11	-0.05576	1	0.71589	92	0.30391	100.3333	0.29168	34.6667	12030	16627	8359	12030	16627	8359	12338.6667	12338.6667	10646259252	2680279333	7784187064	3665556323	1858121764	16176813525	7036908549.6667	7233497204	-0.19024	-0.13072	-0.38178	0.69409	0.74913	0.10683	-0.23425	0.51668	m0014	s05	m21	n02
869879.564	20739436.9192	9072765.5025	13387390.5834	2941543.5519	18006406.3572	10227360.6619	11445113.4975	92240.0886	128167.4142	144339.1027	146833.097	68793.39	58532.5464	121582.2018	91386.3445	-4288.8889	4151.5152	-2127.2727	-11274.7475	-2244.4444	-19224.2424	-754.8822	-10914.4781	0	0.60984	0	0.469	0.99277	0.43647	0.20328	0.63275	0.048332	173	-0.066037	199	0.78682	122	0.69858	56	0.048879	7	0.54997	169	0.25637	164.6667	0.43248	77.3333	4017	15777	14313	4017	15777	14313	11369	11369	9104393330	4783789280	10974448565	3941346818	321346324	6280911818	8287543725	3514534986.6667	0.31311	0.76059	-0.46503	0.29908	-0.58207	-0.25983	0.20289	-0.18094	m0014	s05	m21	n02
1416052.139	18507654.0388	6202196.2198	10340302.3802	3336425.5025	6716001.0202	8708634.1325	6797576.301	96871.7928	100327.637	139158.3736	131848.1465	78780.9596	46759.76	112119.2678	85796.2887	5274.7475	20949.4949	-4210.101	10739.3939	7103.0303	-10250.5051	7338.0471	2530.6397	0	0.72193	0	0.2864	0.92482	0.85545	0.24064	0.68889	0.045873	29	-0.067757	199	0.69765	47	0.55746	159	-0.056351	1	0.38463	123	0.22525	91.6667	0.29525	94.3333	5171	13858	11552	5171	13858	11552	10193.6667	10193.6667	9092528004	3319871794	14503394176	3572990624	460117967	1052304590	8971931324.6667	1695137727	0.077427	-0.16367	-0.17501	0.1221	0.056499	0.46667	-0.087084	0.21509	m0014	s05	m21	n02
2238056.1329	4189972.5713	3109019.0319	17424726.4642	3214604.0302	2458546.8706	3179015.9121	7699292.455	84489.2534	67967.7701	89573.6952	106053.9923	80754.8554	48418.2744	80676.9062	78409.0407	-1082.8283	-1050.5051	-10333.3333	2935.3535	-12446.4646	13638.3838	-4155.5556	1375.7576	0	0.88129	0	0.93407	0.43647	0.89317	0.29376	0.75457	0.080183	140	-0.065279	199	0.6399	158	0.74077	26	0.32169	132	0.16787	191	0.21827	165.6667	0.41011	116.3333	5936	7220	7956	5936	7220	7956	7037.3333	7037.3333	9197652018	515031410	13906338008	2083400392	788697561	328019581	7873007145.3333	1066705844.6667	-0.10871	0.16881	0.094833	0.11685	-0.57838	0.41608	0.051644	-0.015148	m0014	s05	m21	n02
