AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
213613.9526	42138.7778	654155.4363	156433.1082	716531.8443	39591.1774	303302.7222	304185.3766	15025.5271	13566.0301	17359.8166	13084.8204	21147.7821	5402.7677	15317.1246	13211.7901	2876.7677	282.8283	6012.1212	-1593.9394	-5682.8283	1460.6061	3057.2391	-1938.7205	0	0.81128	0.40218	0	0.6577	0.99885	0.40449	0.55218	0.68813	111	0.0071158	193	0.012835	197	0.90041	12	0.5458	161	0.46006	185	0.23603	167	0.63542	119.3333	1807	929	3214	1807	929	3214	1983.3333	1983.3333	27473893089	6540260	116470431	488884387	102105425	3921224	9198967926.6667	198303678.6667	1.6389	-0.45622	1.2595	0.037894	-2.1173	0.86016	0.81403	-0.40641	m0007	s05	m20	n03
6762355.9413	102843.509	4553840.4827	883672.9587	40125443.6641	278867.0145	3806346.6443	13762661.2125	49377.1304	22967.1966	34348.6697	39314.2018	67742.7904	12138.1109	35564.3323	39731.7011	3345.4545	220.202	12666.6667	-6549.4949	-27844.4444	1109.0909	5410.7744	-11094.9495	0	0.94268	0	0	0.36592	0.14144	0.31423	0.16912	0.47934	162	-0.0065885	199	0.019204	7	0.94496	53	0.0010451	199	0.12416	8	0.16399	122.6667	0.35672	86.6667	8362	1304	6530	8362	1304	6530	5398.6667	5398.6667	21057286477	11277507	1474580623	446029209	7578361373	58594870	7514381535.6667	2694328484	0.8581	0.26377	0.15501	0.08438	-0.65895	0.91597	0.42563	0.1138	m0007	s05	m20	n03
4699464.2044	851139.1297	10107373.9394	6620254.2516	14707952.6136	654493.0529	5219325.7578	7327566.6394	76209.5808	70478.4543	66785.969	111232.2259	95106.5644	36970.5097	71158.0014	81103.1	4963.6364	357.5758	17751.5152	1658.5859	-11812.1212	3151.5152	7690.9091	-2334.0067	0	0.95067	0	0.19439	0	0.40218	0.31689	0.19886	0.13525	190	-0.039929	199	0.62596	96	0.7715	119	-0.052937	195	-0.055692	199	0.24043	161.6667	0.22096	171	7611	4245	11478	7611	4245	11478	7778	7778	18845122598	108366946	6669816456	1533656177	15643874965	143869590	8541102000	5773800244	0.87004	0.91797	0.8169	-0.77748	0.81376	0.56068	0.86831	0.19899	m0007	s05	m20	n03
7775216.061	933661.3312	11377515.614	9183180.5587	30999327.0112	3167195.9001	6695464.3354	14449901.1567	104653.624	86292.9027	119287.8769	144682.4597	160518.1849	63407.2009	103411.4678	122869.2818	9165.6566	-4636.3636	20484.8485	15341.4141	30555.5556	-1331.3131	8338.0471	14855.2189	0	0.77801	0	0.72193	0.60984	0.92482	0.25934	0.7522	0.14	3	-0.048411	199	0.78243	75	0.77402	121	0.78991	17	0.73931	20	0.29134	92.3333	0.76774	52.6667	8569	4508	13398	8569	4508	13398	8825	8825	16228043416	163769077	15866495045	1863246663	11007440437	313595119	10752769179.3333	4394760739.6667	0.20162	-0.06682	-0.014655	-0.11855	1.2541	-1.0169	0.04005	0.039528	m0007	s05	m20	n03
26913754.3535	847403.96	13295218.3135	4834122.3762	257423906.7373	2100039.8925	13685458.8757	88119356.3353	128452.5601	74418.2936	147060.2076	118929.6592	218699.3933	58428.2449	116643.6871	132019.0991	-5622.2222	505.0505	-19781.8182	5957.5758	64177.7778	-7347.4747	-8299.6633	20929.2929	0	0.93407	0	0.89317	0.93407	0.95804	0.31136	0.92843	0.072728	54	-0.013884	1	0.49643	47	0.19095	177	0.80372	70	0.34148	67	0.18509	34	0.44538	104.6667	16120	4159	18965	16120	4159	18965	13081.3333	13081.3333	22119968970	96063322	22036792686	730035250	33789661893	246831566	14750941659.3333	11588842903	-0.62471	-0.38615	-0.82317	-0.39664	0.18946	-1.282	-0.61134	-0.4964	m0007	s05	m20	n03
16346008.5126	773224.4218	75357283.303	2688125.812	74015209.2238	623835.4217	30825505.4125	25775723.4859	159577.4167	63415.6021	157695.8241	88987.3286	238740.6589	40029.8172	126896.2809	122585.9349	-12375.7576	3369.697	-39197.9798	-6624.2424	18121.2121	-3228.2828	-16068.0135	2756.229	0	0.9974	0.85545	0.79504	0	0.85545	0.61762	0.55016	0.4624	189	0.080414	11	0.56197	167	0.081207	2	0.58792	23	0.053403	195	0.36826	122.3333	0.24084	73.3333	14221	4221	27666	14221	4221	27666	15369.3333	15369.3333	29078556075	81315580	11975807856	535842669	39071270670	77437347	13711893170.3333	13228183562	-0.073139	0.0738	0.14117	0.086765	0.53474	0.43309	0.047275	0.35153	m0007	s05	m20	n03
5026079.5631	511562.6944	8367986.3365	1584025.3797	21122574.7273	654696.3762	4635209.5313	7787098.8277	135275.7692	47223.817	124722.4944	67655.9388	181343.1403	37258.7296	102407.3602	95419.2696	-2618.1818	1163.6364	-13395.9596	-4234.3434	-36321.2121	1351.5152	-4950.1684	-13068.0135	0	0.99277	0.76017	0.469	0	0.77801	0.58431	0.41567	0.1942	183	0.81	61	0.50306	17	0.080605	7	0.7793	81	0.16871	180	0.50242	87	0.34287	89.3333	11429	2945	10982	11429	2945	10982	8452	8452	23575901017	57696387	1603290245	516379749	9709631554	99124076	8412295883	3441711793	-0.13896	0.98999	0.70137	0.016092	0.71943	0.82592	0.51747	0.52048	m0007	s05	m20	n03
440150.4772	261313.5001	1004828.1378	171524.2974	6591552.9216	161738.8763	568764.0384	2308272.0318	50657.9498	28443.9268	40075.9279	23660.648	44570.6295	20652.4193	39725.9348	29627.8989	4202.0202	-3224.2424	-3410.101	1204.0404	-23440.404	1848.4848	-810.7744	-6795.9596	0	0.99538	0	0	0.469	0.43647	0.33179	0.30182	0.66273	24	0.98127	100	0.42595	176	0.049255	6	0.88047	121	0.44327	190	0.68998	100	0.45766	105.6667	4167	1814	3826	4167	1814	3826	3269	3269	23477857320	25924933	2639577506	308079100	1865873762	56697411	8714453253	743550091	0.36552	-0.21273	1.4081	0.0025404	0.67563	-0.11744	0.5203	0.18691	m0007	s05	m20	n03
121605.4731	172697.5445	129678.0052	202969.8031	1898304.3607	73853.6302	141327.0076	725042.598	21204.8308	17898.2308	19325.6411	18013.3396	25784.1546	9807.3359	19476.2342	17868.2767	-369.697	-1377.7778	-909.0909	-3557.5758	-5002.0202	2171.7172	-885.5219	-2129.2929	0	0.86872	0	0	0.72193	0.60984	0.28957	0.44392	0.77176	75	0.99721	100	0.73505	122	-0.047145	1	0.89747	150	0.12121	4	0.83467	99	0.32385	51.6667	1348	1501	1668	1348	1501	1668	1505.6667	1505.6667	23792886410	22952005	3079151223	420066011	324300809	16054767	8964996546	253473862.3333	-0.079393	0.32137	-0.59593	0.35239	0.59636	0.22837	-0.11798	0.39238	m0007	s05	m20	n03
102432.5205	53014.6822	118421.9582	126796.3286	373076.0303	37012.9205	91289.7203	178961.7598	20353.1051	15118.005	20778.3006	18417.1418	22802.4852	10598.7071	18749.8036	17272.778	-229.6296	3177.7778	985.1852	-4622.2222	5255.5556	1418.5185	1311.1111	683.9506	0	0.49717	0	0	0.68404	0.94566	0.16572	0.54323	0.79585	58	0.99777	55	0.79602	56	0.11318	108	0.57009	67	0.36226	27	0.86321	56.3333	0.34851	67.3333	1152	991	1322	1152	991	1322	1155	1155	13009260578	7429322	1696682775	297971828	40380462	2168278	4904457558.3333	113506856	0.38248	-0.40902	-1.5075	0.048561	0.36504	-0.22004	-0.51135	0.064521	m0007	s05	m20	n03
