AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
766428.7534	135864.3984	1024056.1312	7907573.2832	3127405.8945	1769222.0423	642116.4277	4268067.0734	25990.5422	13649.5236	14947.0446	51950.7031	25387.7804	22628.6937	18195.7035	33322.3924	1468.6869	-654.5455	5054.5455	9400	4688.8889	-1315.1515	1956.229	4257.9125	0	0	0	0.98582	0.95067	0.9765	0	0.971	0.99673	100	-0.044906	199	-0.044906	199	0.81277	103	0.70728	131	0.83822	126	0.3023	166	0.78609	120	3628	1347	3223	3628	1347	3223	2732.6667	2732.6667	25104034015	3152632182	464661345	791107332	375161638	176267907	9573775847.3333	447512292.3333	-0.9123	-0.66477	1.029	1.2803	1.0849	0.59355	-0.1827	0.98626	m0009	s05	m11	n06
2284252.0658	412271.0703	661349.9736	15990368.7337	3382077.0201	2922478.1794	1119291.0366	7431641.3111	39779.869	26048.2613	21976.3785	95514.2572	37209.2798	43401.4383	29268.1696	58708.3251	-7466.6667	2503.0303	-1311.1111	16365.6566	9892.9293	-10125.2525	-2091.5825	5377.7778	0	0	0	0.95067	0.90438	0.95804	0	0.9377	0.98236	100	-0.030545	1	-0.030545	1	0.68734	102	0.72804	129	0.67871	126	0.30709	34	0.69803	119	5523	2744	3222	5523	2744	3222	3829.6667	3829.6667	26567203735	3334403980	783547497	1602445244	507619279	303438886	10228385070.6667	804501136.3333	-0.43734	1.1408	-0.054047	0.63969	0.39495	-0.46854	0.21648	0.1887	m0009	s05	m11	n06
6753250.6501	3061355.8403	6846677.8933	55648154.6731	11398195.6105	14749650.0585	5553761.4612	27265333.4474	85002.3125	55930.0284	46790.3728	135291.8267	64126.4439	77866.2308	62574.2379	92428.1672	1579.798	206.0606	-12238.3838	-33000	-20155.5556	15519.1919	-3484.1751	-12545.4545	0	0	0.92482	0.99971	0.90438	0.98959	0.30827	0.96456	0.90458	100	0.6342	17	0.63796	17	0.91231	99	0.88779	67	0.67113	67	0.72558	44.6667	0.82374	77.6667	9777	6938	8984	9777	6938	8984	8566.3333	8566.3333	26017733296	3451866447	713840314	5537956976	1297900104	1460407989	10061146685.6667	2765421689.6667	0.011758	0.088152	-0.8444	0.25245	-0.73789	-0.077491	-0.24816	-0.18764	m0009	s05	m11	n06
6173981.3636	3523154.0202	2498123.1858	59355762	18608175.8524	15232562.8687	4065086.1899	31065500.2404	88271.3951	57969.3754	47969.3884	128946.7387	83245.231	78023.0632	64736.7196	96738.3443	2606.0606	-5228.2828	-6882.8283	-31090.9091	-19698.9899	10109.0909	-3168.3502	-13560.2694	0	0	0.63431	0.94268	0.98582	0.91493	0.21144	0.94781	0.94812	83	0.93438	67	0.92464	96	0.9482	99	0.62521	180	0.63039	180	0.93572	82	0.7346	153	9777	6938	6447	9777	6938	6447	7720.6667	7720.6667	22907387916	4121208648	618959335	5938377894	1887409483	1573439468	9215851966.3333	3133075615	-0.73153	0.61319	0.027645	0.58778	0.15698	-0.49714	-0.030233	0.08254	m0009	s05	m11	n06
2572373.2489	1378006.1733	1788202.1471	20679713.541	8020761.941	5067408.5312	1912860.5231	11255961.3377	60657.1754	37681.7401	28220.6171	100915.5503	69846.8194	44428.9741	42186.5109	71730.4479	-2723.2323	1531.3131	3208.0808	16525.2525	5169.697	-16032.3232	672.0539	1887.5421	0	0	0.81128	0.90438	0.91493	0.99885	0.27043	0.93938	0.96618	100	0.95571	140	0.93274	140	0.95817	102	0.64722	175	0.6217	62	0.95154	126.6667	0.74236	113	5423	4143	3886	5423	4143	3886	4484	4484	23215824016	3719378832	353688010	2506587974	1090680272	501681031	9096296952.6667	1366316425.6667	-0.52338	-0.0085104	0.35059	0.24641	-0.066992	0.31119	-0.060434	0.16354	m0009	s05	m11	n06
909307.2132	673200.8359	793581.9211	13359218.4254	5000529.0314	4089971.6779	792029.9901	7483239.7115	46842.1592	29533.6275	25232.3025	74992.2824	48326.7373	35277.9726	33869.3631	52865.6641	2850.5051	4153.5354	2282.8283	17963.6364	14600	5197.9798	3095.6229	12587.2054	0	0	0.81128	0.92482	0.9648	0.9648	0.27043	0.95147	0.98352	100	0.66445	190	0.65532	191	0.89256	102	0.50483	48	0.62853	127	0.76776	160.3333	0.67531	92.3333	4383	3412	3796	4383	3412	3796	3863.6667	3863.6667	26715547247	2237228393	109321617	1353791721	563748291	442137939	9687365752.3333	786559317	0.16667	-1.0268	-0.53417	-0.32618	-0.11687	0.4569	-0.46475	0.0046177	m0009	s05	m11	n06
984289.9332	680102.2865	809345.5657	1713538.9344	4668063.2117	3712564.591	824579.2618	3364722.2457	18530.0956	18163.7334	19150.6626	22265.3239	24117.1719	21739.0214	18614.8306	22707.1724	3917.1717	-1828.2828	-2155.5556	6824.2424	11066.6667	8937.3737	-22.2222	8942.7609	0	0	0	0.98582	0.94268	0.74148	0	0.88999	0.97616	100	0.93855	62	0.94587	83	0.9558	100	0.81007	110	0.93168	111	0.95353	81.6667	0.89918	107	3302	2477	2822	3302	2477	2822	2867	2867	25007153853	2433588320	314184612	170336411	489489066	643293167	9251642261.6667	434372881.3333	0.85989	-0.12912	-0.065511	-0.16883	-0.62862	-0.88248	0.22175	-0.55998	m0009	s05	m11	n06
738017.0476	327912.4052	270344.5304	1765184.7001	2906628.1531	6914464.1875	445424.661	3862092.3469	21205.8883	18855.3987	20982.8116	34831.4499	23919.7649	20943.9078	20348.0329	26565.0408	-1018.1818	-866.6667	-850.5051	-4561.6162	-8715.1515	-14577.7778	-911.7845	-9284.8485	0	0	0	0.92482	0.95067	0.93407	0	0.93652	0.98972	100	0.97608	100	0.9754	100	0.74138	100	0.71958	88	0.9342	100	0.9804	100	0.79839	96	3280	2407	1884	3280	2407	1884	2523.6667	2523.6667	22985123197	3239793997	592457035	179968571	372171856	733655232	8939124743	428598553	0.24456	-0.47474	0.7694	-0.41481	-0.3815	-0.50279	0.17974	-0.43303	m0009	s05	m11	n06
5143451.543	1284675.2703	5981943.9923	3577491.0347	1722763.8687	4574760.2929	4136690.2686	3291671.7321	69257.8056	38168.0653	28772.8337	55461.2213	24578.0883	45973.8705	45399.5682	42004.3934	-3791.9192	4381.8182	9876.7677	1492.9293	-5131.3131	-2808.0808	3488.8889	-2148.8215	0	0	0.9648	0.76017	0.55744	0.94268	0.3216	0.75343	0.9681	100	0.73773	142	0.73328	142	0.73071	100	0.82789	129	0.63739	120	0.81304	128	0.732	116.3333	9532	4161	6830	9532	4161	6830	6841	6841	26127829090	2794202958	614139198	638653808	281539848	511991238	9845390415.3333	477394964.6667	-1.0019	0.27426	0.54006	0.061296	0.70297	0.18463	-0.062542	0.3163	m0009	s05	m11	n06
5080531.5456	1067861.6205	2900275.201	6547916.0236	1138510.4789	4563479.3809	3016222.789	4083301.9611	73341.4977	40283.0435	29486.5271	54564.3543	23712.7188	55276.1647	47703.6894	44517.7459	3384.2697	-835.9551	9186.5169	7112.3596	1546.0674	5496.6292	3911.6105	4718.3521	0	0	0.53572	0.97708	0.65002	0.97095	0.17857	0.86602	0.97651	90	0.16456	172	0.16439	172	0.60732	90	0.71094	120	0.45572	169	0.43515	144.6667	0.59132	126.3333	9532	4016	6360	9532	4016	6360	6636	6636	24268194002	2269681462	780467964	664657795	264807486	458540297	9106114476	462668526	-0.88032	0.26303	-1.222	-0.029624	0.072842	-0.28665	-0.61309	-0.081144	m0009	s05	m11	n06
