AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
58312.1918	145412.5151	314612.0994	323213.7632	1436909.7231	77285.3183	172778.9354	612469.6015	16555.6789	24413.1692	21606.1533	32746.0261	25407.6104	14404.124	20858.3338	24185.9201	-921.2121	-1892.9293	-2484.8485	5385.8586	9531.3131	-2711.1111	-1766.33	4068.6869	0	0	0	0.77801	0.6577	0.2864	0	0.57404	-0.033707	1	0.99007	100	-0.0952	199	0.59449	84	0.45959	4	0.44033	3	0.28706	100	0.49814	30.3333	1115	2098	2604	1115	2098	2604	1939	1939	27179679901	312645285	1366347430	33763872	143665169	13854833	9619557538.6667	63761291.3333	-0.7579	0.61892	-1.1157	2.3603	2.3047	-2.7239	-0.41822	0.64707	m0002	s05	m14	n05
131081.3304	6637164.5918	2918451.6819	6318126.6529	12765077.1135	31151381.7576	3228899.2014	16744861.8413	30571.2547	45154.7776	33396.0985	73063.5699	34525.8972	53545.9059	36374.0436	53711.791	-1852.5253	-14547.4747	-10513.1313	10674.7475	18814.1414	-37068.6869	-8971.0438	-2526.5993	0	0.95067	0	0.91493	0.91493	0.99277	0.31689	0.94088	0.81339	19	0.9522	100	0.3891	148	0.8912	89	0.88455	22	0.94624	30	0.71823	89	0.90733	47	1971	8376	6673	1971	8376	6673	5673.3333	5673.3333	27704499671	658095157	2939704021	1050035838	2461068720	4824044590	10434099616.3333	2778383049.3333	-0.014689	-1.0241	-0.57929	0.43153	-0.058195	-0.95524	-0.53936	-0.19397	m0002	s05	m14	n05
5559940.8105	11672327.7223	2277752.2767	2482899.7943	1906894.1531	37233480.4671	6503340.2698	13874424.8048	63905.6154	68150.3181	64593.8265	85901.5739	56779.6876	77747.7039	65549.92	73476.3218	15298.9899	-16163.6364	-7836.3636	-937.3737	-88.8889	-13632.3232	-2900.3367	-4886.1953	0	0.55744	0	0	0	0	0.18581	0	0.97078	66	0.95651	100	0.90438	100	0.93183	103	-0.011259	199	-0.011259	199	0.94389	88.6667	0.30311	167	8174	11062	5099	8174	11062	5099	8111.6667	8111.6667	23514078354	3580699413	5974639969	2144204264	4687462534	20549110844	11023139245.3333	9126925880.6667	1.1124	0.46925	0.42957	-0.46635	-0.10387	0.24168	0.67042	-0.10951	m0002	s05	m14	n05
9507253.2723	3483089.3984	394276.991	5780491.1673	11688321.8363	77901025.0691	4461539.8872	31789946.0242	63206.3064	66538.3826	75804.9144	67970.5522	62792.5235	72014.1541	68516.5345	67592.4099	17763.6364	-14038.3838	-2381.8182	-9523.2323	-17741.4141	37812.1212	447.8114	3515.8249	0	0	0	0.74148	0.84146	0.81128	0	0.79808	0.91416	100	0.95806	100	0.98235	100	0.96347	102	0.33751	169	0.7013	171	0.95152	100	0.66743	147.3333	9485	6949	3217	9485	6949	3217	6550.3333	6550.3333	13091826882	8485087758	7913235349	1164889224	2525855277	16075377142	9830049996.3333	6588707214.3333	-0.71113	-0.67273	0.095965	0.25572	-0.045856	-0.12768	-0.4293	0.027395	m0002	s05	m14	n05
127368.1515	2866231.0807	289014.9127	1731845.3676	2123537.0363	3086768.688	1094204.715	2314050.3639	30344.2471	51038.2863	58978.5991	56198.1451	42914.2391	41261.8835	46787.0442	46791.4226	2949.4949	-6206.0606	-1858.5859	-6781.8182	-11088.8889	14937.3737	-1705.0505	-977.7778	0	0	0	0.93407	0.82675	0.85545	0	0.87209	0.98472	100	0.99674	100	0.99164	100	0.58882	99	0.90886	176	0.86442	186	0.99103	100	0.78737	153.6667	1812	6255	2020	1812	6255	2020	3362.3333	3362.3333	6955665072	12740571299	8734286214	199298365	210453801	352262225	9476840861.6667	254004797	-0.97327	0.77937	0.10848	-0.31974	1.3477	-2.0709	-0.028474	-0.34765	m0002	s05	m14	n05
36751.5903	769807.7231	256361.5163	1824580.3156	527711.061	357040.6933	354306.9432	903110.69	19088.9042	38839.8421	36745.3536	44373.1013	25350.377	17510.7701	31558.0333	29078.0828	816.1616	5119.1919	1836.3636	2185.8586	1729.2929	3268.6869	2590.5724	2394.6128	0	0	0	0.9974	0.79504	0.91493	0	0.90246	0.9968	100	0.99854	100	0.99699	100	0.7394	73	0.72311	100	0.49149	127	0.99744	100	0.65133	100	950	3430	2345	950	3430	2345	2241.6667	2241.6667	6796431066	13724782259	9458004401	195129746	84206588	35817076	9993072575.3333	105051136.6667	-0.11467	-0.43194	-0.0026857	-0.63253	0.30711	1.4503	-0.1831	0.37496	m0002	s05	m14	n05
707988.0509	456896.0278	702675.8888	738938.4116	4447948.2626	5557935.8759	622519.9892	3581607.5167	27796.33	25523.8767	23558.9439	37564.8503	28195.0565	22083.7433	25626.3835	29281.2167	-8157.5758	3414.1414	2828.2828	-3872.7273	-9682.8283	14620.202	-638.3838	354.8822	0	0	0	0.49992	0.85545	0.72193	0	0.69243	0.99102	100	0.98679	100	0.99801	100	0.32203	3	0.74396	51	0.016194	167	0.99194	100	0.36073	73.6667	4304	3715	3297	4304	3715	3297	3772	3772	7798891882	12068684159	8576878585	100533959	728599362	1142802695	9481484875.3333	657312005.3333	-1.8306	-0.39336	0.071564	-1.4191	-0.58608	0.22309	-0.71746	-0.59402	m0002	s05	m14	n05
5483338.2702	4254810.3106	2198986.7203	12319136.1519	6727949.2097	7679402.2799	3979045.1004	8908829.2138	85286.3886	144404.6965	104546.4065	224995.0554	90438.0808	78401.747	111412.4972	131278.2944	-7183.8384	1703.0303	-717.1717	-12509.0909	-10804.0404	15006.0606	-2065.9933	-2769.0236	0	0	0	0.99277	0.36592	0	0	0.4529	0.94369	100	0.94465	100	0.97197	98	0.54295	122	0.75628	43	0.34558	7	0.95344	99.3333	0.54827	57.3333	9378	11621	6946	9378	11621	6946	9315	9315	12909958545	10686867301	7140555379	1327829372	2607949834	5138425349	10245793741.6667	3024734851.6667	-0.76116	1.0531	1.14	-1.1894	-0.102	0.76838	0.47729	-0.17434	m0002	s05	m14	n05
8825151.3813	24235326.7979	3726492.4481	20931264.7539	5751963.3999	4933028.8218	12262323.5424	10538752.3252	97534.8619	200850.1255	132261.3315	269877.2628	103280.3051	86716.2469	143548.773	153291.2716	-9096.9697	6559.596	6648.4848	-14163.6364	8636.3636	5713.1313	1370.3704	61.9529	0	0.6577	0	0.55744	0	0	0.21923	0.18581	0.91708	133	0.91773	100	0.83562	96	0.72992	89	-0.075987	199	-0.075987	199	0.89014	109.6667	0.19265	162.3333	9546	17316	7052	9546	17316	7052	11304.6667	11304.6667	22434354047	6201881911	5413359738	3877969242	4674037679	9156128814	11349865232	5902711911.6667	-0.49534	0.24998	-0.22839	-0.25076	0.039123	-0.051753	-0.15792	-0.087795	m0002	s05	m14	n05
4555829.6052	10770721.0177	3459378.7817	29362692.0496	8951947.8233	15434519.7378	6261976.4682	17916386.5369	61470.5612	150284.9953	110917.2665	191649.8607	76649.2365	56998.7134	107557.6077	108432.6035	-11185.8586	19268.6869	11353.5354	15816.1616	9191.9192	-17870.7071	6478.7879	2379.1246	0	0.95804	0	0.95804	0	0	0.31935	0.31935	0.83516	183	0.92423	100	0.5512	78	0.71272	90	0.5354	158	-0.012535	1	0.7702	120.3333	0.41186	83	9130	13608	8986	9130	13608	8986	10574.6667	10574.6667	27381576619	1330802813	2723733063	3425393075	3267126547	5926174160	10478704165	4206231260.6667	0.41207	-1.3305	-0.16909	-0.23708	-0.21456	-0.056775	-0.3625	-0.16947	m0002	s05	m14	n05
338275.768	1495582.9456	878389.3526	8449613.6732	3451550.1604	5032111.7841	904082.6887	5644425.2059	31001.2156	60176.1799	58123.4947	122561.6442	46552.6301	38216.4858	49766.9634	69110.2534	341.0526	12334.7368	-1353.6842	16353.6842	6797.8947	-19581.0526	3774.0351	1190.1754	0	0.90753	0	0.96846	0.89604	0.48207	0.30251	0.78219	0.65851	168	0.96685	96	0.37894	26	0.78787	168	0.87467	107	0.6666	152	0.6681	96.6667	0.77638	142.3333	2806	6132	5254	2806	6132	5254	4730.6667	4730.6667	26084185720	142419768	1224845326	842417264	513876819	795193465	9150483604.6667	717162516	1.4932	-1.477	0.02025	0.48605	-1.0643	1.6155	0.012142	0.34576	m0002	s05	m14	n05
