Accl X	Accl Y	Accl Z	Gyro X	Gyro Y	Gyro Z	Mag X	Mag Y	Mag Z	RPkt#	Rtime	LPkt#	Ltime
-16416	-2502	-198	307	-383	128	73	-17	-113	0	0	0	71836546
-16452	-2500	-216	311	-384	129	73	-17	-113	1	5	1	71836547
-16450	-2498	-136	303	-378	136	76	-20	-110	2	10	2	71836548
-16408	-2460	-296	317	-374	143	76	-20	-110	3	15	3	71836549
-16424	-2482	-136	359	-376	149	83	-21	-109	4	21	4	71836550
-16326	-2488	-124	387	-357	150	83	-21	-109	5	26	5	71836551
-16324	-2490	-164	413	-333	152	75	-21	-105	6	31	6	71836552
-16284	-2516	-68	450	-304	162	75	-21	-105	7	35	7	71836552
-16218	-2530	-166	489	-286	160	78	-16	-104	8	40	8	71836554
-16236	-2450	-94	516	-264	164	78	-16	-104	9	45	9	71836556
-16222	-2516	44	541	-254	160	79	-15	-111	10	50	10	71836570
-16202	-2572	70	575	-229	159	79	-15	-111	11	55	11	71836571
-16228	-2578	58	591	-219	156	79	-19	-105	12	60	12	71836571
-16236	-2600	26	601	-240	145	79	-19	-105	13	65	13	71836572
-16172	-2680	126	594	-253	132	77	-11	-105	14	70	14	71836573
-16164	-2654	-10	567	-267	114	77	-11	-105	15	75	15	71836573
-16228	-2736	-40	528	-294	90	82	-14	-102	16	79	16	71836574
-16238	-2684	-174	473	-328	62	82	-14	-102	17	84	17	71836575
-16270	-2638	-218	440	-363	28	77	-17	-105	18	89	18	71836575
-16352	-2634	-202	424	-379	4	77	-17	-105	19	94	19	71836576
-16418	-2518	-78	464	-390	1	79	-13	-107	20	99	20	71836577
-16478	-2474	44	541	-380	8	79	-13	-107	21	105	21	71836622
-16496	-2394	124	657	-348	27	73	-15	-111	22	110	22	71836624
-16356	-2416	222	818	-296	58	73	-15	-111	23	115	23	71836625
-16260	-2584	166	1012	-295	135	77	-23	-105	24	119	24	71836626
-16164	-2722	-52	1203	-321	201	77	-23	-105	25	124	25	71836626
-16164	-2876	-132	1404	-363	259	72	-14	-110	26	129	26	71836627
-16070	-3072	-308	1552	-416	326	72	-14	-110	27	134	27	71836628
-16002	-2966	-492	1621	-455	389	83	-21	-105	28	139	28	71836628
-16058	-2920	-696	1644	-563	415	83	-21	-105	29	144	29	71836629
-16116	-2754	-632	1563	-731	428	82	-14	-104	30	149	30	71836630
-16180	-2578	-700	1403	-876	403	82	-14	-104	31	154	31	71836672
-16460	-2320	-422	1212	-986	367	76	-24	-108	32	159	32	71836673
-16610	-2182	-268	1090	-1002	338	76	-24	-108	33	163	33	71836674
-16610	-2096	-110	1072	-960	314	80	-20	-98	34	168	34	71836675
-16632	-2000	-116	1080	-866	296	80	-20	-98	35	173	35	71836675
-16638	-2088	-86	1116	-759	301	79	-17	-105	36	178	36	71836725
-16544	-2178	-6	1136	-669	309	79	-17	-105	37	183	37	71836749
-16462	-2242	-152	1150	-599	322	80	-22	-106	38	188	38	71836750
-16380	-2328	-88	1113	-558	341	80	-22	-106	39	194	39	71836751
-16356	-2428	-120	1081	-527	343	84	-20	-102	40	199	40	71836751
-16420	-2410	-32	1050	-480	344	84	-20	-102	41	203	41	71836752
-16528	-2196	126	1059	-431	347	70	-18	-104	42	208	42	71836753
-16606	-2028	436	1155	-342	337	70	-18	-104	43	213	43	71836754
-16698	-1944	672	1344	-227	347	80	-18	-104	44	218	44	71836754
-16700	-1992	786	1575	-110	377	80	-18	-104	45	223	45	71836755
-16558	-2144	606	1769	-9	373	79	-15	-107	46	228	46	71836756
-16420	-2314	570	1937	46	363	79	-15	-107	47	233	47	71836799
-16310	-2436	566	1983	83	323	78	-20	-110	48	238	48	71836800
-16146	-2540	398	2001	128	275	78	-20	-110	49	242	49	71836801
-15882	-2800	504	2071	163	256	82	-10	-104	50	247	50	71836801
-15664	-2996	314	2194	187	241	82	-10	-104	51	252	51	71836802
-15246	-3264	44	2398	170	238	75	-15	-109	52	257	52	71836803
-15034	-3446	-144	2527	60	238	75	-15	-109	53	262	53	71836803
-14944	-3526	-394	2530	-129	211	75	-9	-105	54	267	54	71836804
-14988	-3614	-588	2280	-363	133	75	-9	-105	55	272	55	71836804
-15116	-3566	-682	1746	-626	-4	83	-21	-105	56	277	56	71836806
-15400	-3372	-904	1112	-875	-159	83	-21	-105	57	283	57	71836809
-15710	-3142	-772	455	-1077	-290	85	-13	-103	58	287	58	71836811
-16174	-2772	-678	-146	-1206	-419	85	-13	-103	59	292	59	71836813
-16566	-2444	-684	-626	-1260	-521	81	-19	-107	60	297	60	71836815
-17056	-2198	-468	-870	-1296	-549	81	-19	-107	61	302	61	71836816
-17392	-1918	-466	-909	-1246	-526	79	-13	-99	62	307	62	71836828
-17558	-1792	-376	-788	-1151	-441	79	-13	-99	63	312	63	71836854
-17616	-1658	-342	-561	-1084	-325	79	-19	-105	64	317	64	71836855
-17604	-1650	-392	-384	-1036	-199	79	-19	-105	65	322	65	71836856
-17364	-1598	-300	-253	-998	-80	78	-20	-102	66	326	66	71836858
-17170	-1690	-402	-157	-958	20	78	-20	-102	67	331	67	71836859
-16972	-1888	-432	-119	-925	101	75	-15	-105	68	336	68	71836860
-16738	-2092	-302	-100	-876	150	75	-15	-105	69	341	69	71836862
-16516	-2220	-394	-44	-813	193	81	-19	-103	70	346	70	71836878
-16380	-2358	-322	50	-726	214	81	-19	-103	71	351	71	71836881
-16292	-2384	-288	102	-636	204	84	-16	-102	72	356	72	71836884
-16156	-2564	-96	168	-538	205	84	-16	-102	73	361	73	71836885
-16234	-2520	-358	243	-436	174	76	-20	-102	74	366	74	71836940
-16160	-2678	-276	356	-334	137	76	-20	-102	75	371	75	71836941
-16172	-2656	-290	529	-229	117	81	-17	-101	76	376	76	71836943
-16086	-2710	-294	716	-140	96	81	-17	-101	77	381	77	71836944
-16018	-2724	-442	843	-87	59	82	-22	-102	78	386	78	71836944
-16136	-2656	-428	869	-81	24	82	-22	-102	79	391	79	71836946
-16108	-2700	-418	873	-77	-41	79	-19	-107	80	396	80	71836947
-16170	-2666	-324	865	-93	-90	79	-19	-107	81	401	81	71836948
-16178	-2600	-210	800	-93	-144	80	-22	-106	82	406	82	71836949
-16234	-2600	-272	759	-124	-172	80	-22	-106	83	410	83	71836950
-16254	-2546	-280	683	-131	-181	73	-17	-107	84	415	84	71836983
-16282	-2480	-240	636	-185	-180	73	-17	-107	85	420	85	71836984
-16376	-2420	-292	602	-237	-153	81	-21	-107	86	425	86	71836984
-16402	-2308	-254	609	-286	-112	81	-21	-107	87	430	87	71836985
-16446	-2268	-232	625	-287	-83	82	-18	-106	88	435	88	71836986
-16416	-2170	-354	650	-271	-51	82	-18	-106	89	440	89	71836987
-16394	-2200	-260	655	-262	-13	79	-21	-109	90	445	90	71836988
-16392	-2198	-190	671	-237	-1	79	-21	-109	91	450	91	71836989
-16464	-2076	-82	717	-209	44	86	-22	-104	92	455	92	71836990
-16440	-2134	-100	829	-151	92	86	-22	-104	93	460	93	71836991
-16452	-2264	10	938	-112	129	83	-19	-103	94	465	94	71836992
-16498	-2184	134	978	-90	156	83	-19	-103	95	470	95	71836994
-16330	-2238	140	1019	-53	168	83	-17	-101	96	475	96	71836995
-16320	-2410	102	1111	-27	184	83	-17	-101	97	480	97	71837012
-16294	-2600	144	1205	-8	168	83	-15	-101	98	485	98	71837012
-16250	-2834	56	1241	-18	163	83	-15	-101	99	490	99	71837034
-16176	-2888	58	1206	-39	134	75	-19	-103	100	494	100	71837075
-16122	-2968	-70	1162	-96	90	75	-19	-103	101	499	101	71837075
-16092	-2994	-94	1124	-129	49	80	-18	-106	102	504	102	71837076
-16114	-3030	10	1064	-169	-10	80	-18	-106	103	509	103	71837076
-16132	-2972	-178	984	-187	-65	79	-19	-103	104	514	104	71837077
-16144	-2980	-276	879	-200	-105	79	-19	-103	105	519	105	71837077
-16208	-2938	-274	786	-245	-132	74	-16	-104	106	524	106	71837078
-16294	-2850	-248	707	-296	-150	74	-16	-104	107	529	107	71837078
-16286	-2774	-248	664	-337	-136	80	-16	-100	108	534	108	71837079
-16364	-2718	-170	610	-367	-108	80	-16	-100	109	538	109	71837117
-16432	-2740	-140	579	-391	-89	75	-15	-101	110	544	110	71837166
-16392	-2632	-86	561	-382	-89	75	-15	-101	111	549	111	71837169
-16388	-2618	-6	549	-356	-93	85	-17	-99	112	554	112	71837170
-16382	-2624	60	520	-344	-106	85	-17	-99	113	559	113	71837171
-16346	-2608	128	525	-325	-105	82	-18	-102	114	564	114	71837172
-16352	-2644	154	537	-309	-112	82	-18	-102	115	569	115	71837173
-16346	-2672	150	522	-314	-128	80	-20	-102	116	574	116	71837173
-16312	-2710	298	505	-331	-138	80	-20	-102	117	578	117	71837176
-16280	-2714	192	503	-346	-128	84	-16	-102	118	583	118	71837176
-16302	-2856	270	563	-358	-118	84	-16	-102	119	588	119	71837177
-16268	-2898	164	629	-377	-79	77	-19	-105	120	593	120	71837178
-16238	-2854	60	691	-382	-52	77	-19	-105	121	598	121	71837178
-16178	-2958	-92	685	-419	-38	80	-20	-102	122	603	122	71837179
-16086	-2836	-172	583	-440	-46	80	-20	-102	123	608	123	71837179
-16148	-2724	-174	499	-460	-76	86	-20	-102	124	613	124	71837180
-16180	-2724	-194	404	-440	-78	86	-20	-102	125	617	125	71837180
-16178	-2690	-178	376	-418	-86	74	-20	-102	126	622	126	71837181
-16200	-2676	-386	345	-401	-74	74	-20	-102	127	627	127	71837181
-16232	-2714	-214	319	-414	-72	80	-18	-102	128	633	128	71837182
-16178	-2704	-266	288	-429	-64	80	-18	-102	129	638	129	71837183
-16234	-2662	-260	297	-408	-57	84	-16	-98	130	643	130	71837184
-16276	-2612	-158	284	-385	-40	84	-16	-98	131	648	131	71837184
-16314	-2652	-174	305	-347	-32	75	-17	-107	132	653	132	71837184
-16366	-2660	-324	368	-346	-35	75	-17	-107	133	658	133	71837185
-16218	-2656	-234	339	-324	-39	82	-24	-102	134	662	134	71837192
-16336	-2746	-310	323	-340	-31	82	-24	-102	135	667	135	71837193
-16308	-2680	-330	281	-333	-29	89	-19	-101	136	672	136	71837194
-16322	-2710	-334	224	-326	-41	89	-19	-101	137	677	137	71837194
-16404	-2884	-410	134	-313	-59	83	-17	-99	138	682	138	71837195
-16326	-2850	-460	26	-303	-82	83	-17	-99	139	687	139	71837196
-16376	-2970	-608	54	-266	-100	82	-18	-100	140	692	140	71837197
-16318	-2912	-682	-5	-251	-109	82	-18	-100	141	697	141	71837198
-16300	-2972	-682	-10	-213	-147	79	-19	-101	142	701	142	71837229
-16288	-3062	-586	-77	-201	-191	79	-19	-101	143	706	143	71837234
-16318	-2904	-538	-222	-190	-224	79	-23	-103	144	711	144	71837235
-16372	-2912	-568	-293	-189	-260	79	-23	-103	145	716	145	71837237
-16526	-2688	-510	-389	-225	-292	77	-13	-109	146	722	146	71837238
-16476	-2666	-212	-361	-214	-303	77	-13	-109	147	727	147	71837238
-16580	-2698	-4	-365	-249	-288	81	-19	-105	148	732	148	71837239
-16350	-2524	-58	-340	-237	-284	81	-19	-105	149	737	149	71837239
-16414	-2558	-148	-364	-335	-263	82	-14	-106	150	742	150	71837240
-16194	-2624	-4	-464	-401	-263	82	-14	-106	151	746	151	71837240
-16092	-2612	-22	-535	-468	-267	76	-20	-106	152	751	152	71837243
-16104	-2624	34	-646	-550	-267	76	-20	-106	153	756	153	71837266
-16042	-2460	110	-750	-636	-274	82	-22	-106	154	761	154	71837268
-15978	-2512	128	-787	-680	-281	82	-22	-106	155	766	155	71837269
-16048	-2650	4	-729	-711	-269	83	-17	-103	156	771	156	71837269
-16066	-2598	-120	-650	-740	-240	83	-17	-103	157	776	157	71837270
-16082	-2602	-78	-561	-772	-207	79	-17	-99	158	781	158	71837271
-16180	-2612	-122	-476	-780	-189	79	-17	-99	159	785	159	71837271
-16150	-2558	-14	-398	-765	-178	88	-18	-106	160	790	160	71837272
-16212	-2484	-186	-316	-759	-149	88	-18	-106	161	795	161	71837273
-16300	-2498	-72	-223	-738	-140	76	-14	-108	162	800	162	71837343
-16320	-2542	-180	-84	-664	-110	76	-14	-108	163	805	163	71837344
-16352	-2600	-260	45	-625	-91	88	-20	-104	164	811	164	71837345
-16308	-2570	-364	90	-590	-89	88	-20	-104	165	816	165	71837345
-16358	-2512	-290	61	-593	-71	83	-17	-107	166	821	166	71837346
-16414	-2514	-324	63	-563	-57	83	-17	-107	167	825	167	71837346
-16356	-2546	-270	92	-548	-34	78	-18	-104	168	830	168	71837347
-16390	-2594	-210	181	-530	0	78	-18	-104	169	835	169	71837347
-16364	-2734	-292	252	-506	30	83	-19	-103	170	840	170	71837348
-16298	-2866	-406	337	-496	66	83	-19	-103	171	845	171	71837348
-16282	-2920	-366	329	-504	80	85	-13	-109	172	850	172	71837372
-16294	-2936	-442	309	-525	90	85	-13	-109	173	855	173	71837397
-16226	-2818	-352	238	-551	88	81	-19	-101	174	860	174	71837398
-16206	-2730	-356	146	-569	83	81	-19	-101	175	865	175	71837400
-16318	-2748	-224	80	-571	49	86	-20	-96	176	869	176	71837402
-16258	-2724	-264	28	-577	25	86	-20	-96	177	874	177	71837404
-16270	-2752	-140	-2	-566	7	86	-22	-102	178	879	178	71837405
-16142	-2784	-272	-77	-564	-1	86	-22	-102	179	884	179	71837406
-16196	-2740	-288	-208	-592	-41	80	-16	-102	180	889	180	71837408
-16172	-2654	-204	-357	-603	-77	80	-16	-102	181	894	181	71837409
-16252	-2664	-246	-465	-624	-106	88	-14	-104	182	900	182	71837411
-16186	-2714	-140	-488	-602	-103	88	-14	-104	183	905	183	71837412
-16198	-2712	-226	-449	-597	-116	80	-22	-100	184	909	184	71837459
-16282	-2714	-196	-408	-602	-119	80	-22	-100	185	914	185	71837460
-16260	-2700	-200	-354	-579	-93	78	-20	-106	186	919	186	71837460
-16246	-2672	-274	-272	-551	-81	78	-20	-106	187	924	187	71837461
-16266	-2690	-198	-201	-527	-67	77	-21	-105	188	929	188	71837461
-16276	-2696	-346	-141	-516	-60	77	-21	-105	189	934	189	71837462
-16264	-2698	-346	-88	-496	-56	83	-19	-99	190	939	190	71837463
-16294	-2688	-360	-49	-474	-59	83	-19	-99	191	944	191	71837463
-16274	-2706	-410	2	-466	-56	86	-20	-100	192	949	192	71837464
-16286	-2710	-396	-16	-459	-70	86	-20	-100	193	953	193	71837464
-16252	-2664	-432	-68	-462	-95	80	-16	-106	194	958	194	71837465
-16338	-2682	-390	-95	-462	-114	80	-16	-106	195	963	195	71837466
-16286	-2702	-320	-138	-482	-128	82	-22	-102	196	968	196	71837466
-16268	-2666	-448	-166	-485	-135	82	-22	-102	197	973	197	71837467
-16232	-2548	-368	-204	-501	-132	83	-25	-105	198	978	198	71837582
-16214	-2544	-438	-230	-505	-146	83	-25	-105	199	983	199	71837583
-16266	-2594	-320	-250	-512	-136	83	-23	-109	200	989	200	71837584
-16262	-2488	-382	-293	-517	-137	83	-23	-109	201	993	201	71837586
-16238	-2502	-388	-328	-535	-144	83	-15	-107	202	998	202	71837587
-16282	-2506	-358	-366	-553	-144	83	-15	-107	203	1003	203	71837588
-16328	-2588	-382	-374	-562	-132	79	-19	-107	204	1008	204	71837601
-16400	-2516	-288	-380	-519	-148	79	-19	-107	205	1013	205	71837664
-16416	-2426	-156	-309	-472	-132	83	-21	-107	206	1018	206	71837665
-16330	-2464	-124	-173	-410	-93	83	-21	-107	207	1023	207	71837666
-16342	-2538	-106	-25	-374	-71	81	-21	-107	208	1028	208	71837666
-16272	-2660	-216	144	-345	-40	81	-21	-107	209	1033	209	71837667
-16276	-2682	-360	286	-331	-17	78	-18	-104	210	1037	210	71837667
-16290	-2688	-362	356	-314	-9	78	-18	-104	211	1042	211	71837668
-16174	-2836	-492	395	-309	-14	76	-18	-98	212	1047	212	71837668
-16198	-2732	-416	368	-298	-23	76	-18	-98	213	1052	213	71837669
-16208	-2636	-460	341	-314	-34	87	-21	-109	214	1057	214	71837670
-16136	-2686	-488	286	-338	-34	87	-21	-109	215	1062	215	71837670
-16158	-2678	-476	195	-357	-46	81	-17	-105	216	1067	216	71837671
-16206	-2710	-510	90	-386	-65	81	-17	-105	217	1072	217	71837671
-16164	-2614	-444	-10	-422	-84	80	-16	-106	218	1077	218	71837710
-16198	-2674	-442	-106	-439	-79	80	-16	-106	219	1082	219	71837713
